,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
88,2016,934,1274,Andrea Rispoli,h,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,2016,943,1274,Andrea Rispoli,a,DMR,90.0,0.0,0.0,1.0,0.0,0.0,0.0444472841918468,0.0,0.0,0.1333418525755405,0.0
586,2016,952,1274,Andrea Rispoli,h,DR,180.0,1.0,0.0,2.0,1.0,0.0,0.07808661833405489,0.0,2.5,-0.2657401449978352,2.5
1020,2016,967,1274,Andrea Rispoli,a,DR,270.0,1.0,0.0,2.0,1.0,0.0,0.07808661833405489,0.4446136653423309,2.5,0.17887352034449566,0.0
1359,2016,979,1274,Andrea Rispoli,a,MR,360.0,1.0,0.0,2.0,1.0,0.0,0.07808661833405489,0.61140538752079,2.5,0.3456652425229548,0.0
1373,2016,980,1274,Andrea Rispoli,h,MR,450.0,1.0,0.0,3.0,1.0,0.0,0.12586420029401768,0.61140538752079,2.5,0.48899798840284325,0.0
1750,2016,993,1274,Andrea Rispoli,a,MR,540.0,1.0,0.0,3.0,1.0,0.0,0.12586420029401768,0.61140538752079,2.5,0.48899798840284325,0.0
2184,2016,1009,1274,Andrea Rispoli,h,MR,630.0,1.0,0.0,3.0,1.0,0.0,0.12586420029401768,0.6471005417406558,2.5,0.524693142622709,0.0
2486,2016,1019,1274,Andrea Rispoli,a,Sub,720.0,1.0,0.0,5.0,1.0,0.0,0.23202550411224349,0.6787390746176241,2.5,0.874815586954355,0.0
2739,2016,3289,1274,Andrea Rispoli,h,DR,750.0,1.0,0.0,5.0,1.0,0.0,0.23202550411224349,0.7642556689679619,2.5,0.9603321813046929,0.0
3031,2016,2745,1274,Andrea Rispoli,a,DR,840.0,1.0,0.0,5.0,1.0,0.0,0.23202550411224349,0.8789852969348427,2.5,1.0750618092715736,0.0
3563,2016,2764,1274,Andrea Rispoli,a,DR,924.0,1.0,1.0,5.0,2.0,0.0,0.23202550411224349,1.2317016832530494,3.0,0.9277781955897804,0.5
4104,2016,3073,1274,Andrea Rispoli,a,Sub,1014.0,1.0,1.0,6.0,2.0,0.0,0.24267670698463897,1.2317016832530494,3.0,0.9597318042069669,0.0
4277,2016,3080,1274,Andrea Rispoli,h,DMR,1036.0,1.0,1.0,6.0,2.0,0.0,0.24267670698463897,1.2317016832530494,3.0,0.9597318042069669,0.0
4736,2016,3096,1274,Andrea Rispoli,a,MR,1126.0,1.0,1.0,8.0,2.0,0.0,0.34380307979881736,1.3227454535663123,3.0,1.3541546929627652,0.0
4889,2016,3099,1274,Andrea Rispoli,h,MR,1216.0,2.0,1.0,10.0,2.0,0.0,1.2613183576613662,1.336240441538393,6.0,4.120195514522493,3.0
4987,2016,3520,1274,Andrea Rispoli,a,MR,1306.0,2.0,1.0,10.0,2.0,0.0,1.2613183576613662,1.336240441538393,6.0,4.120195514522493,0.0
5348,2016,3534,1274,Andrea Rispoli,a,MR,1396.0,2.0,1.0,12.0,2.0,0.0,1.348730223253369,1.336240441538393,6.0,4.3824311112985015,0.0
5556,2016,3543,1274,Andrea Rispoli,h,DMR,1486.0,2.0,1.0,13.0,2.0,0.0,1.6787373591214416,1.4740656176581974,6.0,5.510277695022523,0.0
6037,2016,3559,1274,Andrea Rispoli,a,DR,1566.0,2.0,1.0,13.0,2.0,0.0,1.6787373591214416,1.579834544099867,6.0,5.616046621464193,0.0
6275,2016,3567,1274,Andrea Rispoli,h,DR,1656.0,2.0,2.0,13.0,2.0,0.0,1.6787373591214416,1.6763806277886029,7.0,5.712592705152929,1.0
6583,2016,3578,1274,Andrea Rispoli,h,DR,1746.0,2.0,2.0,13.0,3.0,0.0,1.6787373591214416,2.024044179357588,6.5,5.560256256721914,-0.5
6708,2016,3582,1274,Andrea Rispoli,a,DR,1836.0,2.0,2.0,14.0,4.0,0.0,1.698610449209809,2.1014370629563923,6.0,5.197268410585821,-0.5
7028,2016,3599,1274,Andrea Rispoli,h,DR,1926.0,2.0,2.0,14.0,4.0,0.0,1.698610449209809,2.1014370629563923,6.0,5.197268410585821,0.0
7460,2016,3609,1274,Andrea Rispoli,a,DR,2016.0,2.0,2.0,15.0,4.0,0.0,1.723777813836932,2.2535936543717976,6.0,5.424927095882595,0.0
8231,2016,3634,1274,Andrea Rispoli,h,DMR,2071.0,3.0,2.0,16.0,5.0,0.0,1.7773060295730827,2.2535936543717976,8.5,5.085511743091047,2.5
8553,2016,3647,1274,Andrea Rispoli,a,DMR,2161.0,3.0,2.0,16.0,5.0,0.0,1.7773060295730827,2.487383247353136,8.5,5.319301336072385,0.0
9112,2016,3669,1274,Andrea Rispoli,a,MR,2251.0,3.0,2.0,16.0,5.0,0.0,1.7773060295730827,2.525468249805271,8.5,5.35738633852452,0.0
9321,2016,3673,1274,Andrea Rispoli,h,DMR,2341.0,5.0,2.0,19.0,5.0,0.0,2.1890977714210744,2.5375687703490253,14.5,6.60486208461225,6.0
9908,2016,3694,1274,Andrea Rispoli,h,DMR,2431.0,5.0,2.0,19.0,5.0,0.0,2.1890977714210744,2.5980966128408904,14.5,6.6653899271041155,0.0
10314,2016,3708,1274,Andrea Rispoli,a,DMR,2521.0,6.0,2.0,21.0,5.0,0.0,2.285341510549187,3.07291242852807,17.5,7.428936960175633,3.0
10468,2016,3713,1274,Andrea Rispoli,h,DMR,2596.0,6.0,2.0,23.0,5.0,0.0,2.3210510890930887,3.113237421959638,17.5,7.576390689238906,0.0
