,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1,2016,931,1567,Bruno Peres,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,2016,948,1567,Bruno Peres,a,DL,90.0,0.0,0.0,4.0,0.0,0.0,0.1144315749406814,0.0264201089739799,0.0,0.3697148337960243,0.0
701,2016,956,1567,Bruno Peres,h,DL,180.0,0.0,0.0,7.0,0.0,0.0,0.26301532983779896,0.6284723207354546,0.0,1.417518310248852,0.0
1079,2016,969,1567,Bruno Peres,a,DL,270.0,0.0,0.0,8.0,0.0,0.0,0.2737802434712647,0.6504947915673256,0.0,1.4718355219811203,0.0
1289,2016,977,1567,Bruno Peres,h,DL,360.0,0.0,0.0,8.0,0.0,0.0,0.2737802434712647,0.6703992318361996,0.0,1.4917399622499945,0.0
1443,2016,982,1567,Bruno Peres,a,DL,450.0,0.0,0.0,8.0,0.0,0.0,0.2737802434712647,0.6703992318361996,0.0,1.4917399622499945,0.0
1901,2016,999,1567,Bruno Peres,h,DR,540.0,0.0,0.0,10.0,1.0,0.0,0.3537286240607498,0.6703992318361996,-0.5,1.23158510401845,-0.5
2961,2016,3296,1567,Bruno Peres,a,Sub,630.0,0.0,1.0,11.0,1.0,0.0,0.41154663078486886,1.3206924628466368,0.5,2.0553323552012444,1.0
3297,2016,2755,1567,Bruno Peres,h,DR,666.0,0.0,1.0,13.0,1.0,0.0,0.46658193878829446,1.3760380391031504,0.5,2.2757838554680347,0.0
3535,2016,2763,1567,Bruno Peres,a,DR,745.0,0.0,1.0,15.0,1.0,0.0,0.5547749307006593,1.4728230480104685,0.5,2.6371478401124477,0.0
3801,2016,2773,1567,Bruno Peres,h,DR,835.0,0.0,1.0,15.0,1.0,0.0,0.5547749307006593,1.4999766144901514,0.5,2.6643014065921307,0.0
3988,2016,3069,1567,Bruno Peres,a,MR,925.0,0.0,1.0,15.0,1.0,0.0,0.5547749307006593,1.4999766144901514,0.5,2.6643014065921307,0.0
4420,2016,3085,1567,Bruno Peres,h,AMR,1015.0,0.0,1.0,16.0,2.0,0.0,0.5702382083982224,1.4999766144901514,0.0,2.21069123968482,-0.5
4550,2016,3089,1567,Bruno Peres,a,Sub,1056.0,0.0,1.0,17.0,2.0,0.0,0.5904941819608206,1.5294805392622948,0.0,2.3009630851447582,0.0
4806,2016,3100,1567,Bruno Peres,h,MR,1061.0,0.0,1.0,17.0,2.0,0.0,0.5904941819608206,1.5669908039271832,0.0,2.3384733498096466,0.0
5124,2016,3526,1567,Bruno Peres,a,MR,1151.0,0.0,1.0,19.0,2.0,0.0,0.6515525914728636,2.2521053068339825,0.0,3.206763081252575,0.0
5404,2016,3536,1567,Bruno Peres,a,MR,1238.0,0.0,1.0,20.0,2.0,0.0,0.7187940515577786,2.3830832205712795,0.0,3.5394653752446175,0.0
5750,2016,3549,1567,Bruno Peres,h,MR,1328.0,0.0,1.0,20.0,2.0,0.0,0.7187940515577786,2.4139300603419542,0.0,3.570312215015292,0.0
5848,2016,3554,1567,Bruno Peres,a,MR,1418.0,0.0,1.0,23.0,2.0,0.0,1.4915413893759244,2.518799552693963,0.0,5.993423720821738,0.0
6334,2016,3569,1567,Bruno Peres,h,MR,1496.0,1.0,1.0,26.0,2.0,0.0,1.9092688001692288,2.518799552693963,3.0,7.246605953201652,3.0
6488,2016,3574,1567,Bruno Peres,a,MR,1586.0,1.0,1.0,30.0,2.0,0.0,2.400440100580453,2.5626861806958914,3.0,8.764006482437253,0.0
6919,2016,3590,1567,Bruno Peres,h,MR,1674.0,1.0,1.0,31.0,2.0,0.0,2.4364740625023833,2.5626861806958914,3.0,8.872108368203044,0.0
7213,2016,3598,1567,Bruno Peres,a,MR,1764.0,1.0,1.0,32.0,2.0,0.0,2.491294689476489,2.8059970792382956,3.0,9.279881147667766,0.0
7263,2016,3608,1567,Bruno Peres,h,Sub,1854.0,1.0,2.0,32.0,2.0,0.0,2.491294689476489,2.910883544012904,4.0,9.384767612442374,1.0
7770,2016,3618,1567,Bruno Peres,a,MR,1892.0,1.0,2.0,34.0,2.0,0.0,2.574387587606906,3.0063834469765425,4.0,9.729546209797263,0.0
8063,2016,3631,1567,Bruno Peres,h,MR,1982.0,2.0,2.0,35.0,3.0,0.0,2.678112931549548,3.037966886535287,6.5,9.572305681183934,2.5
8119,2016,3636,1567,Bruno Peres,h,MR,2045.0,2.0,2.0,35.0,3.0,0.0,2.678112931549548,3.037966886535287,6.5,9.572305681183934,0.0
8686,2016,3652,1567,Bruno Peres,h,Sub,2135.0,2.0,2.0,35.0,3.0,0.0,2.678112931549548,3.037966886535287,6.5,9.572305681183934,0.0
9274,2016,3675,1567,Bruno Peres,h,Sub,2179.0,2.0,2.0,35.0,3.0,0.0,2.678112931549548,3.037966886535287,6.5,9.572305681183934,0.0
9763,2016,3689,1567,Bruno Peres,a,Sub,2220.0,2.0,2.0,35.0,3.0,0.0,2.678112931549548,3.037966886535287,6.5,9.572305681183934,0.0
