,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
95,2016,935,1164,Cristiano Biraghi,h,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,2016,945,1164,Cristiano Biraghi,a,DL,90.0,0.0,0.0,2.0,0.0,0.0,0.073970727622509,0.0,0.0,0.221912182867527,0.0
635,2016,958,1164,Cristiano Biraghi,h,DL,180.0,0.0,0.0,4.0,0.0,0.0,0.1413095965981483,0.0,0.0,0.42392878979444504,0.0
719,2016,961,1164,Cristiano Biraghi,a,DL,270.0,0.0,0.0,5.0,0.0,0.0,0.1613975353538989,0.0,0.0,0.48419260606169695,0.0
1066,2016,976,1164,Cristiano Biraghi,h,DL,360.0,0.0,0.0,5.0,0.0,0.0,0.1613975353538989,0.0,0.0,0.48419260606169695,0.0
1272,2016,984,1164,Cristiano Biraghi,a,DL,450.0,0.0,0.0,7.0,1.0,0.0,0.38135737553238847,0.0296416655182838,0.0,0.6737137921154499,0.0
1401,2016,990,1164,Cristiano Biraghi,h,DL,540.0,0.0,0.0,7.0,1.0,0.0,0.38135737553238847,0.0296416655182838,0.0,0.6737137921154499,0.0
1659,2016,1001,1164,Cristiano Biraghi,h,DL,630.0,0.0,0.0,8.0,1.0,0.0,0.41699395328760114,0.0824910327792167,0.0,0.8334728926420211,0.0
1930,2016,1012,1164,Cristiano Biraghi,a,DL,720.0,0.0,0.0,9.0,1.0,0.0,0.4517208077013488,0.2223255112767219,0.0,1.0774879343807695,0.0
2275,2016,3287,1164,Cristiano Biraghi,h,DL,810.0,0.0,0.0,9.0,1.0,0.0,0.4517208077013488,0.263411160558462,0.0,1.1185735836625097,0.0
2458,2016,3294,1164,Cristiano Biraghi,a,Sub,889.0,0.0,0.0,9.0,2.0,0.0,0.4517208077013488,0.3292831517755983,0.0,0.6844455748796461,0.0
2631,2016,2748,1164,Cristiano Biraghi,h,Sub,904.0,0.0,0.0,10.0,2.0,0.0,0.4652982698753471,0.3292831517755983,0.0,0.725177961401641,0.0
2866,2016,2758,1164,Cristiano Biraghi,a,DC,948.0,0.0,0.0,10.0,2.0,0.0,0.4652982698753471,0.3292831517755983,0.0,0.725177961401641,0.0
3219,2016,2773,1164,Cristiano Biraghi,a,DC,1038.0,0.0,0.0,10.0,2.0,0.0,0.4652982698753471,0.3395704096183178,0.0,0.7354652192443605,0.0
3371,2016,3070,1164,Cristiano Biraghi,h,DL,1128.0,0.0,0.0,10.0,3.0,0.0,0.4652982698753471,0.3395704096183178,0.0,0.23546521924436048,0.0
3911,2016,3093,1164,Cristiano Biraghi,h,DL,1218.0,0.0,1.0,11.0,3.0,0.0,0.5065816389396781,0.9154137438163159,1.0,0.9351586606353517,1.0
4139,2016,3099,1164,Cristiano Biraghi,a,ML,1308.0,0.0,1.0,13.0,4.0,0.0,0.5703984173014754,0.9154137438163159,1.0,0.6266089957207437,0.0
4743,2016,3545,1164,Cristiano Biraghi,h,ML,1398.0,1.0,1.0,14.0,5.0,0.0,1.331697252579033,0.9154137438163159,4.0,2.4105055015534154,3.0
4889,2016,3551,1164,Cristiano Biraghi,a,DL,1488.0,1.0,2.0,16.0,5.0,0.0,2.1141104968264695,1.3860863810405133,5.0,5.228417871519922,1.0
5081,2016,3523,1164,Cristiano Biraghi,h,DL,1578.0,1.0,2.0,16.0,6.0,0.0,2.1141104968264695,1.4212959771975873,5.0,4.763627467676996,0.0
5241,2016,3566,1164,Cristiano Biraghi,h,DL,1668.0,1.0,3.0,16.0,7.0,0.0,2.1141104968264695,1.7906348770484326,6.0,4.632966367527842,1.0
5459,2016,3575,1164,Cristiano Biraghi,a,DL,1742.0,1.0,3.0,17.0,7.0,0.0,2.12984253372997,1.7906348770484326,6.0,4.680162478238343,0.0
5704,2016,3586,1164,Cristiano Biraghi,h,DL,1832.0,1.0,3.0,17.0,7.0,0.0,2.12984253372997,1.7906348770484326,6.0,4.680162478238343,0.0
5989,2016,3597,1164,Cristiano Biraghi,a,DL,1922.0,1.0,4.0,17.0,8.0,0.0,2.12984253372997,2.2547546988353133,7.0,4.644282300025224,1.0
6105,2016,3610,1164,Cristiano Biraghi,a,DL,2012.0,1.0,4.0,17.0,8.0,0.0,2.12984253372997,2.2547546988353133,7.0,4.644282300025224,0.0
6463,2016,3621,1164,Cristiano Biraghi,h,DL,2102.0,1.0,4.0,17.0,8.0,0.0,2.12984253372997,2.2547546988353133,7.0,4.644282300025224,0.0
6712,2016,3630,1164,Cristiano Biraghi,a,DL,2192.0,1.0,4.0,18.0,8.0,0.0,2.163252404890954,2.2708026943728328,7.0,4.760559909045695,0.0
6933,2016,3639,1164,Cristiano Biraghi,h,DL,2282.0,1.0,4.0,18.0,8.0,0.0,2.163252404890954,2.2987625328823924,7.0,4.788519747555255,0.0
7015,2016,3648,1164,Cristiano Biraghi,a,DL,2372.0,1.0,4.0,18.0,9.0,0.0,2.163252404890954,2.2987625328823924,7.0,4.288519747555255,0.0
7384,2016,3657,1164,Cristiano Biraghi,h,DL,2462.0,1.0,4.0,19.0,9.0,0.0,2.2304687565192576,2.2987625328823924,7.0,4.490168802440166,0.0
7692,2016,3670,1164,Cristiano Biraghi,h,DL,2552.0,1.0,4.0,21.0,9.0,0.0,2.291610139422118,2.2987625328823924,7.0,4.6735929511487475,0.0
8040,2016,3685,1164,Cristiano Biraghi,h,DL,2642.0,1.0,4.0,23.0,10.0,0.0,2.3772447509691115,2.48542261403054,7.0,4.617156866937875,0.0
8362,2016,3699,1164,Cristiano Biraghi,a,DL,2725.0,1.0,4.0,25.0,10.0,0.0,2.404182781465351,2.8949092952534556,7.0,5.1074576396495095,0.0
8635,2016,3708,1164,Cristiano Biraghi,h,DL,2815.0,1.0,4.0,26.0,10.0,0.0,2.4984792964532967,2.8949092952534556,7.0,5.390347184613346,0.0
8840,2016,3719,1164,Cristiano Biraghi,a,DL,2901.0,1.0,4.0,27.0,11.0,0.0,2.551528886891901,2.8949092952534556,7.0,5.049495955929159,0.0
