,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
580,2016,955,1147,Cyril Théréau,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763,2016,963,1147,Cyril Théréau,h,FW,63.0,0.0,0.0,1.0,0.0,0.0,0.0230444520711898,0.0587473958730697,0.0,0.1278807520866394,0.0
1254,2016,983,1147,Cyril Théréau,a,FW,153.0,0.0,0.0,1.0,0.0,0.0,0.0230444520711898,0.1280650720000266,0.0,0.1971984282135963,0.0
1701,2016,1002,1147,Cyril Théréau,a,FW,229.0,0.0,0.0,1.0,0.0,0.0,0.0230444520711898,0.1280650720000266,0.0,0.1971984282135963,0.0
1923,2016,1012,1147,Cyril Théréau,h,AML,319.0,0.0,0.0,2.0,0.0,0.0,0.061648443341255105,0.1280650720000266,0.0,0.31301040202379216,0.0
2339,2016,3289,1147,Cyril Théréau,a,FWL,409.0,2.0,0.0,5.0,1.0,0.0,1.224118784070015,0.1846267394721507,6.0,3.3569830916821957,6.0
2536,2016,3298,1147,Cyril Théréau,h,FWL,497.0,3.0,0.0,8.0,1.0,0.0,1.4329446405172348,0.1846267394721507,9.0,3.983460661023855,3.0
2711,2016,2751,1147,Cyril Théréau,a,FWL,587.0,4.0,0.0,9.0,1.0,0.0,1.785406693816185,0.279907565563917,12.0,5.136127647012472,3.0
2840,2016,2757,1147,Cyril Théréau,h,FWL,653.0,5.0,0.0,12.0,1.0,0.0,2.1026204377412796,0.279907565563917,15.0,6.087768878787756,3.0
3133,2016,2769,1147,Cyril Théréau,a,FWL,743.0,5.0,0.0,13.0,1.0,0.0,2.124419627711177,0.279907565563917,15.0,6.153166448697448,0.0
3494,2016,3075,1147,Cyril Théréau,h,FWL,833.0,5.0,0.0,17.0,1.0,0.0,2.379199890419841,0.4160453043878076,15.0,7.05364497564733,0.0
3645,2016,3081,1147,Cyril Théréau,a,FWL,923.0,5.0,0.0,21.0,1.0,0.0,2.5223203878849745,0.7712422572076318,15.0,7.8382034208625555,0.0
3894,2016,3091,1147,Cyril Théréau,h,FWL,1013.0,6.0,2.0,23.0,1.0,0.0,3.0102678518742323,1.2271834276616571,20.0,9.757986983284354,5.0
4095,2016,3101,1147,Cyril Théréau,a,FWL,1103.0,8.0,2.0,29.0,1.0,0.0,4.383108614012599,1.5058433972299097,26.0,14.155169239267707,6.0
4242,2016,3522,1147,Cyril Théréau,h,FWL,1192.0,8.0,2.0,30.0,1.0,0.0,4.410270867869258,1.5620426833629606,26.0,14.292855286970735,0.0
4541,2016,3536,1147,Cyril Théréau,h,FWL,1274.0,8.0,2.0,31.0,2.0,0.0,4.497815480455756,1.6027293391525743,26.0,14.096175780519843,0.0
4805,2016,3547,1147,Cyril Théréau,a,FWL,1364.0,8.0,2.0,33.0,2.0,0.0,5.016421904787421,1.6395100913941858,26.0,15.68877580575645,0.0
5041,2016,3558,1147,Cyril Théréau,h,FWL,1454.0,8.0,2.0,35.0,2.0,0.0,5.128089798614383,1.6395100913941858,26.0,16.023779487237334,0.0
5214,2016,3564,1147,Cyril Théréau,a,FWL,1544.0,9.0,2.0,38.0,2.0,0.0,5.530584318563342,1.9214816652238367,29.0,17.513234620913863,3.0
5419,2016,3573,1147,Cyril Théréau,a,FWL,1634.0,9.0,2.0,41.0,2.0,0.0,5.673610297963023,1.9591816700994966,29.0,17.980012563988566,0.0
5757,2016,3588,1147,Cyril Théréau,h,FWL,1703.0,9.0,2.0,44.0,2.0,0.0,5.751812739297748,1.9591816700994966,29.0,18.21461988799274,0.0
6018,2016,3601,1147,Cyril Théréau,a,FWL,1793.0,9.0,2.0,49.0,2.0,0.0,6.844579262658954,1.9591816700994966,29.0,21.492919458076358,0.0
6482,2016,3621,1147,Cyril Théréau,a,FWL,1853.0,9.0,2.0,52.0,2.0,0.0,7.0142210107296705,2.1485305614769454,29.0,22.191193593665957,0.0
6729,2016,3629,1147,Cyril Théréau,h,FWL,1928.0,10.0,2.0,53.0,2.0,0.0,7.474654821678996,2.1485305614769454,32.0,23.572495026513934,3.0
7108,2016,3644,1147,Cyril Théréau,h,FWL,1988.0,11.0,2.0,55.0,3.0,0.0,7.511766100302339,2.1485305614769454,35.0,23.18382886238396,3.0
7473,2016,3661,1147,Cyril Théréau,a,FWL,2078.0,11.0,2.0,57.0,3.0,0.0,7.5943023432046175,2.1485305614769454,35.0,23.4314375910908,0.0
7555,2016,3663,1147,Cyril Théréau,h,FW,2149.0,11.0,2.0,57.0,3.0,0.0,7.5943023432046175,2.1485305614769454,35.0,23.4314375910908,0.0
7913,2016,3681,1147,Cyril Théréau,a,FW,2215.0,11.0,2.0,60.0,3.0,0.0,8.5313467849046,2.1949149481952186,35.0,26.288955302909017,0.0
7998,2016,3682,1147,Cyril Théréau,h,Sub,2276.0,11.0,2.0,61.0,3.0,0.0,8.540234006941319,2.1949149481952186,35.0,26.315616969019175,0.0
8392,2016,3701,1147,Cyril Théréau,a,FWL,2291.0,11.0,2.0,62.0,3.0,0.0,8.582247141748667,2.1949149481952186,35.0,26.44165637344122,0.0
8570,2016,3710,1147,Cyril Théréau,h,FW,2351.0,11.0,2.0,63.0,3.0,0.0,8.666940364986658,2.1949149481952186,35.0,26.695736043155193,0.0
8893,2016,3721,1147,Cyril Théréau,a,FW,2412.0,12.0,2.0,65.0,3.0,0.0,9.078035209327936,2.1949149481952186,38.0,27.929020576179028,3.0
