,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
11,2016,931,1539,Diego Perotti,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,2016,948,1539,Diego Perotti,a,FW,32.0,2.0,0.0,2.0,0.0,0.0,1.5225976705551147,0.5367704629898071,6.0,5.104563474655151,6.0
706,2016,956,1539,Diego Perotti,h,FW,96.0,3.0,0.0,3.0,0.0,0.0,2.283896505832672,0.5715634673833846,9.0,7.423252984881401,3.0
1085,2016,969,1539,Diego Perotti,a,FWL,143.0,3.0,1.0,3.0,0.0,0.0,2.283896505832672,1.161667749285698,10.0,8.013357266783714,1.0
1448,2016,982,1539,Diego Perotti,a,AML,221.0,3.0,1.0,5.0,0.0,0.0,2.3343845307826996,1.2843099310994148,10.0,8.287463523447514,0.0
1909,2016,999,1539,Diego Perotti,h,AML,303.0,3.0,1.0,6.0,0.0,0.0,2.3678493425250053,1.3629190847277641,10.0,8.46646711230278,0.0
1951,2016,1000,1539,Diego Perotti,a,AML,383.0,3.0,1.0,9.0,0.0,0.0,2.4920352697372437,1.4299819990992546,10.0,8.906087808310986,0.0
2959,2016,3296,1539,Diego Perotti,a,Sub,473.0,3.0,1.0,10.0,0.0,0.0,2.5122313238680363,1.6065687909722328,10.0,9.143262762576342,0.0
3305,2016,2755,1539,Diego Perotti,h,AML,479.0,3.0,1.0,10.0,0.0,0.0,2.5122313238680363,1.7574750259518623,10.0,9.294168997555971,0.0
3543,2016,2763,1539,Diego Perotti,a,AML,569.0,3.0,2.0,12.0,0.0,0.0,2.6985756047070026,2.4674747064709663,11.0,10.563201520591974,1.0
3809,2016,2773,1539,Diego Perotti,h,AML,643.0,4.0,2.0,13.0,0.0,0.0,3.45987443998456,2.5198023468255997,14.0,12.89942566677928,3.0
3991,2016,3069,1539,Diego Perotti,a,ML,733.0,5.0,4.0,15.0,0.0,0.0,4.255372691899538,3.966725006699562,19.0,16.732843082398176,5.0
4422,2016,3085,1539,Diego Perotti,h,AML,823.0,5.0,4.0,15.0,0.0,0.0,4.255372691899538,3.966725006699562,19.0,16.732843082398176,0.0
4546,2016,3089,1539,Diego Perotti,a,AML,913.0,5.0,4.0,17.0,0.0,0.0,4.329477783292532,4.021212920546532,19.0,17.009646270424128,0.0
4814,2016,3100,1539,Diego Perotti,h,Sub,1003.0,5.0,4.0,20.0,0.0,0.0,4.440435517579317,4.190707355737686,19.0,17.512013908475637,0.0
5129,2016,3526,1539,Diego Perotti,a,AMC,1009.0,6.0,4.0,22.0,0.0,0.0,5.546654213219881,4.190707355737686,22.0,20.83066999539733,3.0
5755,2016,3549,1539,Diego Perotti,h,AMC,1089.0,6.0,4.0,23.0,0.0,0.0,5.585696402937174,4.278367169201374,22.0,21.035456378012896,0.0
5852,2016,3554,1539,Diego Perotti,a,AMC,1170.0,6.0,4.0,27.0,0.0,0.0,5.73090860620141,4.278367169201374,22.0,21.471092987805605,0.0
6497,2016,3574,1539,Diego Perotti,a,Sub,1260.0,6.0,4.0,27.0,0.0,0.0,5.73090860620141,4.297074982896447,22.0,21.489800801500678,0.0
6926,2016,3590,1539,Diego Perotti,h,Sub,1261.0,6.0,4.0,27.0,0.0,0.0,5.73090860620141,4.297074982896447,22.0,21.489800801500678,0.0
7222,2016,3598,1539,Diego Perotti,a,Sub,1262.0,6.0,4.0,27.0,0.0,0.0,5.73090860620141,4.297074982896447,22.0,21.489800801500678,0.0
7258,2016,3608,1539,Diego Perotti,h,AMR,1280.0,7.0,4.0,28.0,0.0,0.0,6.492207441478968,4.401021623983979,25.0,23.877643948420882,3.0
8070,2016,3631,1539,Diego Perotti,h,Sub,1370.0,7.0,5.0,33.0,1.0,0.0,6.7160508669912815,4.670604491606355,25.5,24.3187570925802,0.5
8123,2016,3636,1539,Diego Perotti,h,AMC,1381.0,7.0,5.0,34.0,1.0,0.0,6.759162575006485,4.670604491606355,25.5,24.44809221662581,0.0
8590,2016,3649,1539,Diego Perotti,a,Sub,1443.0,7.0,5.0,38.0,1.0,0.0,6.845371767878532,4.763280490413308,25.5,24.799395794048905,0.0
8685,2016,3652,1539,Diego Perotti,h,FWL,1467.0,7.0,6.0,41.0,1.0,0.0,7.003191500902176,5.065520295873284,26.5,25.575094798579812,1.0
9203,2016,3670,1539,Diego Perotti,a,Sub,1554.0,7.0,6.0,43.0,1.0,0.0,7.105633780360222,5.1352801490575075,26.5,25.952181490138173,0.0
9273,2016,3675,1539,Diego Perotti,h,Sub,1561.0,7.0,6.0,43.0,1.0,0.0,7.105633780360222,5.1352801490575075,26.5,25.952181490138173,0.0
9760,2016,3689,1539,Diego Perotti,a,AML,1584.0,7.0,6.0,43.0,1.0,0.0,7.105633780360222,5.1352801490575075,26.5,25.952181490138173,0.0
10025,2016,3695,1539,Diego Perotti,h,FW,1644.0,7.0,6.0,47.0,1.0,0.0,7.769737288355827,5.260551663115621,26.5,28.069763528183103,0.0
10070,2016,3709,1539,Diego Perotti,a,Sub,1715.0,7.0,6.0,48.0,1.0,0.0,7.7915723249316216,5.260551663115621,26.5,28.135268637910485,0.0
10419,2016,3714,1539,Diego Perotti,h,Sub,1723.0,7.0,6.0,48.0,1.0,0.0,7.7915723249316216,5.260551663115621,26.5,28.135268637910485,0.0
