,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1213,2016,974,1097,Edenilson,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1485,2016,984,1097,Edenilson,h,DMR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1249940022826194,0.0,0.1249940022826194,0.0
2050,2016,1004,1097,Edenilson,h,FWL,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.279829405248165,-0.5,-0.22017059475183487,-0.5
2226,2016,1010,1097,Edenilson,a,MR,160.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29915315285325034,-0.5,-0.20084684714674958,0.0
2492,2016,1020,1097,Edenilson,h,MR,250.0,0.0,1.0,1.0,0.0,1.0,0.0545389018952846,0.9599531926214693,0.5,0.6235698983073233,1.0
3188,2016,2751,1097,Edenilson,h,MR,329.0,0.0,1.0,1.0,0.0,1.0,0.0545389018952846,0.9599531926214693,0.5,0.6235698983073233,0.0
3454,2016,2760,1097,Edenilson,a,MR,406.0,0.0,2.0,2.0,0.0,1.0,0.1150830537080764,1.3777141310274599,1.5,1.2229632921516895,1.0
3756,2016,2771,1097,Edenilson,h,Sub,496.0,0.0,2.0,2.0,1.0,1.0,0.1150830537080764,1.4435509853065012,1.0,0.7888001464307308,-0.5
4384,2016,3083,1097,Edenilson,a,Sub,515.0,0.0,2.0,3.0,1.0,1.0,0.1303684823215007,1.4435509853065012,1.0,0.8346564322710037,0.0
4729,2016,3096,1097,Edenilson,h,Sub,519.0,0.0,2.0,3.0,1.0,1.0,0.1303684823215007,1.4435509853065012,1.0,0.8346564322710037,0.0
5117,2016,3526,1097,Edenilson,h,Sub,545.0,0.0,2.0,3.0,2.0,1.0,0.1303684823215007,1.4616025425493715,0.5,0.3527079895138741,-0.5
5292,2016,3532,1097,Edenilson,a,MR,571.0,0.0,2.0,3.0,2.0,1.0,0.1303684823215007,1.4960071742534635,0.5,0.3871126212179661,0.0
5612,2016,3544,1097,Edenilson,h,MR,661.0,0.0,3.0,3.0,2.0,1.0,0.1303684823215007,2.332543581724167,1.5,1.2236490286886692,1.0
6138,2016,3562,1097,Edenilson,h,MR,751.0,0.0,3.0,3.0,2.0,1.0,0.1303684823215007,3.221248596906662,1.5,2.1123540438711643,0.0
6830,2016,3586,1097,Edenilson,a,Sub,834.0,0.0,3.0,3.0,2.0,1.0,0.1303684823215007,3.221248596906662,1.5,2.1123540438711643,0.0
7862,2016,3624,1097,Edenilson,a,Sub,861.0,0.0,3.0,3.0,2.0,1.0,0.1303684823215007,3.2681869603693485,1.5,2.159292407333851,0.0
