,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
204,2016,939,1225,Edgar Barreto,a,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,2016,944,1225,Edgar Barreto,h,MC,86.0,0.0,0.0,1.0,1.0,0.0,0.016068123281002,0.061001468449831,0.0,-0.3907941617071628,0.0
600,2016,956,1225,Edgar Barreto,a,MC,171.0,1.0,0.0,2.0,1.0,0.0,0.0421005636453628,0.061001468449831,3.0,-0.31269684061408043,3.0
684,2016,960,1225,Edgar Barreto,h,MC,261.0,1.0,0.0,3.0,1.0,0.0,0.0608067400753497,0.4020438976585865,3.0,0.08446411788463587,0.0
957,2016,971,1225,Edgar Barreto,a,MC,349.0,1.0,0.0,5.0,1.0,0.0,0.17337610945105542,0.5331681855022907,3.0,0.5532965138554573,0.0
1474,2016,993,1225,Edgar Barreto,h,MC,419.0,1.0,0.0,7.0,1.0,1.0,0.24694465473294241,0.5523618925362825,3.0,0.2931958567351103,0.0
1674,2016,1001,1225,Edgar Barreto,a,MC,509.0,1.0,0.0,10.0,1.0,1.0,0.42924848571419694,0.6497647184878588,3.0,0.9375101756304502,0.0
1877,2016,1010,1225,Edgar Barreto,h,MC,595.0,1.0,0.0,11.0,1.0,1.0,0.45346780493855454,0.6497647184878588,3.0,1.010168133303523,0.0
2169,2016,3282,1225,Edgar Barreto,a,MC,685.0,1.0,0.0,12.0,1.0,1.0,0.5793475098907945,0.6497647184878588,3.0,1.387807248160243,0.0
2513,2016,3297,1225,Edgar Barreto,h,MC,761.0,1.0,0.0,12.0,2.0,1.0,0.5793475098907945,0.6497647184878588,3.0,0.887807248160243,0.0
2779,2016,2754,1225,Edgar Barreto,a,MC,851.0,1.0,0.0,14.0,2.0,1.0,0.6421317644417284,0.6673005763441324,3.0,1.0936958696693182,0.0
2884,2016,2759,1225,Edgar Barreto,h,MC,941.0,1.0,0.0,15.0,2.0,1.0,0.6634401418268677,0.7178397532552481,3.0,1.2081601787358522,0.0
3152,2016,2770,1225,Edgar Barreto,a,MC,1012.0,1.0,0.0,17.0,2.0,1.0,0.6972310580313202,0.7178397532552481,3.0,1.3095329273492098,0.0
3398,2016,3071,1225,Edgar Barreto,h,MC,1102.0,1.0,0.0,18.0,2.0,1.0,0.759277936071157,0.7705423068255186,3.0,1.548376115038991,0.0
3537,2016,3077,1225,Edgar Barreto,h,MC,1192.0,2.0,0.0,19.0,3.0,1.0,0.8924305252730841,0.7705423068255186,6.0,1.4478338826447725,3.0
3950,2016,3094,1225,Edgar Barreto,a,MC,1248.0,2.0,0.0,19.0,3.0,1.0,0.8924305252730841,0.7874772287905216,6.0,1.4647688046097755,0.0
4079,2016,3101,1225,Edgar Barreto,h,MC,1326.0,2.0,0.0,21.0,3.0,1.0,0.9376834854483599,0.7874772287905216,6.0,1.600527685135603,0.0
4225,2016,3521,1225,Edgar Barreto,a,MC,1416.0,2.0,0.0,22.0,3.0,1.0,0.9657728821039194,0.7874772287905216,6.0,1.6847958751022816,0.0
4903,2016,3554,1225,Edgar Barreto,h,MC,1506.0,2.0,0.0,23.0,3.0,1.0,0.9939813725650304,0.9598851092159747,6.0,1.941829226911068,0.0
5731,2016,3587,1225,Edgar Barreto,h,MC,1596.0,2.0,0.0,23.0,3.0,1.0,0.9939813725650304,0.9598851092159747,6.0,1.941829226911068,0.0
5901,2016,3599,1225,Edgar Barreto,a,MC,1686.0,2.0,0.0,24.0,3.0,1.0,1.0204335991293185,0.9598851092159747,6.0,2.0211859066039324,0.0
6095,2016,3610,1225,Edgar Barreto,h,MC,1776.0,2.0,0.0,26.0,3.0,1.0,1.2121258769184344,0.9740482931956647,6.0,2.61042592395097,0.0
6336,2016,3619,1225,Edgar Barreto,a,MC,1853.0,2.0,0.0,29.0,3.0,1.0,1.4460876975208514,1.0188945150002835,6.0,3.35715760756284,0.0
6656,2016,3626,1225,Edgar Barreto,h,MC,1943.0,2.0,0.0,30.0,4.0,1.0,1.4735472891479724,1.0188945150002835,6.0,2.939536382444203,0.0
6993,2016,3640,1225,Edgar Barreto,a,MC,2033.0,2.0,0.0,30.0,4.0,1.0,1.4735472891479724,1.0855639120563862,6.0,3.0062057795003057,0.0
7080,2016,3643,1225,Edgar Barreto,h,MC,2123.0,2.0,0.0,30.0,4.0,1.0,1.4735472891479724,1.1043070470914242,6.0,3.0249489145353436,0.0
7444,2016,3660,1225,Edgar Barreto,a,MC,2213.0,2.0,0.0,31.0,4.0,1.0,1.5112756323069327,1.1043070470914242,6.0,3.1381339440122247,0.0
7574,2016,3664,1225,Edgar Barreto,h,MC,2284.0,2.0,0.0,32.0,4.0,1.0,1.530230734497308,1.1824059253558514,6.0,3.273098128847778,0.0
8149,2016,3690,1225,Edgar Barreto,a,MC,2368.0,2.0,0.0,32.0,4.0,1.0,1.530230734497308,1.1824059253558514,6.0,3.273098128847778,0.0
8258,2016,3692,1225,Edgar Barreto,h,MC,2458.0,2.0,0.0,32.0,4.0,1.0,1.530230734497308,1.1824059253558514,6.0,3.273098128847778,0.0
8578,2016,3710,1225,Edgar Barreto,a,MC,2548.0,2.0,0.0,34.0,4.0,1.0,1.7396498657762998,1.2144709108397362,6.0,3.9334205081686378,0.0
8760,2016,3718,1225,Edgar Barreto,h,MC,2630.0,2.0,0.0,35.0,4.0,1.0,1.7509712204337113,1.2144709108397362,6.0,3.9673845721408725,0.0
