,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
140,2016,937,1545,Emil Krafth,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,2016,946,1545,Emil Krafth,a,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,2016,953,1545,Emil Krafth,h,DR,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070413490757346,0.0,0.0070413490757346,0.0
742,2016,962,1545,Emil Krafth,a,DR,270.0,0.0,0.0,1.0,0.0,0.0,0.0346504300832748,0.0070413490757346,0.0,0.1109926393255591,0.0
1294,2016,985,1545,Emil Krafth,a,DR,351.0,0.0,0.0,2.0,0.0,1.0,0.0735617354512214,0.0070413490757346,0.0,-0.27227344457060104,0.0
1516,2016,995,1545,Emil Krafth,h,DR,432.0,0.0,0.0,2.0,0.0,1.0,0.0735617354512214,0.0070413490757346,0.0,-0.27227344457060104,0.0
2796,2016,2755,1545,Emil Krafth,a,DR,522.0,0.0,0.0,2.0,0.0,1.0,0.0735617354512214,0.0070413490757346,0.0,-0.27227344457060104,0.0
3658,2016,3082,1545,Emil Krafth,h,Sub,612.0,0.0,0.0,3.0,0.0,1.0,0.11401325091719619,0.0243630008772015,0.0,-0.13359724637120973,0.0
3931,2016,3093,1545,Emil Krafth,a,Sub,649.0,0.0,0.0,3.0,1.0,1.0,0.11401325091719619,0.3560774819925427,0.0,-0.30188276525586855,0.0
4413,2016,3530,1545,Emil Krafth,a,Sub,704.0,0.0,0.0,3.0,1.0,1.0,0.11401325091719619,0.3560774819925427,0.0,-0.30188276525586855,0.0
4761,2016,3546,1545,Emil Krafth,h,DR,766.0,0.0,0.0,3.0,1.0,1.0,0.11401325091719619,0.3560774819925427,0.0,-0.30188276525586855,0.0
4974,2016,3553,1545,Emil Krafth,a,DR,856.0,0.0,0.0,3.0,1.0,1.0,0.11401325091719619,0.3560774819925427,0.0,-0.30188276525586855,0.0
5330,2016,3571,1545,Emil Krafth,h,DR,946.0,0.0,0.0,4.0,1.0,2.0,0.14691262692213047,0.3560774819925427,0.0,-0.7031846372410655,0.0
5687,2016,3585,1545,Emil Krafth,h,Sub,1036.0,0.0,0.0,4.0,1.0,2.0,0.14691262692213047,0.5346434609964489,0.0,-0.5246186582371593,0.0
5918,2016,3593,1545,Emil Krafth,a,DR,1061.0,0.0,0.0,4.0,1.0,2.0,0.14691262692213047,0.5346434609964489,0.0,-0.5246186582371593,0.0
6275,2016,3607,1545,Emil Krafth,h,DR,1115.0,0.0,0.0,4.0,1.0,2.0,0.14691262692213047,0.5346434609964489,0.0,-0.5246186582371593,0.0
6364,2016,3613,1545,Emil Krafth,a,Sub,1205.0,0.0,0.0,4.0,1.0,2.0,0.14691262692213047,0.569432579912245,0.0,-0.4898295393213631,0.0
6605,2016,3622,1545,Emil Krafth,h,DMR,1222.0,0.0,0.0,4.0,1.0,2.0,0.14691262692213047,0.569432579912245,0.0,-0.4898295393213631,0.0
7172,2016,3649,1545,Emil Krafth,h,DR,1283.0,0.0,0.0,5.0,1.0,2.0,0.1568567100912331,0.569432579912245,0.0,-0.4599972898140551,0.0
7499,2016,3662,1545,Emil Krafth,a,Sub,1373.0,0.0,0.0,5.0,1.0,2.0,0.1568567100912331,0.6103764632716773,0.0,-0.41905340645462286,0.0
7904,2016,3681,1545,Emil Krafth,h,Sub,1388.0,0.0,0.0,5.0,1.0,2.0,0.1568567100912331,0.6103764632716773,0.0,-0.41905340645462286,0.0
8024,2016,3683,1545,Emil Krafth,a,DR,1425.0,0.0,0.0,5.0,1.0,2.0,0.1568567100912331,0.6103764632716773,0.0,-0.41905340645462286,0.0
8358,2016,3699,1545,Emil Krafth,h,Sub,1515.0,0.0,0.0,5.0,1.0,2.0,0.1568567100912331,0.6103764632716773,0.0,-0.41905340645462286,0.0
8510,2016,3703,1545,Emil Krafth,a,Sub,1547.0,0.0,0.0,5.0,1.0,2.0,0.1568567100912331,0.6103764632716773,0.0,-0.41905340645462286,0.0
8680,2016,3715,1545,Emil Krafth,h,DR,1572.0,0.0,0.0,5.0,1.0,2.0,0.1568567100912331,0.6103764632716773,0.0,-0.41905340645462286,0.0
