,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
251,2016,940,1113,Eugenio Lamanna,h,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,2016,949,1113,Eugenio Lamanna,a,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4871,2016,3102,1113,Eugenio Lamanna,a,GK,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5119,2016,3526,1113,Eugenio Lamanna,h,Sub,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5288,2016,3532,1113,Eugenio Lamanna,a,GK,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5608,2016,3544,1113,Eugenio Lamanna,h,GK,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5954,2016,3556,1113,Eugenio Lamanna,a,GK,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6134,2016,3562,1113,Eugenio Lamanna,h,GK,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6428,2016,3572,1113,Eugenio Lamanna,a,GK,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6817,2016,3586,1113,Eugenio Lamanna,a,GK,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7055,2016,3593,1113,Eugenio Lamanna,h,GK,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7376,2016,3604,1113,Eugenio Lamanna,a,GK,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7556,2016,3619,1113,Eugenio Lamanna,h,GK,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7849,2016,3624,1113,Eugenio Lamanna,a,GK,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8843,2016,3658,1113,Eugenio Lamanna,h,GK,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9164,2016,3666,1113,Eugenio Lamanna,a,GK,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9289,2016,3672,1113,Eugenio Lamanna,h,GK,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9653,2016,3687,1113,Eugenio Lamanna,h,GK,1522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9918,2016,3694,1113,Eugenio Lamanna,a,GK,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10240,2016,3711,1113,Eugenio Lamanna,h,GK,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10422,2016,3714,1113,Eugenio Lamanna,a,GK,1792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
