,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
166,2016,936,1213,Filip Djordjevic,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,2016,941,1213,Filip Djordjevic,h,Sub,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,2016,954,1213,Filip Djordjevic,a,Sub,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847,2016,961,1213,Filip Djordjevic,h,FW,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,2016,970,1213,Filip Djordjevic,a,FW,97.0,0.0,0.0,1.0,0.0,0.0,0.371724009513855,0.0,0.0,1.115172028541565,0.0
1702,2016,991,1213,Filip Djordjevic,a,Sub,145.0,0.0,0.0,2.0,0.0,0.0,0.4258100725710392,0.0,0.0,1.2774302177131176,0.0
2319,2016,1013,1213,Filip Djordjevic,a,Sub,164.0,0.0,0.0,2.0,0.0,0.0,0.4258100725710392,0.0,0.0,1.2774302177131176,0.0
2863,2016,3293,1213,Filip Djordjevic,h,Sub,198.0,0.0,0.0,4.0,0.0,0.0,0.5513577200472355,0.2802332937717438,0.0,1.9343064539134502,0.0
3098,2016,2747,1213,Filip Djordjevic,a,Sub,202.0,0.0,0.0,4.0,0.0,0.0,0.5513577200472355,0.2802332937717438,0.0,1.9343064539134502,0.0
3687,2016,2768,1213,Filip Djordjevic,a,Sub,209.0,0.0,0.0,4.0,0.0,0.0,0.5513577200472355,0.2802332937717438,0.0,1.9343064539134502,0.0
5424,2016,3537,1213,Filip Djordjevic,h,Sub,230.0,0.0,0.0,4.0,0.0,0.0,0.5513577200472355,0.2802332937717438,0.0,1.9343064539134502,0.0
5605,2016,3542,1213,Filip Djordjevic,a,Sub,231.0,0.0,0.0,4.0,0.0,0.0,0.5513577200472355,0.2802332937717438,0.0,1.9343064539134502,0.0
5783,2016,3550,1213,Filip Djordjevic,h,FW,259.0,0.0,0.0,4.0,0.0,0.0,0.5513577200472355,0.2802332937717438,0.0,1.9343064539134502,0.0
6773,2016,3584,1213,Filip Djordjevic,a,Sub,335.0,0.0,0.0,4.0,0.0,0.0,0.5513577200472355,0.2802332937717438,0.0,1.9343064539134502,0.0
8002,2016,3627,1213,Filip Djordjevic,a,Sub,347.0,0.0,0.0,5.0,0.0,0.0,0.7187417186796665,0.2802332937717438,0.0,2.4364584498107433,0.0
9288,2016,3675,1213,Filip Djordjevic,a,Sub,368.0,0.0,0.0,5.0,0.0,0.0,0.7187417186796665,0.2802332937717438,0.0,2.4364584498107433,0.0
9788,2016,3696,1213,Filip Djordjevic,a,FW,369.0,0.0,0.0,5.0,0.0,0.0,0.7187417186796665,0.2802332937717438,0.0,2.4364584498107433,0.0
