,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1789,2016,1006,1440,Filip Helander,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,2016,1018,1440,Filip Helander,h,DC,84.0,1.0,0.0,1.0,0.0,0.0,0.5639135241508484,0.0,3.0,1.6917405724525452,3.0
2248,2016,3285,1440,Filip Helander,a,Sub,174.0,1.0,0.0,1.0,0.0,0.0,0.5639135241508484,0.0,3.0,1.6917405724525452,0.0
2343,2016,3290,1440,Filip Helander,h,DC,191.0,1.0,0.0,1.0,1.0,0.0,0.5639135241508484,0.0,3.0,1.1917405724525452,0.0
2797,2016,2755,1440,Filip Helander,a,DC,281.0,1.0,0.0,2.0,1.0,0.0,0.670735202729702,0.0,3.0,1.512205608189106,0.0
6277,2016,3607,1440,Filip Helander,h,DC,371.0,1.0,0.0,2.0,1.0,0.0,0.670735202729702,0.0,3.0,1.512205608189106,0.0
6356,2016,3613,1440,Filip Helander,a,DC,461.0,1.0,0.0,2.0,1.0,0.0,0.670735202729702,0.0,3.0,1.512205608189106,0.0
6602,2016,3622,1440,Filip Helander,h,DC,551.0,1.0,0.0,3.0,2.0,0.0,0.7195383384823799,0.0,3.0,1.1586150154471397,0.0
8349,2016,3699,1440,Filip Helander,h,DC,641.0,1.0,0.0,3.0,2.0,0.0,0.7195383384823799,0.0,3.0,1.1586150154471397,0.0
8503,2016,3703,1440,Filip Helander,a,DC,731.0,1.0,0.0,3.0,2.0,0.0,0.7195383384823799,0.0680126398801803,3.0,1.22662765532732,0.0
