,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
101,2016,934,1463,Francesco Acerbi,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,2016,945,1463,Francesco Acerbi,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186282377690076,0.0,0.0186282377690076,0.0
574,2016,951,1463,Francesco Acerbi,a,DC,180.0,0.0,0.0,1.0,1.0,0.0,0.0104074226692318,0.0740633849054574,-0.5,-0.39471434708684694,-0.5
923,2016,964,1463,Francesco Acerbi,h,DC,270.0,0.0,0.0,1.0,1.0,0.0,0.0104074226692318,0.0740633849054574,-0.5,-0.39471434708684694,0.0
1161,2016,972,1463,Francesco Acerbi,a,DC,360.0,0.0,0.0,1.0,1.0,0.0,0.0104074226692318,0.0740633849054574,-0.5,-0.39471434708684694,0.0
1455,2016,983,1463,Francesco Acerbi,h,DC,450.0,0.0,0.0,1.0,1.0,0.0,0.0104074226692318,0.1176537740975617,-0.5,-0.35112395789474266,0.0
1888,2016,998,1463,Francesco Acerbi,a,DC,540.0,0.0,0.0,1.0,1.0,0.0,0.0104074226692318,0.1176537740975617,-0.5,-0.35112395789474266,0.0
2127,2016,1007,1463,Francesco Acerbi,h,DC,630.0,1.0,0.0,2.0,1.0,0.0,0.3259670184925197,0.1176537740975617,2.5,0.5955548295751214,3.0
2449,2016,1018,1463,Francesco Acerbi,a,DC,720.0,1.0,0.0,3.0,1.0,0.0,0.39497299958020426,0.1577179152518509,2.5,0.8426369139924645,0.0
2712,2016,3288,1463,Francesco Acerbi,h,DC,810.0,1.0,0.0,3.0,1.0,0.0,0.39497299958020426,0.1577179152518509,2.5,0.8426369139924645,0.0
2868,2016,3293,1463,Francesco Acerbi,a,DC,900.0,1.0,0.0,3.0,1.0,0.0,0.39497299958020426,0.1577179152518509,2.5,0.8426369139924645,0.0
3214,2016,2752,1463,Francesco Acerbi,h,DC,990.0,1.0,0.0,3.0,2.0,0.0,0.39497299958020426,0.1577179152518509,2.0,0.34263691399246454,-0.5
3425,2016,2759,1463,Francesco Acerbi,a,DC,1080.0,1.0,0.0,5.0,2.0,0.0,0.4438657658174632,0.1577179152518509,2.0,0.4893152127042413,0.0
3844,2016,2774,1463,Francesco Acerbi,a,DC,1170.0,1.0,0.0,5.0,2.0,0.0,0.4438657658174632,0.1577179152518509,2.0,0.4893152127042413,0.0
4053,2016,3072,1463,Francesco Acerbi,h,DC,1260.0,1.0,0.0,5.0,2.0,0.0,0.4438657658174632,0.1577179152518509,2.0,0.4893152127042413,0.0
4402,2016,3084,1463,Francesco Acerbi,a,DC,1350.0,1.0,0.0,5.0,2.0,0.0,0.4438657658174632,0.1577179152518509,2.0,0.4893152127042413,0.0
4581,2016,3090,1463,Francesco Acerbi,h,DC,1440.0,2.0,0.0,8.0,2.0,0.0,0.660504658706486,0.1577179152518509,5.0,1.1392318913713098,3.0
4930,2016,3103,1463,Francesco Acerbi,a,DC,1530.0,2.0,0.0,8.0,2.0,0.0,0.660504658706486,0.2450128886848686,5.0,1.2265268648043275,0.0
5053,2016,3524,1463,Francesco Acerbi,h,DC,1620.0,3.0,0.0,9.0,2.0,0.0,1.4218034939840434,0.3130871076136825,8.0,3.5784975895658135,3.0
5333,2016,3534,1463,Francesco Acerbi,h,DC,1710.0,3.0,0.0,9.0,2.0,0.0,1.4218034939840434,0.3130871076136825,8.0,3.5784975895658135,0.0
5651,2016,3545,1463,Francesco Acerbi,a,DC,1800.0,3.0,0.0,9.0,2.0,0.0,1.4218034939840434,0.3130871076136825,8.0,3.5784975895658135,0.0
5970,2016,3557,1463,Francesco Acerbi,h,DC,1890.0,3.0,0.0,10.0,2.0,0.0,1.4492159197106955,0.3130871076136825,8.0,3.66073486674577,0.0
6151,2016,3562,1463,Francesco Acerbi,a,DC,1980.0,3.0,0.0,10.0,2.0,0.0,1.4492159197106955,0.3130871076136825,8.0,3.66073486674577,0.0
6528,2016,3576,1463,Francesco Acerbi,h,DC,2070.0,3.0,0.0,10.0,2.0,0.0,1.4492159197106955,0.3130871076136825,8.0,3.66073486674577,0.0
6875,2016,3588,1463,Francesco Acerbi,a,DC,2160.0,3.0,0.0,10.0,2.0,0.0,1.4492159197106955,0.3130871076136825,8.0,3.66073486674577,0.0
7114,2016,3596,1463,Francesco Acerbi,h,DC,2250.0,3.0,0.0,10.0,2.0,0.0,1.4492159197106955,0.3130871076136825,8.0,3.66073486674577,0.0
7489,2016,3611,1463,Francesco Acerbi,a,DC,2340.0,3.0,0.0,11.0,2.0,0.0,1.4645094657316802,0.3130871076136825,8.0,3.706615504808724,0.0
7586,2016,3613,1463,Francesco Acerbi,h,DC,2430.0,3.0,0.0,11.0,2.0,0.0,1.4645094657316802,0.3130871076136825,8.0,3.706615504808724,0.0
8076,2016,3631,1463,Francesco Acerbi,a,DC,2520.0,3.0,0.0,14.0,2.0,0.0,1.6391918892040847,0.3130871076136825,8.0,4.230662775225937,0.0
