,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
332,2016,942,1136,Gianluca Lapadula,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,2016,955,1136,Gianluca Lapadula,h,Sub,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,2016,960,1136,Gianluca Lapadula,a,FW,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,2016,1008,1136,Gianluca Lapadula,a,FW,69.0,0.0,0.0,1.0,1.0,0.0,0.1177905350923538,0.0228365287184715,-0.5,-0.123791866004467,-0.5
2248,2016,1011,1136,Gianluca Lapadula,h,Sub,141.0,0.0,0.0,3.0,1.0,0.0,0.853057399392128,0.0228365287184715,-0.5,2.0820087268948555,0.0
3154,2016,2749,1136,Gianluca Lapadula,a,Sub,142.0,0.0,0.0,3.0,1.0,0.0,0.853057399392128,0.0228365287184715,-0.5,2.0820087268948555,0.0
3587,2016,2765,1136,Gianluca Lapadula,h,Sub,152.0,1.0,0.0,4.0,1.0,0.0,0.9959623366594315,0.0228365287184715,2.5,2.510723538696766,3.0
3655,2016,2767,1136,Gianluca Lapadula,a,FW,162.0,1.0,0.0,4.0,1.0,0.0,0.9959623366594315,0.0228365287184715,2.5,2.510723538696766,0.0
3949,2016,3068,1136,Gianluca Lapadula,h,FW,247.0,3.0,0.0,7.0,1.0,0.0,1.2802056521177292,0.045844618231057996,8.5,3.3864615745842457,6.0
4434,2016,3085,1136,Gianluca Lapadula,a,FW,336.0,4.0,0.0,9.0,2.0,0.0,1.3787350207567215,0.0732403751462696,11.0,3.2094454374164343,2.5
4504,2016,3088,1136,Gianluca Lapadula,h,FW,411.0,4.0,0.0,10.0,2.0,0.0,1.4525889530777931,0.0732403751462696,11.0,3.431007234379649,0.0
5175,2016,3528,1136,Gianluca Lapadula,h,Sub,495.0,4.0,0.0,11.0,2.0,0.0,1.5621482282876968,0.0732403751462696,11.0,3.7596850600093603,0.0
5507,2016,3541,1136,Gianluca Lapadula,h,Sub,504.0,4.0,1.0,13.0,2.0,0.0,1.7953134775161743,0.5829171892255542,12.0,4.968857621774077,1.0
6020,2016,3558,1136,Gianluca Lapadula,a,Sub,520.0,4.0,1.0,13.0,2.0,0.0,1.7953134775161743,0.5829171892255542,12.0,4.968857621774077,0.0
6118,2016,3561,1136,Gianluca Lapadula,h,Sub,535.0,4.0,1.0,14.0,2.0,0.0,1.877025730907917,0.5829171892255542,12.0,5.2139943819493055,0.0
6691,2016,3581,1136,Gianluca Lapadula,a,Sub,552.0,4.0,1.0,15.0,2.0,0.0,2.329844243824482,0.6282313410192726,12.0,6.617764072492719,0.0
7319,2016,3602,1136,Gianluca Lapadula,h,Sub,578.0,4.0,1.0,15.0,2.0,0.0,2.329844243824482,0.6282313410192726,12.0,6.617764072492719,0.0
7844,2016,3624,1136,Gianluca Lapadula,h,FW,604.0,5.0,1.0,17.0,2.0,0.0,3.1722362115979195,1.3236724678426979,15.0,9.840381102636456,3.0
8310,2016,3639,1136,Gianluca Lapadula,a,Sub,694.0,5.0,2.0,19.0,2.0,0.0,3.3945670649409294,1.706932747736573,16.0,10.890633942559361,1.0
8547,2016,3647,1136,Gianluca Lapadula,h,Sub,726.0,5.0,2.0,22.0,2.0,0.0,3.6019427850842476,1.706932747736573,16.0,11.512761102989316,0.0
8672,2016,3659,1136,Gianluca Lapadula,a,Sub,740.0,5.0,2.0,22.0,2.0,0.0,3.6019427850842476,2.0593520347028966,16.0,11.86518038995564,0.0
9075,2016,3665,1136,Gianluca Lapadula,h,FW,754.0,5.0,2.0,22.0,2.0,0.0,3.6019427850842476,2.0593520347028966,16.0,11.86518038995564,0.0
9368,2016,3676,1136,Gianluca Lapadula,a,FW,844.0,6.0,2.0,29.0,2.0,0.0,4.528995580971241,2.075753519311547,19.0,14.66274026222527,3.0
9746,2016,3689,1136,Gianluca Lapadula,h,FW,934.0,6.0,2.0,32.0,2.0,0.0,5.412053294479847,2.2675363514572378,19.0,17.50369623489678,0.0
9816,2016,3697,1136,Gianluca Lapadula,a,FW,1024.0,6.0,2.0,33.0,3.0,0.0,5.466198068112135,2.2675363514572378,18.5,17.166130555793643,-0.5
10138,2016,3703,1136,Gianluca Lapadula,h,FW,1114.0,6.0,3.0,37.0,3.0,0.0,5.760115277022123,2.401890123263001,19.5,18.18223595432937,1.0
10406,2016,3717,1136,Gianluca Lapadula,a,Sub,1204.0,7.0,3.0,42.0,3.0,0.0,7.0602197758853436,2.506358074024319,22.5,22.18701740168035,3.0
