,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
892,2016,962,1452,Godfred Donsah,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2115,2016,1006,1452,Godfred Donsah,a,MC,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4661,2016,3093,1452,Godfred Donsah,a,Sub,97.0,0.0,0.0,2.0,0.0,0.0,0.0733591541647911,0.0,0.0,0.2200774624943733,0.0
5211,2016,3529,1452,Godfred Donsah,a,MC,113.0,0.0,0.0,2.0,0.0,0.0,0.0733591541647911,0.0,0.0,0.2200774624943733,0.0
5675,2016,3546,1452,Godfred Donsah,h,Sub,203.0,0.0,0.0,2.0,0.0,0.0,0.0733591541647911,0.0205966793000698,0.0,0.2406741417944431,0.0
5933,2016,3553,1452,Godfred Donsah,a,MC,214.0,0.0,1.0,2.0,0.0,0.0,0.0733591541647911,0.1306642033159732,1.0,0.3507416658103465,1.0
6628,2016,3579,1452,Godfred Donsah,a,MC,304.0,0.0,1.0,3.0,1.0,0.0,0.08632699027657499,0.1306642033159732,0.5,-0.11035482585430151,-0.5
7603,2016,3613,1452,Godfred Donsah,a,MC,394.0,0.0,1.0,5.0,1.0,0.0,0.8520682789385318,0.2253291718661784,0.5,2.2815340086817746,0.0
8220,2016,3633,1452,Godfred Donsah,a,MC,451.0,0.0,1.0,6.0,1.0,0.0,0.9204266928136348,0.2253291718661784,0.5,2.4866092503070836,0.0
9436,2016,3681,1452,Godfred Donsah,h,MC,541.0,0.0,1.0,7.0,1.0,0.0,0.9314241558313369,0.3273986764252184,0.5,2.62167114391923,0.0
9589,2016,3683,1452,Godfred Donsah,a,MC,631.0,0.0,2.0,7.0,1.0,0.0,0.9314241558313369,0.36091904714703543,1.5,2.655191514641047,1.0
9965,2016,3699,1452,Godfred Donsah,h,DMC,721.0,0.0,2.0,7.0,1.0,0.0,0.9314241558313369,0.3752780985087154,1.5,2.669550566002727,0.0
10148,2016,3703,1452,Godfred Donsah,a,DMC,797.0,0.0,2.0,9.0,2.0,0.0,0.9705285541713237,0.3856195602566001,1.0,2.297205222770572,-0.5
