,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
220,2016,938,448,Ivan Perisic,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,2016,943,448,Ivan Perisic,h,FWL,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,2016,958,448,Ivan Perisic,a,AML,96.0,0.0,0.0,3.0,0.0,0.0,0.1161094158887863,0.0,0.0,0.3483282476663589,0.0
1045,2016,968,448,Ivan Perisic,h,Sub,171.0,0.0,0.0,4.0,0.0,0.0,0.1347154285758733,0.2554242610931396,0.0,0.6595705468207598,0.0
1197,2016,973,448,Ivan Perisic,a,FWL,191.0,1.0,0.0,7.0,0.0,0.0,0.3389837648719548,0.2554242610931396,3.0,1.2723755557090044,3.0
1518,2016,985,448,Ivan Perisic,h,AML,281.0,1.0,0.0,9.0,0.0,0.0,0.7545074727386235,0.3644800782203673,3.0,2.6280024964362383,0.0
1923,2016,999,448,Ivan Perisic,a,AML,371.0,2.0,0.0,15.0,0.0,0.0,1.023865094408393,0.823970466852188,6.0,3.895565750077367,3.0
2078,2016,1005,448,Ivan Perisic,h,FWL,461.0,2.0,0.0,19.0,0.0,0.0,1.2206316497176886,1.314429610967636,6.0,4.976324560120702,0.0
2426,2016,1017,448,Ivan Perisic,a,FWR,551.0,2.0,0.0,22.0,0.0,0.0,1.302408179268241,1.893302172422409,6.0,5.800526710227132,0.0
2987,2016,3297,448,Ivan Perisic,a,Sub,641.0,2.0,0.0,24.0,0.0,0.0,1.403777664527297,1.947811957448721,6.0,6.159144951030612,0.0
3249,2016,2753,448,Ivan Perisic,h,AML,654.0,2.0,0.0,24.0,0.0,0.0,1.403777664527297,1.947811957448721,6.0,6.159144951030612,0.0
3599,2016,2765,448,Ivan Perisic,a,AML,744.0,3.0,0.0,25.0,0.0,0.0,1.4480685014277697,2.1706938706338406,9.0,6.5148993749171495,3.0
3865,2016,2775,448,Ivan Perisic,h,AML,834.0,4.0,1.0,31.0,1.0,0.0,2.309729279950261,2.3072816990315914,12.5,8.736469538882375,3.5
3907,2016,3066,448,Ivan Perisic,a,AML,924.0,4.0,1.0,35.0,1.0,0.0,2.6566686052829027,3.0802497528493404,12.5,10.550255568698049,0.0
4370,2016,3083,448,Ivan Perisic,h,Sub,1014.0,4.0,1.0,40.0,1.0,0.0,3.072170050814748,3.0802497528493404,12.5,11.796759905293584,0.0
