,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
75,2016,933,1190,Joel Obi,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,2016,957,1190,Joel Obi,a,Sub,71.0,0.0,0.0,1.0,1.0,0.0,0.0136685948818922,0.0,-0.5,-0.4589942153543234,-0.5
955,2016,965,1190,Joel Obi,h,MC,97.0,0.0,0.0,2.0,1.0,0.0,0.0243624188005924,0.0380810461938381,-0.5,-0.38883169740438467,0.0
1283,2016,976,1190,Joel Obi,a,Sub,173.0,0.0,0.0,4.0,1.0,0.0,0.0579218380153178,0.1811871640384197,-0.5,-0.14504732191562658,0.0
1431,2016,982,1190,Joel Obi,h,MC,189.0,0.0,0.0,4.0,1.0,0.0,0.0579218380153178,0.1811871640384197,-0.5,-0.14504732191562658,0.0
2206,2016,1009,1190,Joel Obi,a,Sub,211.0,0.0,1.0,4.0,1.0,0.0,0.0579218380153178,0.310216661542654,0.5,-0.016017824411392295,1.0
2305,2016,1013,1190,Joel Obi,h,Sub,233.0,0.0,1.0,5.0,1.0,0.0,0.0935113430023192,0.310216661542654,0.5,0.0907506905496119,0.0
2535,2016,3281,1190,Joel Obi,a,MC,249.0,0.0,1.0,5.0,1.0,0.0,0.0935113430023192,0.3252121005207299,0.5,0.1057461295276878,0.0
3056,2016,2746,1190,Joel Obi,h,Sub,326.0,0.0,1.0,5.0,1.0,0.0,0.0935113430023192,0.3252121005207299,0.5,0.1057461295276878,0.0
3490,2016,2761,1190,Joel Obi,a,Sub,354.0,0.0,1.0,5.0,1.0,0.0,0.0935113430023192,0.3697568383067845,0.5,0.15029086731374242,0.0
3615,2016,2766,1190,Joel Obi,h,Sub,372.0,0.0,1.0,6.0,1.0,0.0,0.14539192616939528,0.3697568383067845,0.5,0.30593261681497075,0.0
4864,2016,3102,1190,Joel Obi,h,MC,403.0,0.0,1.0,7.0,1.0,0.0,0.2054166272282598,0.3697568383067845,0.5,0.4860067199915644,0.0
5071,2016,3524,1190,Joel Obi,a,MC,477.0,0.0,1.0,7.0,1.0,0.0,0.2054166272282598,0.3697568383067845,0.5,0.4860067199915644,0.0
5474,2016,3539,1190,Joel Obi,h,MC,557.0,0.0,1.0,9.0,1.0,0.0,0.6853678598999974,0.4290465880185364,0.5,1.9851501677185293,0.0
5893,2016,3552,1190,Joel Obi,h,MC,619.0,0.0,1.0,10.0,2.0,0.0,0.8242781832814212,0.4290465880185364,0.0,1.901881137862801,-0.5
6189,2016,3563,1190,Joel Obi,a,Sub,648.0,0.0,1.0,10.0,2.0,0.0,0.8242781832814212,0.4556637052446602,0.0,1.928498255088925,0.0
6504,2016,3575,1190,Joel Obi,h,MC,667.0,0.0,1.0,10.0,3.0,0.0,0.8242781832814212,0.4863680787384508,-0.5,1.4592026285827155,-0.5
9538,2016,3691,1190,Joel Obi,a,Sub,712.0,0.0,2.0,10.0,3.0,0.0,0.8242781832814212,0.599867310374975,0.5,1.5727018602192397,1.0
9945,2016,3698,1190,Joel Obi,h,Sub,726.0,0.0,2.0,10.0,3.0,0.0,0.8242781832814212,0.599867310374975,0.5,1.5727018602192397,0.0
10558,2016,3720,1190,Joel Obi,h,Sub,740.0,0.0,2.0,10.0,3.0,0.0,0.8242781832814212,0.6144134989008305,0.5,1.5872480487450953,0.0
