,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
312,2016,942,1389,Jorginho,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,2016,952,1389,Jorginho,a,MC,90.0,0.0,0.0,4.0,1.0,0.0,0.0846756845712661,0.089393138885498,-0.5,-0.1565798074007034,-0.5
872,2016,962,1389,Jorginho,h,MC,180.0,0.0,0.0,5.0,1.0,0.0,0.0974284997209905,0.5252474844455718,-0.5,0.3175329836085439,0.0
1221,2016,974,1389,Jorginho,a,MC,254.0,0.0,0.0,6.0,1.0,0.0,0.11200875230133511,0.5508733261376618,-0.5,0.3868995830416679,0.0
1404,2016,981,1389,Jorginho,h,MC,344.0,0.0,0.0,7.0,2.0,0.0,0.1312902327626941,0.5702182576060293,-1.0,-0.03591104410588741,-0.5
1781,2016,994,1389,Jorginho,a,MC,414.0,0.0,0.0,7.0,2.0,0.0,0.1312902327626941,0.5702182576060293,-1.0,-0.03591104410588741,0.0
1933,2016,1000,1389,Jorginho,h,MC,486.0,0.0,0.0,7.0,2.0,0.0,0.1312902327626941,0.5831967554986474,-1.0,-0.022932546213269314,0.0
2605,2016,3284,1389,Jorginho,h,MC,576.0,0.0,0.0,10.0,2.0,0.0,0.43573770485818364,0.6752513907849784,-1.0,0.9824645053595303,0.0
3835,2016,2774,1389,Jorginho,h,MC,648.0,0.0,0.0,11.0,2.0,0.0,0.49150657095015027,0.6752513907849784,-1.0,1.1497711036354303,0.0
4238,2016,3078,1389,Jorginho,a,MC,728.0,0.0,0.0,11.0,2.0,0.0,0.49150657095015027,0.7185653224587435,-1.0,1.1930850353091955,0.0
4556,2016,3092,1389,Jorginho,h,MC,818.0,0.0,0.0,11.0,2.0,0.0,0.49150657095015027,0.7351575773209327,-1.0,1.2096772901713848,0.0
5003,2016,3521,1389,Jorginho,h,MC,888.0,0.0,0.0,12.0,2.0,0.0,0.5043259710073469,0.9193904679268592,-1.0,1.4323683809489012,0.0
5365,2016,3535,1389,Jorginho,h,MC,959.0,0.0,0.0,13.0,2.0,0.0,0.5202797465026376,0.9193904679268592,-1.0,1.4802297074347734,0.0
5517,2016,3541,1389,Jorginho,a,MC,1049.0,0.0,1.0,14.0,2.0,0.0,0.5397185888141391,1.4810173790901893,0.0,2.100173145532608,1.0
6029,2016,3559,1389,Jorginho,h,MC,1111.0,0.0,1.0,15.0,2.0,0.0,0.5593552570790049,1.4810173790901893,0.0,2.1590831503272057,0.0
6908,2016,3589,1389,Jorginho,a,MC,1176.0,0.0,1.0,15.0,2.0,0.0,0.5593552570790049,1.7011070381849998,0.0,2.379172809422016,0.0
7272,2016,3608,1389,Jorginho,a,MC,1266.0,0.0,1.0,17.0,2.0,0.0,0.6498487871140238,1.7373698074370616,0.0,2.6869161687791348,0.0
7674,2016,3615,1389,Jorginho,h,MC,1332.0,0.0,1.0,17.0,2.0,0.0,0.6498487871140238,1.7373698074370616,0.0,2.6869161687791348,0.0
7882,2016,3628,1389,Jorginho,a,MC,1422.0,0.0,2.0,17.0,2.0,0.0,0.6498487871140238,2.205880941823124,1.0,3.1554273031651974,1.0
8317,2016,3637,1389,Jorginho,h,MC,1485.0,0.0,2.0,18.0,3.0,0.0,0.6912259515374896,2.205880941823124,0.5,2.7795587964355946,-0.5
8638,2016,3646,1389,Jorginho,a,MC,1575.0,0.0,2.0,19.0,3.0,0.0,0.7077502924948926,2.2434968892484894,0.5,2.8667477667331696,0.0
8906,2016,3661,1389,Jorginho,h,MC,1665.0,0.0,2.0,19.0,3.0,0.0,0.7077502924948926,2.3296702075749627,0.5,2.952921085059643,0.0
9002,2016,3668,1389,Jorginho,a,MC,1755.0,0.0,3.0,21.0,3.0,0.0,0.7702004816383118,2.699483083561062,1.5,3.510084528476,1.0
9492,2016,3684,1389,Jorginho,h,MC,1837.0,0.0,3.0,21.0,3.0,0.0,0.7702004816383118,2.7230432629585257,1.5,3.5336447078734636,0.0
9953,2016,3698,1389,Jorginho,a,MC,1927.0,0.0,3.0,22.0,3.0,0.0,0.7905589696019882,2.865439310669898,1.5,3.7371162194758654,0.0
10079,2016,3706,1389,Jorginho,h,MC,2017.0,0.0,3.0,22.0,3.0,0.0,0.7905589696019882,2.865439310669898,1.5,3.7371162194758654,0.0
10457,2016,3718,1389,Jorginho,a,MC,2086.0,0.0,3.0,22.0,3.0,0.0,0.7905589696019882,3.6317215114831916,1.5,4.503398420289159,0.0
