,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
126,2016,935,1374,José Reina,a,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,2016,942,1374,José Reina,h,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,2016,952,1374,José Reina,a,GK,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,2016,962,1374,José Reina,h,GK,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1215,2016,974,1374,José Reina,a,GK,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,2016,981,1374,José Reina,h,GK,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774,2016,994,1374,José Reina,a,GK,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,2016,1000,1374,José Reina,h,GK,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2362,2016,1015,1374,José Reina,a,GK,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598,2016,3284,1374,José Reina,h,GK,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2808,2016,3291,1374,José Reina,a,GK,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072,2016,2747,1374,José Reina,h,GK,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3366,2016,2757,1374,José Reina,a,GK,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3828,2016,2774,1374,José Reina,h,GK,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3884,2016,3066,1374,José Reina,h,GK,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231,2016,3078,1374,José Reina,a,GK,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4551,2016,3092,1374,José Reina,h,GK,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4955,2016,3104,1374,José Reina,a,GK,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996,2016,3521,1374,José Reina,h,GK,1620.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
5358,2016,3535,1374,José Reina,h,GK,1710.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
5510,2016,3541,1374,José Reina,a,GK,1800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
6023,2016,3559,1374,José Reina,h,GK,1890.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
6092,2016,3560,1374,José Reina,a,GK,1980.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
6414,2016,3572,1374,José Reina,h,GK,2070.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
6901,2016,3589,1374,José Reina,a,GK,2160.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
6971,2016,3592,1374,José Reina,h,GK,2250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
7265,2016,3608,1374,José Reina,a,GK,2340.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
7668,2016,3615,1374,José Reina,h,GK,2430.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
7877,2016,3628,1374,José Reina,a,GK,2520.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
8633,2016,3646,1374,José Reina,a,GK,2610.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
8899,2016,3661,1374,José Reina,h,GK,2700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
8996,2016,3668,1374,José Reina,a,GK,2790.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
9471,2016,3677,1374,José Reina,a,GK,2880.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
9485,2016,3684,1374,José Reina,h,GK,2970.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
9946,2016,3698,1374,José Reina,a,GK,3060.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
10072,2016,3706,1374,José Reina,h,GK,3150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
10450,2016,3718,1374,José Reina,a,GK,3240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023009344935417,-0.5,-0.3976990655064583,0.0
