,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1396,2016,980,1089,Juan Cuadrado,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722,2016,992,1089,Juan Cuadrado,a,DMR,60.0,0.0,0.0,1.0,0.0,0.0,0.017373701557517,0.0,0.0,0.0521211046725511,0.0
1989,2016,1002,1089,Juan Cuadrado,h,MR,150.0,0.0,0.0,6.0,0.0,0.0,0.6641241516917944,0.0467629693448543,0.0,2.0391354244202375,0.0
2261,2016,1011,1089,Juan Cuadrado,a,Sub,240.0,0.0,0.0,10.0,0.0,0.0,0.8567715939134359,0.1644069515168666,0.0,2.7347217332571745,0.0
2546,2016,3282,1089,Juan Cuadrado,h,DMR,298.0,0.0,0.0,12.0,0.0,0.0,0.9214836787432431,0.2268012538552283,0.0,2.991252290084958,0.0
2805,2016,3291,1089,Juan Cuadrado,h,Sub,388.0,0.0,2.0,12.0,0.0,0.0,0.9214836787432431,1.301030732691288,2.0,4.065481768921018,2.0
3178,2016,2750,1089,Juan Cuadrado,a,FWR,440.0,0.0,2.0,12.0,0.0,0.0,0.9214836787432431,1.4447162672877312,2.0,4.209167303517461,0.0
3392,2016,2758,1089,Juan Cuadrado,h,Sub,530.0,0.0,3.0,14.0,1.0,0.0,1.3668330144137144,1.764745645225048,2.5,5.365244688466191,0.5
3767,2016,2771,1089,Juan Cuadrado,a,FW,596.0,0.0,3.0,14.0,1.0,0.0,1.3668330144137144,1.9115296229720116,2.5,5.512028666213155,0.0
3924,2016,3067,1089,Juan Cuadrado,h,Sub,686.0,0.0,3.0,15.0,2.0,0.0,1.3868867121636868,2.0355354622006416,2.0,5.196195598691702,-0.5
4267,2016,3079,1089,Juan Cuadrado,a,FWR,700.0,0.0,3.0,17.0,2.0,0.0,1.5387820862233639,2.0355354622006416,2.0,5.651881720870733,0.0
4535,2016,3089,1089,Juan Cuadrado,h,Sub,782.0,0.0,3.0,17.0,2.0,0.0,1.5387820862233639,2.172245793044567,2.0,5.788592051714659,0.0
5201,2016,3529,1089,Juan Cuadrado,h,Sub,821.0,0.0,3.0,17.0,2.0,0.0,1.5387820862233639,2.192046396434307,2.0,5.808392655104399,0.0
5458,2016,3538,1089,Juan Cuadrado,a,DMR,840.0,0.0,3.0,17.0,2.0,0.0,1.5387820862233639,2.217775845900178,2.0,5.83412210457027,0.0
5587,2016,3542,1089,Juan Cuadrado,h,AMR,930.0,0.0,3.0,17.0,2.0,0.0,1.5387820862233639,2.241008745506406,2.0,5.8573550041764975,0.0
5989,2016,3557,1089,Juan Cuadrado,a,AMR,1020.0,0.0,4.0,17.0,2.0,0.0,1.5387820862233639,2.8841063249856234,3.0,6.500452583655715,1.0
6309,2016,3568,1089,Juan Cuadrado,h,AMR,1106.0,0.0,4.0,18.0,2.0,0.0,1.6593883521854877,3.535252498462796,3.0,7.5134175550192595,0.0
6658,2016,3580,1089,Juan Cuadrado,a,AMR,1178.0,1.0,4.0,20.0,3.0,0.0,1.6849860083311796,3.6938801128417253,5.5,7.248838137835264,2.5
6704,2016,3582,1089,Juan Cuadrado,h,Sub,1268.0,1.0,4.0,21.0,4.0,0.0,1.7125067692250013,3.759779380634427,5.0,6.897299688309431,-0.5
7006,2016,3595,1089,Juan Cuadrado,h,AMR,1288.0,1.0,4.0,23.0,4.0,0.0,1.8549994956701994,3.759779380634427,5.0,7.324777867645025,0.0
7438,2016,3606,1089,Juan Cuadrado,a,AMR,1373.0,1.0,4.0,25.0,4.0,0.0,1.9966150652617216,4.18685214407742,5.0,8.176697339862585,0.0
7968,2016,3626,1089,Juan Cuadrado,a,AMR,1447.0,1.0,4.0,26.0,5.0,0.0,2.056226121261716,4.232454655691981,4.5,7.901133019477129,-0.5
8336,2016,3637,1089,Juan Cuadrado,a,Sub,1522.0,2.0,4.0,27.0,5.0,0.0,2.6446534264832735,4.232454655691981,7.5,9.666414935141802,3.0
8430,2016,3642,1089,Juan Cuadrado,h,AMR,1550.0,2.0,4.0,27.0,5.0,0.0,2.6446534264832735,4.232454655691981,7.5,9.666414935141802,0.0
8836,2016,3657,1089,Juan Cuadrado,a,AMR,1617.0,2.0,4.0,28.0,5.0,0.0,2.773800717666745,4.277271592989564,7.5,10.0986737459898,0.0
9226,2016,3674,1089,Juan Cuadrado,a,AMR,1705.0,2.0,5.0,29.0,5.0,0.0,2.8052838649600744,5.534435236826539,8.5,11.450286831706762,1.0
9520,2016,3691,1089,Juan Cuadrado,h,AMR,1784.0,2.0,5.0,30.0,6.0,0.0,2.853196220472455,5.632966490462422,8.0,11.192555151879787,-0.5
10038,2016,3695,1089,Juan Cuadrado,a,FWR,1874.0,2.0,5.0,33.0,7.0,0.0,2.909773403778672,5.795438574627042,7.5,11.024758785963058,-0.5
10191,2016,3705,1089,Juan Cuadrado,h,AMR,1952.0,2.0,5.0,34.0,7.0,0.0,2.929158540442586,5.864545749500394,7.5,11.152021370828152,0.0
10373,2016,3715,1089,Juan Cuadrado,a,AMR,2024.0,2.0,6.0,35.0,7.0,0.0,3.019125485792756,6.420222686603665,8.5,11.977599143981934,1.0
