,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1133,2016,978,1434,Khouma Babacar,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1584,2016,997,1434,Khouma Babacar,a,Sub,90.0,1.0,0.0,3.0,0.0,0.0,0.1760251820087433,0.0,3.0,0.5280755460262299,3.0
1714,2016,1003,1434,Khouma Babacar,h,FW,112.0,2.0,0.0,4.0,0.0,0.0,0.5924248099327087,0.0,6.0,1.7772744297981262,3.0
2259,2016,3286,1434,Khouma Babacar,h,FW,195.0,2.0,0.0,6.0,0.0,0.0,0.789267137646675,0.0,6.0,2.3678014129400253,0.0
3446,2016,3073,1434,Khouma Babacar,h,FW,283.0,2.0,0.0,9.0,0.0,0.0,0.8735871016979216,0.0220961160957813,6.0,2.6428574211895466,0.0
4667,2016,3540,1434,Khouma Babacar,a,FW,373.0,3.0,0.0,12.0,0.0,0.0,1.1915071606636047,0.0868267901241779,9.0,3.661348272114992,3.0
5099,2016,3523,1434,Khouma Babacar,a,FW,463.0,4.0,0.0,14.0,0.0,0.0,2.023636043071747,0.0868267901241779,12.0,6.157734919339418,3.0
5327,2016,3569,1434,Khouma Babacar,a,FW,553.0,4.0,0.0,15.0,0.0,0.0,2.0458706449717283,0.0868267901241779,12.0,6.224438725039363,0.0
5408,2016,3573,1434,Khouma Babacar,h,FW,643.0,4.0,0.0,18.0,0.0,0.0,2.176157293841243,0.0868267901241779,12.0,6.615298671647906,0.0
6649,2016,3623,1434,Khouma Babacar,a,Sub,712.0,5.0,0.0,21.0,0.0,0.0,2.294300450012088,0.0868267901241779,15.0,6.969728140160441,3.0
6873,2016,3633,1434,Khouma Babacar,h,Sub,730.0,5.0,0.0,22.0,0.0,0.0,2.3767293971031904,0.18473744019865979,15.0,7.314925631508231,0.0
7096,2016,3643,1434,Khouma Babacar,a,FW,771.0,6.0,0.0,23.0,0.0,0.0,2.4105736259371042,0.18473744019865979,18.0,7.416458318009973,3.0
7369,2016,3656,1434,Khouma Babacar,h,Sub,861.0,7.0,0.0,27.0,0.0,0.0,2.8010315243154764,0.18473744019865979,21.0,8.58783201314509,3.0
7509,2016,3667,1434,Khouma Babacar,h,FW,889.0,7.0,0.0,27.0,0.0,0.0,2.8010315243154764,0.18473744019865979,21.0,8.58783201314509,0.0
7821,2016,3673,1434,Khouma Babacar,a,FW,979.0,9.0,0.0,31.0,0.0,0.0,3.5302073303610086,0.18473744019865979,27.0,10.775359431281686,6.0
8190,2016,3696,1434,Khouma Babacar,h,FW,1069.0,9.0,0.0,33.0,0.0,0.0,3.900056118145585,0.18473744019865979,27.0,11.884905794635415,0.0
8464,2016,3706,1434,Khouma Babacar,a,Sub,1159.0,10.0,0.0,38.0,0.0,0.0,4.198702061548829,0.2579116709530352,30.0,12.854017855599523,3.0
8833,2016,3719,1434,Khouma Babacar,h,FW,1195.0,10.0,0.0,40.0,0.0,0.0,4.509141528978944,0.2579116709530352,30.0,13.785336257889867,0.0
