,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
6,2016,931,1248,Leandro Paredes,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,2016,977,1248,Leandro Paredes,h,DMC,90.0,0.0,0.0,1.0,0.0,0.0,0.0160356611013412,0.5481915473937988,0.0,0.5962985306978226,0.0
1649,2016,1000,1248,Leandro Paredes,a,DMC,180.0,0.0,0.0,2.0,0.0,0.0,0.0331149827688931,0.7473258078098296,0.0,0.8466707561165094,0.0
2084,2016,1019,1248,Leandro Paredes,h,DMC,270.0,0.0,0.0,2.0,1.0,0.0,0.0331149827688931,0.7473258078098296,0.0,0.34667075611650944,0.0
2317,2016,3288,1248,Leandro Paredes,a,Sub,360.0,1.0,0.0,5.0,1.0,0.0,0.0797804724425076,0.7638340145349501,3.0,0.5031754318624735,3.0
2500,2016,3296,1248,Leandro Paredes,a,DMC,379.0,1.0,0.0,7.0,1.0,0.0,0.14103580452501752,0.7638340145349501,3.0,0.6869414281100034,0.0
2795,2016,2755,1248,Leandro Paredes,h,Sub,469.0,1.0,0.0,12.0,1.0,0.0,0.2771059516817329,1.0949648469686506,3.0,1.4262827020138502,0.0
2996,2016,2763,1248,Leandro Paredes,a,Sub,500.0,1.0,0.0,12.0,2.0,0.0,0.2771059516817329,1.0949648469686506,3.0,0.9262827020138502,0.0
4549,2016,3536,1248,Leandro Paredes,a,MC,516.0,1.0,0.0,12.0,2.0,0.0,0.2771059516817329,1.0949648469686506,3.0,0.9262827020138502,0.0
5438,2016,3574,1248,Leandro Paredes,a,MC,606.0,1.0,0.0,13.0,2.0,0.0,0.2929421849548814,1.1672239303588865,3.0,1.0460504852235317,0.0
5799,2016,3590,1248,Leandro Paredes,h,MC,696.0,1.0,0.0,14.0,2.0,0.0,0.3302062749862668,1.2549835368990896,3.0,1.245602361857891,0.0
6500,2016,3618,1248,Leandro Paredes,a,DMC,786.0,2.0,0.0,16.0,2.0,0.0,0.3687694892287251,1.4396037086844442,6.0,1.5459121763706207,3.0
6749,2016,3631,1248,Leandro Paredes,h,MC,876.0,2.0,0.0,18.0,3.0,0.0,0.4424482136964794,1.9301502630114553,6.0,1.757494904100895,0.0
6797,2016,3636,1248,Leandro Paredes,h,MC,966.0,3.0,0.0,20.0,3.0,0.0,0.4833294302225108,2.1040234491229057,9.0,2.0540117397904396,3.0
7707,2016,3670,1248,Leandro Paredes,a,MC,1056.0,3.0,0.0,23.0,3.0,0.0,0.5317219235002989,2.1536294519901276,9.0,2.248795222491026,0.0
8173,2016,3689,1248,Leandro Paredes,a,DMC,1139.0,3.0,0.0,26.0,3.0,0.0,0.6042597182095045,2.5392126739025116,9.0,2.851991828531027,0.0
8400,2016,3695,1248,Leandro Paredes,h,MC,1229.0,3.0,1.0,26.0,3.0,0.0,0.6042597182095045,3.0705139338970184,10.0,3.3832930885255337,1.0
8435,2016,3709,1248,Leandro Paredes,a,MC,1319.0,3.0,1.0,27.0,4.0,0.0,0.6154368408024306,3.211627811193466,10.0,3.0579383336007595,0.0
