,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
66,2016,933,1126,M&#039;Baye Niang,h,FWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,2016,942,1126,M&#039;Baye Niang,a,FWL,90.0,0.0,1.0,2.0,0.0,0.0,0.4718523323535919,0.3858757317066192,1.0,1.801432728767395,1.0
833,2016,960,1126,M&#039;Baye Niang,a,FWL,178.0,1.0,1.0,7.0,0.0,1.0,0.6784066408872604,0.8286226093769073,3.5,2.3638425320386887,2.5
1099,2016,970,1126,M&#039;Baye Niang,h,FWL,268.0,1.0,1.0,7.0,0.0,1.0,0.6784066408872604,0.8694768585264683,3.5,2.4046967811882496,0.0
1589,2016,987,1126,M&#039;Baye Niang,a,FWL,358.0,2.0,1.0,14.0,0.0,1.0,2.3433262556791306,0.9358092211186886,6.5,7.46578798815608,3.0
1885,2016,998,1126,M&#039;Baye Niang,h,Sub,426.0,2.0,1.0,17.0,0.0,1.0,2.4829004406929016,0.9358092211186886,6.5,7.884510543197393,0.0
2176,2016,1008,1126,M&#039;Baye Niang,a,FWL,470.0,2.0,2.0,17.0,0.0,1.0,2.4829004406929016,1.0151345394551754,7.5,7.96383586153388,1.0
2246,2016,1011,1126,M&#039;Baye Niang,h,FWL,560.0,3.0,2.0,20.0,0.0,1.0,3.1229313015937805,1.068236593157053,10.5,9.937030497938395,3.0
2512,2016,1020,1126,M&#039;Baye Niang,a,FWL,632.0,3.0,2.0,20.0,0.0,1.0,3.1229313015937805,1.0986692756414413,10.5,9.967463180422783,0.0
2888,2016,3294,1126,M&#039;Baye Niang,h,FWL,703.0,3.0,2.0,21.0,0.0,1.0,3.192462883889675,1.1226625554263592,10.5,10.200051207095385,0.0
3586,2016,2765,1126,M&#039;Baye Niang,h,FWL,766.0,3.0,2.0,24.0,0.0,1.0,3.2883516624569893,1.5907005779445171,10.5,10.955755565315485,0.0
3658,2016,2767,1126,M&#039;Baye Niang,a,Sub,846.0,3.0,2.0,24.0,0.0,1.0,3.2883516624569893,1.5907005779445171,10.5,10.955755565315485,0.0
3950,2016,3068,1126,M&#039;Baye Niang,h,FWL,857.0,3.0,2.0,24.0,0.0,1.0,3.2883516624569893,1.5907005779445171,10.5,10.955755565315485,0.0
4435,2016,3085,1126,M&#039;Baye Niang,a,FWL,938.0,3.0,2.0,27.0,0.0,1.0,4.148580975830555,1.5907005779445171,10.5,13.536443505436182,0.0
4508,2016,3088,1126,M&#039;Baye Niang,h,Sub,1028.0,3.0,2.0,29.0,0.0,1.0,4.931521065533161,1.5907005779445171,10.5,15.885263774544,0.0
5172,2016,3528,1126,M&#039;Baye Niang,h,FWL,1029.0,3.0,2.0,29.0,0.0,1.0,4.931521065533161,1.5907005779445171,10.5,15.885263774544,0.0
5493,2016,3539,1126,M&#039;Baye Niang,a,Sub,1119.0,3.0,2.0,35.0,0.0,1.0,5.1396322175860405,1.6520629860460758,10.5,16.570959638804197,0.0
5508,2016,3541,1126,M&#039;Baye Niang,h,Sub,1124.0,3.0,2.0,35.0,0.0,1.0,5.1396322175860405,1.6520629860460758,10.5,16.570959638804197,0.0
