,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
228,2016,940,1405,Marco Borriello,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,2016,948,1405,Marco Borriello,h,FW,90.0,1.0,0.0,1.0,1.0,0.0,0.1366468966007232,0.0,3.0,-0.0900593101978302,3.0
533,2016,953,1405,Marco Borriello,a,FW,180.0,2.0,0.0,5.0,1.0,0.0,0.8655432760715485,0.0,6.0,2.096629828214646,3.0
835,2016,966,1405,Marco Borriello,h,FW,270.0,2.0,0.0,8.0,1.0,0.0,1.0574368238449097,0.0,6.0,2.6723104715347294,0.0
1058,2016,975,1405,Marco Borriello,a,FW,360.0,4.0,0.0,13.0,1.0,0.0,1.3344385921955109,0.0488969795405864,12.0,3.5522127561271195,6.0
1385,2016,989,1405,Marco Borriello,h,FW,406.0,4.0,0.0,13.0,1.0,0.0,1.3344385921955109,0.0488969795405864,12.0,3.5522127561271195,0.0
1548,2016,996,1405,Marco Borriello,h,FW,496.0,4.0,0.0,14.0,1.0,0.0,1.4127825126051903,0.125073131173849,12.0,3.8634206689894204,0.0
1774,2016,1005,1405,Marco Borriello,a,Sub,586.0,4.0,0.0,16.0,1.0,0.0,1.5968323722481728,0.1566864177584647,12.0,4.447183534502983,0.0
1968,2016,1014,1405,Marco Borriello,h,FW,616.0,4.0,0.0,17.0,1.0,0.0,1.6477868035435677,0.1566864177584647,12.0,4.600046828389168,0.0
2196,2016,3283,1405,Marco Borriello,a,FW,706.0,5.0,0.0,18.0,1.0,0.0,1.7134305834770203,0.1566864177584647,15.0,4.796978168189526,3.0
2560,2016,2745,1405,Marco Borriello,h,FW,782.0,5.0,0.0,21.0,1.0,0.0,2.5132134556770325,0.2621081918478011,15.0,7.301748558878899,0.0
2595,2016,2746,1405,Marco Borriello,a,FW,872.0,5.0,0.0,22.0,1.0,0.0,2.5596984438598156,0.2621081918478011,15.0,7.441203523427248,0.0
3122,2016,2769,1405,Marco Borriello,h,FW,928.0,5.0,0.0,22.0,1.0,0.0,2.5596984438598156,0.2621081918478011,15.0,7.441203523427248,0.0
3388,2016,3070,1405,Marco Borriello,a,FW,1018.0,5.0,0.0,24.0,1.0,0.0,2.717079844325781,0.5972546488046645,15.0,8.248494181782007,0.0
3564,2016,3078,1405,Marco Borriello,h,FW,1101.0,6.0,0.0,26.0,2.0,0.0,2.81712269410491,0.6069841720163821,18.0,8.058352254331112,3.0
4154,2016,3103,1405,Marco Borriello,h,Sub,1174.0,6.0,0.0,26.0,2.0,0.0,2.81712269410491,0.6531293429434298,18.0,8.10449742525816,0.0
4366,2016,3528,1405,Marco Borriello,a,Sub,1225.0,7.0,0.0,27.0,2.0,0.0,2.890021976083517,0.6531293429434298,21.0,8.323195271193981,3.0
4449,2016,3532,1405,Marco Borriello,h,FW,1240.0,7.0,0.0,27.0,2.0,0.0,2.890021976083517,0.7090692631900309,21.0,8.379135191440582,0.0
