,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
140,2016,936,1501,Marco Sportiello,h,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,2016,944,1501,Marco Sportiello,a,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,2016,957,1501,Marco Sportiello,h,GK,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3786,2016,2772,1501,Marco Sportiello,a,GK,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0513244085013866,0.0,0.0513244085013866,0.0
3926,2016,3067,1501,Marco Sportiello,a,GK,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0513244085013866,0.0,0.0513244085013866,0.0
4301,2016,3081,1501,Marco Sportiello,h,GK,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0513244085013866,0.0,0.0513244085013866,0.0
4509,2016,3088,1501,Marco Sportiello,a,GK,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0513244085013866,0.0,0.0513244085013866,0.0
4746,2016,3097,1501,Marco Sportiello,h,GK,630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0513244085013866,-0.5,-0.4486755914986134,-0.5
5940,2016,3556,1501,Marco Sportiello,h,GK,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0513244085013866,-0.5,-0.4486755914986134,0.0
6064,2016,3523,1501,Marco Sportiello,a,GK,810.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0513244085013866,-0.5,-0.4486755914986134,0.0
