,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
181,2016,937,1453,Marios Oikonomou,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,2016,946,1453,Marios Oikonomou,a,DC,33.0,0.0,0.0,1.0,0.0,0.0,0.0416180491447448,0.0,0.0,0.1248541474342346,0.0
616,2016,953,1453,Marios Oikonomou,h,DC,123.0,0.0,0.0,1.0,0.0,0.0,0.0416180491447448,0.0548187941312789,0.0,0.1796729415655135,0.0
881,2016,962,1453,Marios Oikonomou,a,DC,213.0,0.0,0.0,1.0,0.0,0.0,0.0416180491447448,0.0548187941312789,0.0,0.1796729415655135,0.0
1534,2016,985,1453,Marios Oikonomou,a,Sub,303.0,0.0,0.0,1.0,0.0,0.0,0.0416180491447448,0.0548187941312789,0.0,0.1796729415655135,0.0
1799,2016,995,1453,Marios Oikonomou,h,Sub,329.0,0.0,0.0,1.0,0.0,0.0,0.0416180491447448,0.0548187941312789,0.0,0.1796729415655135,0.0
2122,2016,1006,1453,Marios Oikonomou,a,Sub,371.0,0.0,0.0,1.0,0.0,0.0,0.0416180491447448,0.0548187941312789,0.0,0.1796729415655135,0.0
4149,2016,3075,1453,Marios Oikonomou,a,DC,377.0,0.0,0.0,1.0,0.0,0.0,0.0416180491447448,0.0548187941312789,0.0,0.1796729415655135,0.0
5207,2016,3529,1453,Marios Oikonomou,a,DC,467.0,0.0,0.0,2.0,0.0,0.0,0.0488493582233785,0.0548187941312789,0.0,0.2013668688014148,0.0
5243,2016,3530,1453,Marios Oikonomou,a,Sub,557.0,0.0,0.0,2.0,0.0,0.0,0.0488493582233785,0.0548187941312789,0.0,0.2013668688014148,0.0
5664,2016,3546,1453,Marios Oikonomou,h,DC,606.0,0.0,0.0,2.0,0.0,0.0,0.0488493582233785,0.0548187941312789,0.0,0.2013668688014148,0.0
5928,2016,3553,1453,Marios Oikonomou,a,DC,696.0,0.0,0.0,3.0,0.0,0.0,0.2977546593174336,0.0548187941312789,0.0,0.9480827720835803,0.0
6080,2016,3560,1453,Marios Oikonomou,h,DC,786.0,0.0,0.0,3.0,0.0,0.0,0.2977546593174336,0.0548187941312789,0.0,0.9480827720835803,0.0
6626,2016,3579,1453,Marios Oikonomou,a,DC,876.0,0.0,0.0,3.0,0.0,0.0,0.2977546593174336,0.0894752964377402,0.0,0.9827392743900416,0.0
6778,2016,3585,1453,Marios Oikonomou,h,DC,966.0,0.0,0.0,5.0,0.0,0.0,0.3230526307597754,0.0894752964377402,0.0,1.058633188717067,0.0
7071,2016,3593,1453,Marios Oikonomou,a,DC,1056.0,0.0,0.0,5.0,0.0,0.0,0.3230526307597754,0.0894752964377402,0.0,1.058633188717067,0.0
7502,2016,3607,1453,Marios Oikonomou,h,DC,1146.0,0.0,0.0,5.0,1.0,0.0,0.3230526307597754,0.0894752964377402,-0.5,0.558633188717067,-0.5
9442,2016,3681,1453,Marios Oikonomou,h,Sub,1236.0,0.0,0.0,6.0,1.0,0.0,0.3304422730579969,0.0894752964377402,-0.5,0.5808021156117317,0.0
