,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
194,2016,939,1315,Massimo Maccarone,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,2016,959,1315,Massimo Maccarone,h,FW,84.0,0.0,0.0,4.0,0.0,1.0,0.2097636759281158,0.0,0.0,0.1292910277843475,0.0
999,2016,973,1315,Massimo Maccarone,h,FW,147.0,0.0,0.0,5.0,0.0,1.0,0.2345527056604623,0.0343699716031551,0.0,0.23802808858454222,0.0
1451,2016,992,1315,Massimo Maccarone,h,FW,237.0,0.0,0.0,7.0,1.0,1.0,0.3702887389808892,0.0343699716031551,0.0,0.14523618854582312,0.0
1751,2016,1004,1315,Massimo Maccarone,a,Sub,297.0,0.0,0.0,8.0,1.0,1.0,0.444227362051606,0.0343699716031551,0.0,0.3670520577579736,0.0
2017,2016,1016,1315,Massimo Maccarone,h,FW,319.0,0.0,0.0,8.0,1.0,1.0,0.444227362051606,0.0343699716031551,0.0,0.3670520577579736,0.0
2223,2016,3284,1315,Massimo Maccarone,a,Sub,409.0,0.0,0.0,10.0,1.0,1.0,0.4928770568221805,0.0343699716031551,0.0,0.5130011420696974,0.0
2493,2016,3296,1315,Massimo Maccarone,h,Sub,432.0,0.0,0.0,12.0,1.0,1.0,0.6230876501649616,0.0343699716031551,0.0,0.9036329220980406,0.0
2642,2016,2748,1315,Massimo Maccarone,a,FW,453.0,0.0,0.0,14.0,1.0,1.0,0.6940723266452548,0.0343699716031551,0.0,1.1165869515389204,0.0
2956,2016,2762,1315,Massimo Maccarone,h,FW,520.0,2.0,1.0,16.0,1.0,1.0,1.3304168786853547,0.7315452955663204,7.0,3.722795931622386,7.0
3074,2016,2767,1315,Massimo Maccarone,h,FW,610.0,2.0,1.0,22.0,1.0,1.0,1.851043483242392,0.7315452955663204,7.0,5.284675745293498,0.0
3433,2016,3072,1315,Massimo Maccarone,a,FW,700.0,2.0,1.0,30.0,1.0,1.0,2.633974930271506,0.8294449932873248,7.0,7.731369784101844,0.0
3668,2016,3082,1315,Massimo Maccarone,a,FW,756.0,2.0,1.0,30.0,1.0,1.0,2.633974930271506,0.8294449932873248,7.0,7.731369784101844,0.0
4792,2016,3547,1315,Massimo Maccarone,h,FW,813.0,2.0,1.0,31.0,1.0,1.0,2.6643442437052722,0.8294449932873248,7.0,7.822477724403143,0.0
4940,2016,3555,1315,Massimo Maccarone,a,Sub,892.0,2.0,1.0,31.0,1.0,1.0,2.6643442437052722,0.8294449932873248,7.0,7.822477724403143,0.0
5511,2016,3577,1315,Massimo Maccarone,a,FW,923.0,2.0,1.0,32.0,1.0,1.0,2.754576168954372,0.8294449932873248,7.0,8.093173500150442,0.0
5662,2016,3584,1315,Massimo Maccarone,h,FW,1013.0,2.0,1.0,33.0,1.0,1.0,2.8099710457026954,0.8294449932873248,7.0,8.259358130395412,0.0
6167,2016,3604,1315,Massimo Maccarone,h,FW,1085.0,2.0,1.0,33.0,1.0,1.0,2.8099710457026954,0.8536104224622247,7.0,8.283523559570312,0.0
6457,2016,3616,1315,Massimo Maccarone,a,FW,1151.0,2.0,1.0,35.0,2.0,1.0,2.9102238230407234,0.8536104224622247,7.0,8.084281891584396,0.0
6589,2016,3628,1315,Massimo Maccarone,h,Sub,1204.0,2.0,1.0,39.0,2.0,1.0,3.033090744167566,0.8536104224622247,7.0,8.452882654964924,0.0
6815,2016,3636,1315,Massimo Maccarone,a,Sub,1226.0,3.0,1.0,41.0,2.0,1.0,3.892851505428552,0.8536104224622247,10.0,11.032164938747883,3.0
7615,2016,3665,1315,Massimo Maccarone,a,Sub,1243.0,3.0,1.0,41.0,2.0,1.0,3.892851505428552,0.8630573935806748,10.0,11.041611909866333,0.0
7881,2016,3680,1315,Massimo Maccarone,h,Sub,1278.0,3.0,2.0,44.0,2.0,1.0,4.342470649629831,1.2365234978497024,11.0,12.763935446739197,1.0
8297,2016,3693,1315,Massimo Maccarone,a,Sub,1304.0,3.0,2.0,46.0,3.0,1.0,4.383188273757696,1.2365234978497024,11.0,12.386088319122791,0.0
8473,2016,3702,1315,Massimo Maccarone,h,FW,1332.0,4.0,2.0,47.0,3.0,1.0,4.942733373492956,1.2365234978497024,14.0,14.064723618328571,3.0
8799,2016,3713,1315,Massimo Maccarone,a,FW,1422.0,4.0,2.0,48.0,3.0,1.0,4.972179153934121,1.3252169080078597,14.0,14.241754369810224,0.0
