,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
615,2016,957,1494,Mauricio Pinilla,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145,2016,979,1494,Mauricio Pinilla,h,FW,55.0,0.0,0.0,3.0,1.0,0.0,0.2529674470424652,0.0138280903920531,0.0,0.2727304315194487,0.0
2043,2016,1017,1494,Mauricio Pinilla,h,Sub,132.0,0.0,0.0,4.0,1.0,0.0,0.3503638878464698,0.7504637157544494,0.0,1.301555379293859,0.0
4460,2016,3532,1494,Mauricio Pinilla,a,Sub,157.0,1.0,0.0,6.0,2.0,0.0,1.231138564646244,0.7504637157544494,3.0,3.4438794096931815,3.0
5007,2016,3556,1494,Mauricio Pinilla,a,FW,181.0,1.0,0.0,9.0,2.0,0.0,1.7138033881783485,0.7504637157544494,3.0,4.891873880289495,0.0
5723,2016,3586,1494,Mauricio Pinilla,a,Sub,237.0,1.0,0.0,9.0,2.0,0.0,1.7138033881783485,0.7504637157544494,3.0,4.891873880289495,0.0
5916,2016,3593,1494,Mauricio Pinilla,h,FW,279.0,1.0,0.0,15.0,2.0,0.0,2.510264076292515,0.76026542019099,3.0,7.291057649068534,0.0
6179,2016,3604,1494,Mauricio Pinilla,a,FW,369.0,1.0,0.0,20.0,2.0,0.0,3.1746851578354836,1.253231923095882,3.0,9.777287396602333,0.0
6330,2016,3619,1494,Mauricio Pinilla,h,FW,459.0,1.0,1.0,23.0,3.0,0.0,3.410752035677433,1.4945615036413074,4.0,10.226817610673606,1.0
6848,2016,3632,1494,Mauricio Pinilla,h,FW,549.0,1.0,1.0,24.0,4.0,0.0,3.776401348412037,1.4945615036413074,4.0,10.823765548877418,0.0
8319,2016,3694,1494,Mauricio Pinilla,a,FW,609.0,1.0,1.0,25.0,5.0,1.0,3.7951461914926767,1.502453618682921,4.0,9.887892193160951,0.0
