,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
246,2016,941,328,Medhi Benatia,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,2016,951,328,Medhi Benatia,h,DC,90.0,0.0,0.0,1.0,0.0,0.0,0.0974830612540245,0.0,0.0,0.2924491837620735,0.0
884,2016,968,328,Medhi Benatia,a,DC,180.0,0.0,0.0,2.0,1.0,0.0,0.1746309250593185,0.0,0.0,0.023892775177955627,0.0
1682,2016,1002,328,Medhi Benatia,h,DC,205.0,0.0,0.0,2.0,1.0,0.0,0.1746309250593185,0.0,0.0,0.023892775177955627,0.0
1906,2016,1011,328,Medhi Benatia,a,DC,276.0,0.0,0.0,2.0,1.0,0.0,0.1746309250593185,0.0,0.0,0.023892775177955627,0.0
2681,2016,2750,328,Medhi Benatia,a,DC,354.0,0.0,0.0,2.0,1.0,0.0,0.1746309250593185,0.0,0.0,0.023892775177955627,0.0
3172,2016,2771,328,Medhi Benatia,a,DC,444.0,0.0,0.0,2.0,1.0,0.0,0.1746309250593185,0.0,0.0,0.023892775177955627,0.0
5609,2016,3582,328,Medhi Benatia,h,DC,534.0,0.0,0.0,3.0,1.0,0.0,0.22914999350905407,0.0,0.0,0.18744998052716252,0.0
6225,2016,3606,328,Medhi Benatia,a,Sub,624.0,0.0,0.0,3.0,1.0,0.0,0.22914999350905407,0.0,0.0,0.18744998052716252,0.0
6299,2016,3617,328,Medhi Benatia,h,DC,656.0,0.0,0.0,3.0,1.0,0.0,0.22914999350905407,0.0,0.0,0.18744998052716252,0.0
7666,2016,3666,328,Medhi Benatia,h,DC,735.0,1.0,0.0,5.0,2.0,0.0,0.851103838533163,0.0,3.0,1.5533115155994894,3.0
7967,2016,3691,328,Medhi Benatia,h,DC,825.0,1.0,0.0,5.0,2.0,0.0,0.851103838533163,0.0,3.0,1.5533115155994894,0.0
8408,2016,3695,328,Medhi Benatia,a,DC,915.0,1.0,0.0,6.0,2.0,0.0,0.9481375329196452,0.0,3.0,1.8444125987589362,0.0
8540,2016,3705,328,Medhi Benatia,h,DC,1005.0,1.0,0.0,6.0,3.0,0.0,0.9481375329196452,0.0,3.0,1.3444125987589362,0.0
8694,2016,3715,328,Medhi Benatia,a,DC,1095.0,1.0,0.0,8.0,3.0,0.0,1.0638231374323368,0.0,3.0,1.6914694122970106,0.0
