,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2478,2016,1019,1267,Michel Morganella,a,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3043,2016,2745,1267,Michel Morganella,a,Sub,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3664,2016,2768,1267,Michel Morganella,h,DMR,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,2016,3073,1267,Michel Morganella,a,DMR,156.0,0.0,0.0,2.0,0.0,0.0,0.0848170891404151,0.1977959722280502,0.0,0.4522472396492958,0.0
4990,2016,3520,1267,Michel Morganella,a,ML,224.0,0.0,0.0,2.0,1.0,0.0,0.0848170891404151,0.1977959722280502,-0.5,-0.04775276035070419,-0.5
5356,2016,3534,1267,Michel Morganella,a,Sub,300.0,0.0,0.0,3.0,2.0,0.0,0.10585346817970259,0.1977959722280502,-1.0,-0.4846436232328415,-0.5
6047,2016,3559,1267,Michel Morganella,a,Sub,344.0,0.0,0.0,3.0,2.0,0.0,0.10585346817970259,0.2108810869976877,-1.0,-0.471558508463204,0.0
7471,2016,3609,1267,Michel Morganella,a,Sub,345.0,0.0,0.0,3.0,2.0,0.0,0.10585346817970259,0.2108810869976877,-1.0,-0.471558508463204,0.0
7753,2016,3618,1267,Michel Morganella,h,DR,380.0,0.0,0.0,3.0,2.0,0.0,0.10585346817970259,0.2108810869976877,-1.0,-0.471558508463204,0.0
8049,2016,3629,1267,Michel Morganella,a,MR,470.0,0.0,0.0,4.0,2.0,0.0,0.121170913800597,0.2108810869976877,-1.0,-0.42560617160052083,0.0
9115,2016,3669,1267,Michel Morganella,a,ML,560.0,0.0,0.0,5.0,3.0,0.0,0.1310574570670722,0.2108810869976877,-1.5,-0.8959465418010952,-0.5
