,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
224,2016,940,1400,Nicola Murru,a,DML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,2016,948,1400,Nicola Murru,h,DL,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4045823216438293,0.0,0.4045823216438293,0.0
528,2016,953,1400,Nicola Murru,a,DL,180.0,0.0,0.0,1.0,1.0,0.0,0.0237375106662511,0.4045823216438293,0.0,-0.024205146357417107,0.0
829,2016,966,1400,Nicola Murru,h,DL,249.0,0.0,0.0,1.0,1.0,0.0,0.0237375106662511,0.4045823216438293,0.0,-0.024205146357417107,0.0
1053,2016,975,1400,Nicola Murru,a,DL,339.0,0.0,0.0,1.0,1.0,0.0,0.0237375106662511,0.4045823216438293,0.0,-0.024205146357417107,0.0
1379,2016,989,1400,Nicola Murru,h,DL,429.0,0.0,0.0,1.0,1.0,0.0,0.0237375106662511,0.4045823216438293,0.0,-0.024205146357417107,0.0
1543,2016,996,1400,Nicola Murru,h,DL,519.0,0.0,0.0,2.0,1.0,0.0,0.0343635110184549,0.4045823216438293,0.0,0.007672854699194397,0.0
1767,2016,1005,1400,Nicola Murru,a,DL,609.0,0.0,0.0,3.0,1.0,0.0,0.0964928930625318,0.4164585508406161,0.0,0.20593723002821201,0.0
1963,2016,1014,1400,Nicola Murru,h,DL,699.0,0.0,0.0,3.0,1.0,0.0,0.0964928930625318,0.4164585508406161,0.0,0.20593723002821201,0.0
2191,2016,3283,1400,Nicola Murru,a,DL,789.0,0.0,1.0,3.0,2.0,0.0,0.0964928930625318,0.7118395604193208,1.0,0.0013182396069169044,1.0
4443,2016,3532,1400,Nicola Murru,h,DL,857.0,0.0,1.0,4.0,2.0,0.0,0.1347286915406583,0.737897606566548,1.0,0.1420836811885237,0.0
4845,2016,3549,1400,Nicola Murru,a,DL,947.0,0.0,1.0,4.0,2.0,0.0,0.1347286915406583,0.7660115640610453,1.0,0.170197638683021,0.0
5565,2016,3580,1400,Nicola Murru,h,DML,1037.0,0.0,1.0,4.0,2.0,0.0,0.1347286915406583,0.8393885027617212,1.0,0.24357457738369692,0.0
5740,2016,3587,1400,Nicola Murru,a,DL,1127.0,0.0,1.0,4.0,2.0,0.0,0.1347286915406583,0.8393885027617212,1.0,0.24357457738369692,0.0
5944,2016,3594,1400,Nicola Murru,a,DL,1217.0,0.0,1.0,4.0,3.0,0.0,0.1347286915406583,0.8393885027617212,1.0,-0.2564254226163031,0.0
6405,2016,3614,1400,Nicola Murru,a,DL,1307.0,0.0,1.0,4.0,3.0,0.0,0.1347286915406583,0.8393885027617212,1.0,-0.2564254226163031,0.0
6677,2016,3627,1400,Nicola Murru,h,DL,1355.0,0.0,1.0,4.0,3.0,0.0,0.1347286915406583,0.8393885027617212,1.0,-0.2564254226163031,0.0
6900,2016,3634,1400,Nicola Murru,a,DL,1445.0,0.0,1.0,4.0,3.0,0.0,0.1347286915406583,0.8393885027617212,1.0,-0.2564254226163031,0.0
7198,2016,3651,1400,Nicola Murru,h,DL,1535.0,0.0,1.0,5.0,3.0,0.0,0.14850207418203332,0.874257611110806,1.0,-0.18023616634309308,0.0
7314,2016,3654,1400,Nicola Murru,h,DL,1625.0,0.0,1.0,5.0,3.0,0.0,0.14850207418203332,0.874257611110806,1.0,-0.18023616634309308,0.0
7561,2016,3663,1400,Nicola Murru,a,DL,1715.0,0.0,1.0,5.0,3.0,0.0,0.14850207418203332,0.9497671816498037,1.0,-0.10472659580409549,0.0
7850,2016,3678,1400,Nicola Murru,h,DL,1805.0,0.0,1.0,5.0,3.0,0.0,0.14850207418203332,0.9497671816498037,1.0,-0.10472659580409549,0.0
7956,2016,3684,1400,Nicola Murru,a,DL,1895.0,0.0,1.0,7.0,3.0,0.0,0.21460488438606232,1.1215386334806676,1.0,0.2653532866388557,0.0
8278,2016,3693,1400,Nicola Murru,h,DL,1967.0,0.0,1.0,7.0,3.0,0.0,0.21460488438606232,1.1654833909124132,1.0,0.30929804407060124,0.0
8528,2016,3704,1400,Nicola Murru,a,DL,2057.0,0.0,1.0,7.0,3.0,0.0,0.21460488438606232,1.1654833909124132,1.0,0.30929804407060124,0.0
8707,2016,3717,1400,Nicola Murru,h,DL,2147.0,0.0,1.0,7.0,3.0,0.0,0.21460488438606232,1.1654833909124132,1.0,0.30929804407060124,0.0
