,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
253,2016,940,1094,Nicolas Burdisso,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,2016,949,1094,Nicolas Burdisso,a,DC,90.0,0.0,0.0,1.0,1.0,0.0,0.0688956528902053,0.0,-0.5,-0.2933130413293838,-0.5
936,2016,964,1094,Nicolas Burdisso,a,DC,180.0,0.0,0.0,3.0,1.0,0.0,0.1723412424325942,0.0,-0.5,0.017023727297782898,0.0
1204,2016,974,1094,Nicolas Burdisso,h,DC,270.0,0.0,0.0,5.0,1.0,0.0,0.5618960708379743,0.0,-0.5,1.1856882125139236,0.0
1483,2016,984,1094,Nicolas Burdisso,h,DC,360.0,0.0,0.0,6.0,1.0,0.0,0.6248889267444608,0.0,-0.5,1.3746667802333832,0.0
1804,2016,995,1094,Nicolas Burdisso,a,DC,450.0,0.0,0.0,6.0,1.0,0.0,0.6248889267444608,0.0,-0.5,1.3746667802333832,0.0
2043,2016,1004,1094,Nicolas Burdisso,h,DC,540.0,0.0,0.0,6.0,1.0,0.0,0.6248889267444608,0.0,-0.5,1.3746667802333832,0.0
2224,2016,1010,1094,Nicolas Burdisso,a,DC,630.0,0.0,0.0,6.0,1.0,0.0,0.6248889267444608,0.0,-0.5,1.3746667802333832,0.0
2491,2016,1020,1094,Nicolas Burdisso,h,DC,720.0,0.0,0.0,8.0,1.0,0.0,0.7120522707700726,0.1178794205188751,-0.5,1.754036232829094,0.0
2838,2016,3292,1094,Nicolas Burdisso,a,DC,810.0,0.0,0.0,9.0,1.0,0.0,0.7246807850897308,0.1178794205188751,-0.5,1.7919217757880688,0.0
3187,2016,2751,1094,Nicolas Burdisso,h,DC,900.0,0.0,0.0,10.0,1.0,0.0,0.8481145091354841,0.1178794205188751,-0.5,2.162222947925329,0.0
3451,2016,2760,1094,Nicolas Burdisso,a,DC,990.0,0.0,0.0,10.0,1.0,0.0,0.8481145091354841,0.1178794205188751,-0.5,2.162222947925329,0.0
3745,2016,2771,1094,Nicolas Burdisso,h,DC,1080.0,0.0,0.0,10.0,1.0,0.0,0.8481145091354841,0.1178794205188751,-0.5,2.162222947925329,0.0
4120,2016,3074,1094,Nicolas Burdisso,a,DC,1170.0,0.0,0.0,11.0,1.0,0.0,0.8607560126110906,0.2388790622353553,-0.5,2.321147100068629,0.0
4373,2016,3083,1094,Nicolas Burdisso,a,DC,1260.0,0.0,0.0,11.0,1.0,0.0,0.8607560126110906,0.2388790622353553,-0.5,2.321147100068629,0.0
4442,2016,3086,1094,Nicolas Burdisso,h,DC,1350.0,0.0,0.0,11.0,1.0,0.0,0.8607560126110906,0.2388790622353553,-0.5,2.321147100068629,0.0
4720,2016,3096,1094,Nicolas Burdisso,h,DC,1440.0,0.0,0.0,11.0,1.0,0.0,0.8607560126110906,0.2388790622353553,-0.5,2.321147100068629,0.0
4872,2016,3102,1094,Nicolas Burdisso,a,DC,1530.0,0.0,0.0,11.0,1.0,0.0,0.8607560126110906,0.2388790622353553,-0.5,2.321147100068629,0.0
5108,2016,3526,1094,Nicolas Burdisso,h,DC,1620.0,0.0,0.0,11.0,2.0,0.0,0.8607560126110906,0.2388790622353553,-1.0,1.8211471000686288,-0.5
5290,2016,3532,1094,Nicolas Burdisso,a,DC,1710.0,0.0,0.0,11.0,2.0,0.0,0.8607560126110906,0.258469134569168,-1.0,1.8407371724024415,0.0
5609,2016,3544,1094,Nicolas Burdisso,h,DC,1800.0,0.0,0.0,11.0,2.0,0.0,0.8607560126110906,0.258469134569168,-1.0,1.8407371724024415,0.0
5955,2016,3556,1094,Nicolas Burdisso,a,DC,1890.0,0.0,0.0,11.0,2.0,0.0,0.8607560126110906,0.258469134569168,-1.0,1.8407371724024415,0.0
6137,2016,3562,1094,Nicolas Burdisso,h,DC,1980.0,0.0,0.0,11.0,3.0,0.0,0.8607560126110906,0.258469134569168,-1.5,1.3407371724024415,-0.5
6431,2016,3572,1094,Nicolas Burdisso,a,DC,2070.0,0.0,0.0,12.0,3.0,0.0,0.9540464980527753,0.258469134569168,-1.5,1.6206086287274957,0.0
