,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
137,2016,935,1386,Piotr Zielinski,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,2016,942,1386,Piotr Zielinski,h,Sub,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,2016,952,1386,Piotr Zielinski,a,MC,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0364988408982753,-0.5,-0.4635011591017246,-0.5
870,2016,962,1386,Piotr Zielinski,h,MC,107.0,0.0,1.0,1.0,1.0,0.0,0.085779070854187,0.1348416320979594,0.5,-0.10782115533947945,1.0
1227,2016,974,1386,Piotr Zielinski,a,Sub,197.0,0.0,1.0,3.0,1.0,0.0,0.1495396047830581,0.2103534899652003,0.5,0.15897230431437487,0.0
1402,2016,981,1386,Piotr Zielinski,h,MC,213.0,0.0,1.0,3.0,1.0,0.0,0.1495396047830581,0.2103534899652003,0.5,0.15897230431437487,0.0
1779,2016,994,1386,Piotr Zielinski,a,MC,303.0,0.0,1.0,4.0,1.0,0.0,0.1919061429798602,0.5058309100568292,0.5,0.5815493389964103,0.0
1940,2016,1000,1386,Piotr Zielinski,h,Sub,393.0,0.0,1.0,5.0,1.0,0.0,0.2634940408170222,0.5481712482869623,0.5,0.8386533707380294,0.0
2375,2016,1015,1386,Piotr Zielinski,a,Sub,401.0,0.0,1.0,5.0,1.0,0.0,0.2634940408170222,0.5481712482869623,0.5,0.8386533707380294,0.0
2603,2016,3284,1386,Piotr Zielinski,h,MC,427.0,0.0,1.0,5.0,1.0,0.0,0.2634940408170222,0.5481712482869623,0.5,0.8386533707380294,0.0
2821,2016,3291,1386,Piotr Zielinski,a,Sub,517.0,0.0,1.0,6.0,1.0,0.0,0.2798758391290901,0.7048674933612344,0.5,1.0444950107485056,0.0
3078,2016,2747,1386,Piotr Zielinski,h,MC,530.0,0.0,1.0,7.0,1.0,0.0,0.2941979886963961,0.7048674933612344,0.5,1.0874614594504237,0.0
3379,2016,2757,1386,Piotr Zielinski,a,Sub,620.0,0.0,1.0,8.0,1.0,0.0,0.33588659856468406,0.7527587264776228,0.5,1.2604185221716762,0.0
3891,2016,3066,1386,Piotr Zielinski,h,MC,638.0,0.0,1.0,8.0,1.0,0.0,0.33588659856468406,0.8225697726011274,0.5,1.3302295682951808,0.0
4236,2016,3078,1386,Piotr Zielinski,a,MC,728.0,1.0,2.0,11.0,2.0,0.0,0.57468441221863,1.1619852334260938,4.0,1.886038470081985,3.5
4557,2016,3092,1386,Piotr Zielinski,h,MC,801.0,2.0,2.0,13.0,2.0,0.0,0.6148498961701986,1.195598356425762,7.0,2.040148044936359,3.0
4962,2016,3104,1386,Piotr Zielinski,a,MC,875.0,2.0,2.0,14.0,2.0,0.0,0.6321733361110088,1.2577500417828558,7.0,2.1542700501158834,0.0
5008,2016,3521,1386,Piotr Zielinski,h,Sub,950.0,2.0,2.0,15.0,2.0,0.0,0.7595676695927974,1.2577500417828558,7.0,2.5364530505612493,0.0
5363,2016,3535,1386,Piotr Zielinski,h,MC,981.0,2.0,2.0,15.0,2.0,0.0,0.7595676695927974,1.29224132373929,7.0,2.5709443325176835,0.0
5521,2016,3541,1386,Piotr Zielinski,a,Sub,1046.0,2.0,3.0,15.0,2.0,0.0,0.7595676695927974,1.6436192281544206,8.0,2.922322236932814,1.0
6035,2016,3559,1386,Piotr Zielinski,h,Sub,1061.0,2.0,3.0,15.0,2.0,0.0,0.7595676695927974,1.6436192281544206,8.0,2.922322236932814,0.0
6097,2016,3560,1386,Piotr Zielinski,a,MC,1095.0,2.0,4.0,16.0,2.0,0.0,0.7764836745336648,1.712139446288347,9.0,3.041590469889343,1.0
6420,2016,3572,1386,Piotr Zielinski,h,MC,1170.0,2.0,6.0,16.0,2.0,0.0,0.7764836745336648,2.3605728931725025,11.0,3.690023916773498,2.0
6913,2016,3589,1386,Piotr Zielinski,a,Sub,1260.0,3.0,6.0,17.0,2.0,0.0,0.842777741141617,2.4606940262019634,14.0,3.9890272496268153,3.0
6977,2016,3592,1386,Piotr Zielinski,h,MC,1309.0,4.0,6.0,19.0,2.0,0.0,0.9261103169992563,2.4606940262019634,17.0,4.239024977199733,3.0
7277,2016,3608,1386,Piotr Zielinski,a,Sub,1399.0,4.0,6.0,22.0,2.0,0.0,0.9707455569878217,2.4773216266185045,17.0,4.389558297581971,0.0
7679,2016,3615,1386,Piotr Zielinski,h,Sub,1415.0,4.0,6.0,23.0,2.0,0.0,1.0436555454507466,2.4773216266185045,17.0,4.608288262970746,0.0
8324,2016,3637,1386,Piotr Zielinski,h,Sub,1450.0,4.0,6.0,24.0,2.0,0.0,1.0631448281928892,2.4773216266185045,17.0,4.666756111197174,0.0
8644,2016,3646,1386,Piotr Zielinski,a,Sub,1470.0,4.0,6.0,24.0,2.0,0.0,1.0631448281928892,2.4773216266185045,17.0,4.666756111197174,0.0
