,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
640,2016,953,1410,Rafael,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
977,2016,966,1410,Rafael,h,GK,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634,2016,989,1410,Rafael,h,Sub,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1816,2016,996,1410,Rafael,h,GK,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4913,2016,3103,1410,Rafael,h,GK,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5176,2016,3528,1410,Rafael,a,GK,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5274,2016,3532,1410,Rafael,h,GK,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760,2016,3549,1410,Rafael,a,GK,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5913,2016,3553,1410,Rafael,h,GK,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6232,2016,3565,1410,Rafael,a,GK,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
6637,2016,3580,1410,Rafael,h,GK,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
7654,2016,3614,1410,Rafael,a,GK,901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
7975,2016,3627,1410,Rafael,h,GK,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
8241,2016,3634,1410,Rafael,a,GK,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
8591,2016,3651,1410,Rafael,h,GK,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
8731,2016,3654,1410,Rafael,h,GK,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
9024,2016,3663,1410,Rafael,a,GK,1351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
9373,2016,3678,1410,Rafael,h,GK,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
9499,2016,3684,1410,Rafael,a,GK,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
9876,2016,3693,1410,Rafael,h,GK,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
10170,2016,3704,1410,Rafael,a,GK,1711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125406347215175,0.0,0.0125406347215175,0.0
