,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4073,2016,3100,1343,Samuel Bastien,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4332,2016,3527,1343,Samuel Bastien,h,Sub,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4432,2016,3531,1343,Samuel Bastien,a,MC,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4652,2016,3540,1343,Samuel Bastien,h,MC,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833107009530067,0.0,0.0833107009530067,0.0
4868,2016,3550,1343,Samuel Bastien,a,MC,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1164902299642562,0.0,0.1164902299642562,0.0
6448,2016,3616,1343,Samuel Bastien,h,Sub,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329989545047282,0.0,0.1329989545047282,0.0
7332,2016,3654,1343,Samuel Bastien,a,Sub,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1704939454793928,0.0,0.1704939454793928,0.0
7796,2016,3672,1343,Samuel Bastien,a,ML,354.0,0.0,0.0,1.0,0.0,0.0,0.0186547581106424,0.1704939454793928,0.0,0.2264582198113201,0.0
8113,2016,3688,1343,Samuel Bastien,h,MC,444.0,1.0,0.0,3.0,0.0,0.0,0.07833693735301489,0.19392923638224582,3.0,0.42894004844129063,3.0
8269,2016,3692,1343,Samuel Bastien,a,MC,523.0,1.0,0.0,3.0,0.0,0.0,0.07833693735301489,0.19392923638224582,3.0,0.42894004844129063,0.0
8424,2016,3709,1343,Samuel Bastien,h,MC,613.0,1.0,0.0,4.0,0.0,0.0,0.11200177110731589,0.2103820983320472,3.0,0.5463874116539953,0.0
8674,2016,3712,1343,Samuel Bastien,a,ML,703.0,1.0,0.0,4.0,0.0,0.0,0.11200177110731589,0.2103820983320472,3.0,0.5463874116539953,0.0
