,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2550,2016,3298,1537,Sasa Lukic,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3861,2016,3092,1537,Sasa Lukic,a,Sub,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0687560513615608,0.0,0.0687560513615608,0.0
4609,2016,3539,1537,Sasa Lukic,h,Sub,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1840194761753082,0.0,-0.3159805238246918,0.0
5448,2016,3575,1537,Sasa Lukic,h,MC,108.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2137871254235505,0.0,-0.28621287457644945,0.0
5812,2016,3590,1537,Sasa Lukic,a,MC,166.0,0.0,0.0,2.0,2.0,0.0,0.1497406810522079,0.30248746462166287,0.0,-0.24829049222171315,0.0
6058,2016,3600,1537,Sasa Lukic,a,MC,256.0,0.0,0.0,3.0,3.0,0.0,0.1709700562059878,0.3780506569892166,0.0,-0.6090391743928194,0.0
6230,2016,3609,1537,Sasa Lukic,h,MC,346.0,0.0,0.0,4.0,4.0,0.0,0.1827545287087558,0.3780506569892166,0.0,-1.0736857568845153,0.0
6525,2016,3620,1537,Sasa Lukic,a,MC,436.0,0.0,0.0,6.0,4.0,0.0,0.21841995883733012,0.4101265352219341,0.0,-0.9346135882660747,0.0
6538,2016,3625,1537,Sasa Lukic,h,MC,526.0,0.0,0.0,6.0,4.0,0.0,0.21841995883733012,0.4101265352219341,0.0,-0.9346135882660747,0.0
6821,2016,3641,1537,Sasa Lukic,h,MC,616.0,0.0,0.0,7.0,4.0,0.0,0.33648396003991343,0.4481218066066501,0.0,-0.5424263132736087,0.0
8608,2016,3711,1537,Sasa Lukic,a,Sub,674.0,0.0,0.0,7.0,4.0,0.0,0.33648396003991343,0.4481218066066501,0.0,-0.5424263132736087,0.0
