,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
241,2016,941,1205,Senad Lulic,h,FWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,2016,954,1205,Senad Lulic,a,MC,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,2016,961,1205,Senad Lulic,h,DML,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
932,2016,970,1205,Senad Lulic,a,DML,221.0,0.0,0.0,1.0,0.0,0.0,0.0119378957897424,0.5431191325187683,0.0,0.5789328198879957,0.0
1310,2016,986,1205,Senad Lulic,h,DML,311.0,0.0,0.0,3.0,0.0,0.0,0.0607135202735661,0.6457708626985549,0.0,0.8279114235192537,0.0
1436,2016,991,1205,Senad Lulic,a,DMC,401.0,1.0,0.0,4.0,0.0,0.0,0.5847559478133916,0.7231345027685164,3.0,2.4774023462086916,3.0
1782,2016,1006,1205,Senad Lulic,h,MC,487.0,1.0,1.0,5.0,0.0,0.0,0.6781278457492589,1.272701010107994,4.0,3.307084547355771,1.0
1955,2016,1013,1205,Senad Lulic,a,MC,577.0,1.0,1.0,5.0,0.0,0.0,0.6781278457492589,1.5397885590791702,4.0,3.574172096326947,0.0
2182,2016,3283,1205,Senad Lulic,h,MC,667.0,1.0,1.0,6.0,0.0,0.0,0.6974869277328251,1.628848522901535,4.0,3.721309306100011,0.0
2418,2016,3293,1205,Senad Lulic,h,MC,749.0,1.0,3.0,7.0,0.0,0.0,0.711848917417228,2.4231739342212677,6.0,4.558720686472952,2.0
2615,2016,2747,1205,Senad Lulic,a,DML,839.0,2.0,3.0,9.0,1.0,0.0,1.667963507585227,2.52799142152071,9.0,7.0318819442763925,3.0
2903,2016,2760,1205,Senad Lulic,h,DL,917.0,2.0,3.0,9.0,1.0,0.0,1.667963507585227,2.590150561183691,9.0,7.0940410839393735,0.0
3104,2016,2768,1205,Senad Lulic,a,DL,1007.0,2.0,3.0,12.0,1.0,0.0,1.7240293798968191,2.590150561183691,9.0,7.26223870087415,0.0
3351,2016,3069,1205,Senad Lulic,h,DL,1072.0,2.0,3.0,12.0,2.0,0.0,1.7240293798968191,2.590150561183691,9.0,6.76223870087415,0.0
3553,2016,3077,1205,Senad Lulic,a,FWL,1162.0,2.0,3.0,13.0,3.0,0.0,1.7516752099618311,2.684427123516798,9.0,6.439452753402293,0.0
3961,2016,3095,1205,Senad Lulic,h,DML,1252.0,2.0,3.0,13.0,3.0,0.0,1.7516752099618311,3.0283126644790173,9.0,6.783338294364512,0.0
4050,2016,3098,1205,Senad Lulic,a,FWL,1342.0,2.0,3.0,14.0,3.0,0.0,1.8543248539790507,3.082798209041357,9.0,7.14577277097851,0.0
4562,2016,3537,1205,Senad Lulic,h,ML,1414.0,2.0,3.0,15.0,4.0,0.0,1.9402688136324282,3.259022530168295,9.0,7.079828971065581,0.0
4863,2016,3550,1205,Senad Lulic,h,FWL,1504.0,2.0,4.0,19.0,5.0,0.0,2.1365257045254107,3.4541476778686047,10.0,7.363724791444838,1.0
5261,2016,3566,1205,Senad Lulic,a,Sub,1594.0,2.0,4.0,21.0,6.0,0.0,2.4913488766178484,3.5703207217156887,10.0,8.044367351569235,0.0
5594,2016,3581,1205,Senad Lulic,h,Sub,1619.0,2.0,5.0,21.0,6.0,0.0,2.4913488766178484,4.147271808236837,11.0,8.621318438090384,1.0
5675,2016,3584,1205,Senad Lulic,a,FWL,1643.0,2.0,5.0,21.0,6.0,0.0,2.4913488766178484,4.568977322429419,11.0,9.043023952282965,0.0
6002,2016,3601,1205,Senad Lulic,h,MC,1733.0,2.0,5.0,21.0,6.0,0.0,2.4913488766178484,4.849200572818518,11.0,9.323247202672064,0.0
6295,2016,3607,1205,Senad Lulic,a,FWL,1823.0,2.0,5.0,22.0,6.0,0.0,2.525127484463155,4.874293843284249,11.0,9.449676296673715,0.0
6518,2016,3620,1205,Senad Lulic,h,FWL,1913.0,2.0,6.0,22.0,6.0,0.0,2.525127484463155,5.4877804312855005,12.0,10.063162884674966,1.0
6691,2016,3627,1205,Senad Lulic,a,MC,2003.0,2.0,7.0,23.0,6.0,0.0,2.5587126901373263,5.8539100382477045,13.0,10.530048108659685,1.0
6789,2016,3638,1205,Senad Lulic,a,FWL,2093.0,2.0,7.0,23.0,6.0,0.0,2.5587126901373263,5.8539100382477045,13.0,10.530048108659685,0.0
7625,2016,3669,1205,Senad Lulic,h,ML,2152.0,2.0,7.0,23.0,7.0,0.0,2.5587126901373263,6.473753163591027,13.0,10.649891234003007,0.0
7774,2016,3675,1205,Senad Lulic,a,MC,2242.0,2.0,7.0,25.0,7.0,0.0,2.6383306598290797,6.473753163591027,13.0,10.888745143078268,0.0
8137,2016,3690,1205,Senad Lulic,h,MC,2332.0,2.0,8.0,26.0,7.0,0.0,2.695113490335643,7.103527555242181,14.0,11.68886802624911,1.0
8616,2016,3707,1205,Senad Lulic,h,ML,2422.0,3.0,9.0,29.0,7.0,0.0,3.6466595632955427,7.386482754722238,18.0,14.826461444608867,4.0
