,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
206,2016,938,1347,Sergio Pellissier,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,2016,950,1347,Sergio Pellissier,a,Sub,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165196470916271,0.0,0.0165196470916271,0.0
651,2016,954,1347,Sergio Pellissier,h,FW,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165196470916271,0.0,0.0165196470916271,0.0
920,2016,963,1347,Sergio Pellissier,a,Sub,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165196470916271,0.0,0.0165196470916271,0.0
1155,2016,972,1347,Sergio Pellissier,h,FW,124.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6372250132262707,1.0,0.6372250132262707,1.0
2163,2016,1008,1347,Sergio Pellissier,h,Sub,188.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6372250132262707,1.0,0.6372250132262707,0.0
2637,2016,3285,1347,Sergio Pellissier,h,Sub,199.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6372250132262707,1.0,0.6372250132262707,0.0
2931,2016,3295,1347,Sergio Pellissier,a,Sub,208.0,0.0,1.0,1.0,0.0,0.0,0.3070771098136902,0.6372250132262707,1.0,1.5584563426673412,0.0
3167,2016,2750,1347,Sergio Pellissier,h,Sub,233.0,0.0,1.0,1.0,0.0,0.0,0.3070771098136902,0.6372250132262707,1.0,1.5584563426673412,0.0
3333,2016,2756,1347,Sergio Pellissier,h,FW,259.0,1.0,1.0,2.0,0.0,0.0,1.0683759450912476,0.6372250132262707,4.0,3.8423528485000134,3.0
3628,2016,2766,1347,Sergio Pellissier,a,FW,341.0,1.0,1.0,5.0,0.0,0.0,1.3354847729206085,0.6372250132262707,4.0,4.643679331988096,0.0
4116,2016,3074,1347,Sergio Pellissier,h,Sub,431.0,1.0,1.0,9.0,0.0,0.0,1.8078798353672028,0.6372250132262707,4.0,6.060864519327879,0.0
4297,2016,3080,1347,Sergio Pellissier,a,FW,457.0,1.0,1.0,9.0,0.0,0.0,1.8078798353672028,0.6372250132262707,4.0,6.060864519327879,0.0
4672,2016,3094,1347,Sergio Pellissier,h,FW,543.0,2.0,1.0,13.0,0.0,0.0,2.619207590818405,0.6772343665361403,7.0,8.534857138991356,3.0
4827,2016,3100,1347,Sergio Pellissier,a,Sub,633.0,3.0,1.0,15.0,0.0,0.0,3.4378786385059357,0.7536148726940153,10.0,11.067250788211823,3.0
5143,2016,3527,1347,Sergio Pellissier,h,FW,646.0,3.0,1.0,15.0,0.0,0.0,3.4378786385059357,0.7536148726940153,10.0,11.067250788211823,0.0
5269,2016,3531,1347,Sergio Pellissier,a,FW,736.0,4.0,1.0,16.0,0.0,0.0,3.975679248571396,0.7632098244503138,13.0,12.690247570164502,3.0
5534,2016,3540,1347,Sergio Pellissier,h,FW,826.0,5.0,1.0,18.0,0.0,0.0,4.16212110221386,0.7976898895576593,16.0,13.284053196199238,3.0
6199,2016,3564,1347,Sergio Pellissier,h,FW,880.0,5.0,1.0,19.0,0.0,0.0,4.459557726979256,0.8222761666402217,16.0,14.200949347577989,0.0
7705,2016,3616,1347,Sergio Pellissier,h,FW,944.0,5.0,1.0,19.0,0.0,0.0,4.459557726979256,0.8222761666402217,16.0,14.200949347577989,0.0
7915,2016,3622,1347,Sergio Pellissier,a,FW,1016.0,6.0,1.0,20.0,0.0,0.0,5.170444682240486,0.8222761666402217,19.0,16.33361021336168,3.0
8265,2016,3635,1347,Sergio Pellissier,h,FW,1087.0,6.0,1.0,22.0,0.0,0.0,5.330078810453415,0.8222761666402217,19.0,16.812512598000467,0.0
8447,2016,3642,1347,Sergio Pellissier,a,FW,1177.0,7.0,1.0,25.0,0.0,0.0,5.811684668064117,0.8222761666402217,22.0,18.257330170832574,3.0
8755,2016,3654,1347,Sergio Pellissier,a,FW,1267.0,7.0,1.0,28.0,0.0,0.0,5.914365746080875,0.8222761666402217,22.0,18.56537340488285,0.0
9131,2016,3671,1347,Sergio Pellissier,h,FW,1357.0,7.0,1.0,30.0,0.0,0.0,6.329916901886463,0.8380797831341621,22.0,19.827830488793552,0.0
9315,2016,3672,1347,Sergio Pellissier,a,Sub,1447.0,8.0,1.0,32.0,0.0,0.0,6.7900242283940315,0.8380797831341621,25.0,21.208152468316257,3.0
9690,2016,3688,1347,Sergio Pellissier,h,FW,1469.0,8.0,1.0,32.0,0.0,0.0,6.7900242283940315,0.8380797831341621,25.0,21.208152468316257,0.0
9873,2016,3692,1347,Sergio Pellissier,a,FW,1559.0,9.0,1.0,34.0,0.0,0.0,7.5930327251553535,0.8380797831341621,28.0,23.617177958600223,3.0
10055,2016,3709,1347,Sergio Pellissier,h,Sub,1632.0,9.0,1.0,35.0,1.0,0.0,7.659468427300453,0.8380797831341621,27.5,23.316485065035522,-0.5
10350,2016,3712,1347,Sergio Pellissier,a,Sub,1676.0,9.0,2.0,36.0,1.0,0.0,7.729256175458431,1.717246088199317,28.5,24.40501461457461,1.0
