,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
582,2016,951,1603,Simone Missiroli,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3429,2016,2759,1603,Simone Missiroli,a,MC,33.0,0.0,0.0,1.0,0.0,0.0,0.1049443483352661,0.0,0.0,0.3148330450057983,0.0
3849,2016,2774,1603,Simone Missiroli,a,MC,95.0,0.0,0.0,1.0,1.0,0.0,0.1049443483352661,0.0,-0.5,-0.18516695499420172,-0.5
4057,2016,3072,1603,Simone Missiroli,h,MC,168.0,0.0,0.0,2.0,1.0,0.0,0.3112695217132568,0.0,-0.5,0.43380856513977045,0.0
4592,2016,3090,1603,Simone Missiroli,h,Sub,244.0,0.0,0.0,3.0,1.0,0.0,0.3397221993654966,0.0234557390213012,-0.5,0.5426223371177911,0.0
6884,2016,3588,1603,Simone Missiroli,a,Sub,274.0,0.0,0.0,3.0,2.0,0.0,0.3397221993654966,0.0234557390213012,-1.0,0.042622337117791065,-0.5
7493,2016,3611,1603,Simone Missiroli,a,MC,280.0,0.0,0.0,3.0,2.0,0.0,0.3397221993654966,0.0234557390213012,-1.0,0.042622337117791065,0.0
7596,2016,3613,1603,Simone Missiroli,h,Sub,347.0,0.0,0.0,3.0,2.0,0.0,0.3397221993654966,0.0772989280521868,-1.0,0.09646552614867666,0.0
8078,2016,3631,1603,Simone Missiroli,a,MC,369.0,0.0,0.0,3.0,2.0,0.0,0.3397221993654966,0.0772989280521868,-1.0,0.09646552614867666,0.0
8094,2016,3638,1603,Simone Missiroli,h,MC,441.0,0.0,0.0,3.0,2.0,0.0,0.3397221993654966,0.0772989280521868,-1.0,0.09646552614867666,0.0
8414,2016,3650,1603,Simone Missiroli,a,MC,506.0,0.0,0.0,3.0,2.0,0.0,0.3397221993654966,0.0772989280521868,-1.0,0.09646552614867666,0.0
8877,2016,3660,1603,Simone Missiroli,h,MC,596.0,0.0,0.0,3.0,3.0,0.0,0.3397221993654966,0.0772989280521868,-1.5,-0.40353447385132335,-0.5
9842,2016,3700,1603,Simone Missiroli,a,MC,686.0,0.0,0.0,3.0,3.0,0.0,0.3397221993654966,0.0772989280521868,-1.5,-0.40353447385132335,0.0
