,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
176,2016,937,1445,Simone Verdi,h,FWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,2016,946,1445,Simone Verdi,a,FWR,58.0,0.0,0.0,2.0,0.0,0.0,0.0773210823535919,0.2337790727615356,0.0,0.4657423198223114,0.0
621,2016,953,1445,Simone Verdi,h,FWR,148.0,0.0,0.0,4.0,0.0,0.0,0.17654269933700562,0.2424251046031713,0.0,0.7720532026141882,0.0
889,2016,962,1445,Simone Verdi,a,FW,238.0,1.0,0.0,9.0,0.0,0.0,0.3758780360221862,0.2424251046031713,3.0,1.3700592126697302,3.0
1125,2016,971,1445,Simone Verdi,h,FWR,328.0,2.0,0.0,10.0,0.0,0.0,0.3923070169985293,0.3758363332599401,6.0,1.5527573842555285,3.0
1531,2016,985,1445,Simone Verdi,a,FWR,418.0,3.0,0.0,12.0,1.0,0.0,0.5026230849325655,0.4584767799824475,8.5,1.4663460347801447,2.5
1796,2016,995,1445,Simone Verdi,h,FWR,508.0,3.0,1.0,14.0,1.0,0.0,0.6218536831438539,0.8151311259716748,9.5,2.1806921754032373,1.0
2118,2016,1006,1445,Simone Verdi,a,FWR,590.0,3.0,1.0,15.0,1.0,0.0,0.6564305238425729,0.839986965060234,9.5,2.3092785365879536,0.0
2440,2016,1018,1445,Simone Verdi,h,FWR,680.0,3.0,1.0,17.0,1.0,0.0,0.8427392356097696,0.971068739891052,9.5,2.9992864467203617,0.0
2649,2016,3285,1445,Simone Verdi,a,FW,770.0,4.0,1.0,19.0,1.0,0.0,0.9111107252538202,1.2209929674863813,12.5,3.454325143247843,3.0
2774,2016,3290,1445,Simone Verdi,h,FWR,860.0,4.0,1.0,22.0,2.0,0.0,1.0248369537293909,1.2288728365674613,12.0,3.303383697755635,-0.5
5674,2016,3546,1445,Simone Verdi,h,Sub,871.0,4.0,1.0,22.0,2.0,0.0,1.0248369537293909,1.2288728365674613,12.0,3.303383697755635,0.0
5939,2016,3553,1445,Simone Verdi,a,Sub,888.0,4.0,1.0,24.0,2.0,0.0,1.0789925307035444,1.2288728365674613,12.0,3.4658504286780953,0.0
6090,2016,3560,1445,Simone Verdi,h,Sub,916.0,4.0,1.0,26.0,2.0,0.0,1.2197539806365965,1.2288728365674613,12.0,3.8881347784772515,0.0
6366,2016,3571,1445,Simone Verdi,h,FWR,958.0,4.0,1.0,28.0,2.0,0.0,1.365332409739494,1.4514901945367453,12.0,4.5474874237552285,0.0
6631,2016,3579,1445,Simone Verdi,a,FWR,1048.0,4.0,1.0,33.0,3.0,0.0,1.6390503793954847,1.642746672965586,11.5,5.059897811152041,-0.5
6783,2016,3585,1445,Simone Verdi,h,FWR,1137.0,4.0,2.0,34.0,3.0,0.0,1.6729339845478532,1.695728209801018,12.5,5.214530163444579,1.0
7076,2016,3593,1445,Simone Verdi,a,AMR,1227.0,4.0,2.0,38.0,3.0,0.0,1.877437178045511,1.7142219571396706,12.5,5.846533491276205,0.0
7510,2016,3607,1445,Simone Verdi,h,FW,1305.0,4.0,2.0,40.0,3.0,0.0,2.0143616832792755,1.8897752491757271,12.5,6.432860299013555,0.0
7606,2016,3613,1445,Simone Verdi,a,FWR,1367.0,4.0,2.0,40.0,3.0,0.0,2.0143616832792755,1.8897752491757271,12.5,6.432860299013555,0.0
7900,2016,3622,1445,Simone Verdi,h,FW,1457.0,4.0,2.0,41.0,3.0,0.0,2.027412943542003,1.938578384928405,12.5,6.520817215554416,0.0
8223,2016,3633,1445,Simone Verdi,a,FW,1547.0,5.0,3.0,46.0,3.0,0.0,2.4096740707755084,2.3231138465926047,16.5,8.052136058919132,4.0
8571,2016,3649,1445,Simone Verdi,h,FWR,1637.0,5.0,3.0,47.0,3.0,0.0,2.4778109341859813,2.4028422189876433,16.5,8.336275021545589,0.0
8725,2016,3653,1445,Simone Verdi,a,FWR,1684.0,5.0,3.0,50.0,3.0,0.0,2.6406251490116115,2.4028422189876433,16.5,8.82471766602248,0.0
9437,2016,3681,1445,Simone Verdi,h,FWR,1774.0,5.0,3.0,51.0,4.0,0.0,2.6479385639540847,2.590386996977031,16.0,8.534202688839287,-0.5
9591,2016,3683,1445,Simone Verdi,a,FWR,1864.0,5.0,3.0,53.0,4.0,0.0,2.800130366813391,3.1350321276113386,16.0,9.535423228051513,0.0
9968,2016,3699,1445,Simone Verdi,h,AMC,1954.0,6.0,3.0,54.0,4.0,0.0,2.8515090825967486,3.151900925673544,19.0,9.706428173463792,3.0
10150,2016,3703,1445,Simone Verdi,a,AMC,2044.0,6.0,3.0,55.0,4.0,0.0,2.8645819402299817,3.315095567144453,19.0,9.9088413878344,0.0
