,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
626,2016,953,1438,Vasilis Torosidis,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,2016,962,1438,Vasilis Torosidis,a,DL,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1118,2016,971,1438,Vasilis Torosidis,h,DR,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1527,2016,985,1438,Vasilis Torosidis,a,DL,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,2016,1018,1438,Vasilis Torosidis,h,DR,275.0,0.0,0.0,1.0,0.0,0.0,0.0066171791404485,0.0166518874466419,0.0,0.0365034248679876,0.0
2641,2016,3285,1438,Vasilis Torosidis,a,DR,365.0,0.0,0.0,3.0,0.0,0.0,0.6409149076789616,0.0166518874466419,0.0,1.9393966104835276,0.0
3321,2016,2755,1438,Vasilis Torosidis,a,Sub,430.0,0.0,0.0,3.0,0.0,0.0,0.6409149076789616,0.0166518874466419,0.0,1.9393966104835276,0.0
3549,2016,2764,1438,Vasilis Torosidis,h,DR,434.0,0.0,0.0,3.0,0.0,0.0,0.6409149076789616,0.0166518874466419,0.0,1.9393966104835276,0.0
3773,2016,2772,1438,Vasilis Torosidis,h,DR,524.0,0.0,0.0,3.0,0.0,0.0,0.6409149076789616,0.0166518874466419,0.0,1.9393966104835276,0.0
4148,2016,3075,1438,Vasilis Torosidis,a,DR,614.0,0.0,0.0,3.0,1.0,0.0,0.6409149076789616,0.0166518874466419,-0.5,1.4393966104835276,-0.5
4330,2016,3082,1438,Vasilis Torosidis,h,DR,704.0,0.0,0.0,3.0,1.0,0.0,0.6409149076789616,0.0166518874466419,-0.5,1.4393966104835276,0.0
4649,2016,3093,1438,Vasilis Torosidis,a,DR,794.0,0.0,0.0,4.0,1.0,0.0,0.6816153395920991,0.0392658803611993,-0.5,1.5841118991374974,0.0
5205,2016,3529,1438,Vasilis Torosidis,a,DR,884.0,0.0,0.0,6.0,1.0,0.0,1.1760154534131286,0.0392658803611993,-0.5,3.0673122406005864,0.0
5233,2016,3530,1438,Vasilis Torosidis,a,DR,974.0,0.0,0.0,6.0,2.0,0.0,1.1760154534131286,0.0392658803611993,-1.0,2.5673122406005864,-0.5
5938,2016,3553,1438,Vasilis Torosidis,a,Sub,1002.0,0.0,0.0,6.0,2.0,0.0,1.1760154534131286,0.0392658803611993,-1.0,2.5673122406005864,0.0
6079,2016,3560,1438,Vasilis Torosidis,h,DR,1003.0,0.0,0.0,6.0,2.0,0.0,1.1760154534131286,0.0392658803611993,-1.0,2.5673122406005864,0.0
6369,2016,3571,1438,Vasilis Torosidis,h,Sub,1093.0,1.0,0.0,8.0,2.0,0.0,1.5093884635716674,0.0392658803611993,2.0,3.567431271076203,3.0
6624,2016,3579,1438,Vasilis Torosidis,a,DR,1102.0,1.0,0.0,8.0,2.0,0.0,1.5093884635716674,0.0621565617620944,2.0,3.590321952477098,0.0
6777,2016,3585,1438,Vasilis Torosidis,h,DC,1192.0,1.0,0.0,9.0,3.0,0.0,1.5681786965578792,0.0621565617620944,1.5,3.2666926514357333,-0.5
7072,2016,3593,1438,Vasilis Torosidis,a,DC,1282.0,1.0,0.0,10.0,4.0,0.0,2.013465447351336,0.0621565617620944,1.0,4.102552903816104,-0.5
7599,2016,3613,1438,Vasilis Torosidis,a,DR,1358.0,1.0,0.0,10.0,4.0,1.0,2.013465447351336,0.0621565617620944,0.5,3.602552903816104,-0.5
8215,2016,3633,1438,Vasilis Torosidis,a,DC,1431.0,1.0,0.0,10.0,5.0,1.0,2.013465447351336,0.0621565617620944,0.0,3.102552903816104,-0.5
8575,2016,3649,1438,Vasilis Torosidis,h,Sub,1511.0,1.0,0.0,10.0,5.0,1.0,2.013465447351336,0.0621565617620944,0.0,3.102552903816104,0.0
8718,2016,3653,1438,Vasilis Torosidis,a,DR,1524.0,1.0,0.0,10.0,5.0,1.0,2.013465447351336,0.0621565617620944,0.0,3.102552903816104,0.0
9430,2016,3681,1438,Vasilis Torosidis,h,DR,1614.0,1.0,0.0,10.0,5.0,1.0,2.013465447351336,0.0621565617620944,0.0,3.102552903816104,0.0
9964,2016,3699,1438,Vasilis Torosidis,h,DL,1667.0,1.0,0.0,10.0,5.0,1.0,2.013465447351336,0.0621565617620944,0.0,3.102552903816104,0.0
10143,2016,3703,1438,Vasilis Torosidis,a,DR,1757.0,1.0,0.0,11.0,5.0,1.0,2.0249358965083952,0.0621565617620944,0.0,3.1369642512872815,0.0
10355,2016,3715,1438,Vasilis Torosidis,h,DC,1847.0,1.0,0.0,11.0,5.0,1.0,2.0249358965083952,0.1506518162786959,0.0,3.225459505803883,0.0
