,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
185,2016,939,1306,Vincent Laurini,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,2016,947,1306,Vincent Laurini,a,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,2016,965,1306,Vincent Laurini,a,DR,163.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,0.0
990,2016,973,1306,Vincent Laurini,h,DR,253.0,0.0,0.0,1.0,0.0,1.0,0.0366682223975658,0.0,0.0,-0.3899953328073025,0.0
2008,2016,1016,1306,Vincent Laurini,h,DR,322.0,0.0,0.0,1.0,0.0,1.0,0.0366682223975658,0.0,0.0,-0.3899953328073025,0.0
3660,2016,3082,1306,Vincent Laurini,a,DR,368.0,0.0,0.0,1.0,0.0,1.0,0.0366682223975658,0.0,0.0,-0.3899953328073025,0.0
4188,2016,3520,1306,Vincent Laurini,h,DR,420.0,0.0,0.0,1.0,0.0,1.0,0.0366682223975658,0.0,0.0,-0.3899953328073025,0.0
4473,2016,3533,1306,Vincent Laurini,a,DR,510.0,0.0,0.0,1.0,1.0,1.0,0.0366682223975658,0.0,0.0,-0.8899953328073025,0.0
4784,2016,3547,1306,Vincent Laurini,h,DR,600.0,0.0,0.0,1.0,1.0,1.0,0.0366682223975658,0.0,0.0,-0.8899953328073025,0.0
5172,2016,3563,1306,Vincent Laurini,h,DR,657.0,0.0,0.0,1.0,1.0,1.0,0.0366682223975658,0.0,0.0,-0.8899953328073025,0.0
5504,2016,3577,1306,Vincent Laurini,a,DC,747.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.0,0.0,-0.6593636460602283,0.0
5654,2016,3584,1306,Vincent Laurini,h,DR,837.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.0,0.0,-0.6593636460602283,0.0
5874,2016,3595,1306,Vincent Laurini,a,DR,915.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.0,0.0,-0.6593636460602283,0.0
6159,2016,3604,1306,Vincent Laurini,h,DR,985.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.0,0.0,-0.6593636460602283,0.0
6449,2016,3616,1306,Vincent Laurini,a,DR,1075.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.0,0.0,-0.6593636460602283,0.0
6579,2016,3628,1306,Vincent Laurini,h,DR,1165.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.1113685220479965,0.0,-0.5479951240122318,0.0
6804,2016,3636,1306,Vincent Laurini,a,DR,1255.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.1113685220479965,0.0,-0.5479951240122318,0.0
7000,2016,3648,1306,Vincent Laurini,h,DR,1345.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.1113685220479965,0.0,-0.5479951240122318,0.0
7605,2016,3665,1306,Vincent Laurini,a,DR,1435.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.19041033089160908,0.0,-0.4689533151686192,0.0
7871,2016,3680,1306,Vincent Laurini,h,DR,1502.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.19041033089160908,0.0,-0.4689533151686192,0.0
8013,2016,3683,1306,Vincent Laurini,h,DR,1590.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.23754005134105668,0.0,-0.42182359471917164,0.0
8286,2016,3693,1306,Vincent Laurini,a,DR,1655.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.23754005134105668,0.0,-0.42182359471917164,0.0
8465,2016,3702,1306,Vincent Laurini,h,DR,1745.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.2510069599375127,0.0,-0.40835668612271564,0.0
8790,2016,3713,1306,Vincent Laurini,a,DR,1835.0,0.0,0.0,2.0,1.0,1.0,0.1135454513132571,0.2510069599375127,0.0,-0.40835668612271564,0.0
