,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
0,2016,931,1244,Wojciech Szczesny,h,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,2016,948,1244,Wojciech Szczesny,a,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,2016,956,1244,Wojciech Szczesny,h,GK,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,2016,969,1244,Wojciech Szczesny,a,GK,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1285,2016,977,1244,Wojciech Szczesny,h,GK,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439,2016,982,1244,Wojciech Szczesny,a,GK,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,2016,999,1244,Wojciech Szczesny,h,GK,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1942,2016,1000,1244,Wojciech Szczesny,a,GK,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460,2016,1019,1244,Wojciech Szczesny,h,GK,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2724,2016,3288,1244,Wojciech Szczesny,a,GK,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2948,2016,3296,1244,Wojciech Szczesny,a,GK,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3296,2016,2755,1244,Wojciech Szczesny,h,GK,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3534,2016,2763,1244,Wojciech Szczesny,a,GK,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,2016,2773,1244,Wojciech Szczesny,h,GK,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3982,2016,3069,1244,Wojciech Szczesny,a,GK,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4413,2016,3085,1244,Wojciech Szczesny,h,GK,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4537,2016,3089,1244,Wojciech Szczesny,a,GK,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4802,2016,3100,1244,Wojciech Szczesny,h,GK,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5120,2016,3526,1244,Wojciech Szczesny,a,GK,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,2016,3536,1244,Wojciech Szczesny,a,GK,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5746,2016,3549,1244,Wojciech Szczesny,h,GK,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5844,2016,3554,1244,Wojciech Szczesny,a,GK,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6330,2016,3569,1244,Wojciech Szczesny,h,GK,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6484,2016,3574,1244,Wojciech Szczesny,a,GK,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6915,2016,3590,1244,Wojciech Szczesny,h,GK,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7209,2016,3598,1244,Wojciech Szczesny,a,GK,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
7251,2016,3608,1244,Wojciech Szczesny,h,GK,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
7765,2016,3618,1244,Wojciech Szczesny,a,GK,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
8059,2016,3631,1244,Wojciech Szczesny,h,GK,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
8115,2016,3636,1244,Wojciech Szczesny,h,GK,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
8577,2016,3649,1244,Wojciech Szczesny,a,GK,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
8675,2016,3652,1244,Wojciech Szczesny,h,GK,2790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
9192,2016,3670,1244,Wojciech Szczesny,a,GK,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
9261,2016,3675,1244,Wojciech Szczesny,h,GK,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
9751,2016,3689,1244,Wojciech Szczesny,a,GK,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
10016,2016,3695,1244,Wojciech Szczesny,h,GK,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
10058,2016,3709,1244,Wojciech Szczesny,a,GK,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
10408,2016,3714,1244,Wojciech Szczesny,h,GK,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507671870291233,0.0,0.0507671870291233,0.0
