,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
138,2017,7504,716,Alberto Paloschi,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,2017,7524,716,Alberto Paloschi,a,FW,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,2017,7537,716,Alberto Paloschi,h,FW,131.0,0.0,0.0,2.0,0.0,0.0,0.1461588740348816,0.0,0.0,0.4384766221046448,0.0
1119,2017,7547,716,Alberto Paloschi,a,FW,196.0,0.0,0.0,3.0,0.0,0.0,0.197676844894886,0.0,0.0,0.5930305346846579,0.0
1542,2017,7566,716,Alberto Paloschi,h,Sub,259.0,0.0,0.0,3.0,0.0,0.0,0.197676844894886,0.0,0.0,0.5930305346846579,0.0
1715,2017,7569,716,Alberto Paloschi,a,FW,320.0,1.0,0.0,5.0,0.0,0.0,2.0522751286625858,0.0,3.0,6.156825385987759,3.0
1988,2017,7586,716,Alberto Paloschi,h,Sub,379.0,1.0,0.0,5.0,0.0,0.0,2.0522751286625858,0.0,3.0,6.156825385987759,0.0
2280,2017,7596,716,Alberto Paloschi,a,FW,405.0,1.0,0.0,5.0,0.0,0.0,2.0522751286625858,0.0,3.0,6.156825385987759,0.0
2479,2017,7606,716,Alberto Paloschi,h,FW,476.0,2.0,0.0,7.0,0.0,0.0,2.7932797148823734,0.0,6.0,8.379839144647121,3.0
2743,2017,7609,716,Alberto Paloschi,a,FW,555.0,2.0,1.0,7.0,0.0,0.0,2.7932797148823734,0.0361586399376392,7.0,8.41599778458476,1.0
2894,2017,7626,716,Alberto Paloschi,h,FW,645.0,2.0,1.0,10.0,0.0,0.0,3.336467452347278,0.1341103203594684,7.0,10.143512677401304,0.0
3044,2017,7632,716,Alberto Paloschi,a,FW,735.0,3.0,1.0,12.0,0.0,0.0,4.215697534382343,0.1887214668095111,10.0,12.835814069956541,3.0
3247,2017,7646,716,Alberto Paloschi,a,FW,825.0,3.0,1.0,13.0,0.0,0.0,4.247307401150465,0.2178333625197409,10.0,12.959755565971136,0.0
3557,2017,7657,716,Alberto Paloschi,h,FW,906.0,3.0,1.0,14.0,0.0,0.0,4.672187965363264,0.2178333625197409,10.0,14.234397258609533,0.0
3898,2017,7660,716,Alberto Paloschi,a,FW,996.0,4.0,1.0,16.0,0.0,0.0,5.013507913798094,0.2591659091413019,13.0,15.299689650535583,3.0
4075,2017,7677,716,Alberto Paloschi,h,Sub,1062.0,4.0,1.0,16.0,0.0,0.0,5.013507913798094,0.2591659091413019,13.0,15.299689650535583,0.0
4510,2017,7695,716,Alberto Paloschi,h,FW,1083.0,4.0,1.0,16.0,0.0,0.0,5.013507913798094,0.2591659091413019,13.0,15.299689650535583,0.0
5316,2017,7727,716,Alberto Paloschi,a,Sub,1173.0,4.0,1.0,17.0,0.0,0.0,5.088775549083948,0.2591659091413019,13.0,15.525492556393147,0.0
5397,2017,7737,716,Alberto Paloschi,h,Sub,1193.0,4.0,1.0,18.0,0.0,0.0,5.162979606539011,0.2959886193275449,13.0,15.784927438944578,0.0
5899,2017,7751,716,Alberto Paloschi,a,FW,1228.0,4.0,1.0,19.0,0.0,0.0,5.177666530944407,0.31183211132883987,13.0,15.844831704162061,0.0
6048,2017,7759,716,Alberto Paloschi,h,FW,1317.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.43194687739014587,16.0,17.30501016136259,3.0
6269,2017,7776,716,Alberto Paloschi,a,FW,1392.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.43194687739014587,16.0,17.30501016136259,0.0
6397,2017,7786,716,Alberto Paloschi,h,FW,1464.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.43194687739014587,16.0,17.30501016136259,0.0
6754,2017,7796,716,Alberto Paloschi,a,FW,1546.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.43194687739014587,16.0,17.30501016136259,0.0
7023,2017,7799,716,Alberto Paloschi,h,FW,1619.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.43194687739014587,16.0,17.30501016136259,0.0
7343,2017,7816,716,Alberto Paloschi,a,Sub,1709.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.4789268448948856,16.0,17.351990128867328,0.0
7542,2017,7822,716,Alberto Paloschi,h,FW,1741.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.4789268448948856,16.0,17.351990128867328,0.0
7704,2017,7836,716,Alberto Paloschi,h,FW,1802.0,5.0,1.0,20.0,1.0,0.0,5.791021094657481,0.4789268448948856,16.0,17.351990128867328,0.0
8111,2017,7847,716,Alberto Paloschi,a,Sub,1892.0,5.0,1.0,21.0,1.0,0.0,5.829060998745263,0.5694860741496082,16.0,17.556669070385396,0.0
8264,2017,7850,716,Alberto Paloschi,h,FW,1909.0,5.0,1.0,21.0,1.0,0.0,5.829060998745263,0.5694860741496082,16.0,17.556669070385396,0.0
8532,2017,7867,716,Alberto Paloschi,a,FW,1999.0,6.0,1.0,22.0,1.0,0.0,6.180191186256707,0.5694860741496082,19.0,18.61005963291973,3.0
8823,2017,7877,716,Alberto Paloschi,h,FW,2080.0,6.0,1.0,22.0,1.0,0.0,6.180191186256707,0.5694860741496082,19.0,18.61005963291973,0.0
