,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
724,2017,7528,1352,Aleandro Rosi,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,2017,7532,1352,Aleandro Rosi,h,DMR,16.0,0.0,0.0,1.0,0.0,0.0,0.0128968609496951,0.0,0.0,0.0386905828490853,0.0
1213,2017,7543,1352,Aleandro Rosi,h,Sub,106.0,0.0,0.0,2.0,1.0,0.0,0.0347174955531954,0.0,-0.5,-0.39584751334041357,-0.5
1582,2017,7553,1352,Aleandro Rosi,a,DMR,150.0,0.0,0.0,3.0,1.0,0.0,0.0481221973896025,0.0,-0.5,-0.35563340783119207,0.0
1680,2017,7562,1352,Aleandro Rosi,h,DMR,240.0,0.0,0.0,3.0,1.0,0.0,0.0481221973896025,0.0,-0.5,-0.35563340783119207,0.0
2057,2017,7570,1352,Aleandro Rosi,a,DMR,301.0,0.0,0.0,3.0,1.0,0.0,0.0481221973896025,0.0,-0.5,-0.35563340783119207,0.0
2334,2017,7583,1352,Aleandro Rosi,a,DMR,391.0,0.0,1.0,5.0,1.0,0.0,0.1240057796239851,0.2222547233104705,0.5,0.09427206218242634,1.0
2949,2017,7606,1352,Aleandro Rosi,a,DMR,446.0,0.0,1.0,5.0,1.0,0.0,0.1240057796239851,0.2557689957320689,0.5,0.12778633460402475,0.0
3074,2017,7614,1352,Aleandro Rosi,h,DMR,521.0,0.0,1.0,5.0,1.0,0.0,0.1240057796239851,0.2557689957320689,0.5,0.12778633460402475,0.0
3367,2017,7620,1352,Aleandro Rosi,a,DMR,576.0,0.0,1.0,6.0,1.0,0.0,0.184855595231056,0.2557689957320689,0.5,0.31033578142523743,0.0
3687,2017,7633,1352,Aleandro Rosi,h,DMR,666.0,0.0,1.0,7.0,1.0,0.0,0.5286951810121534,0.3154291659593581,0.5,1.4015147089958189,0.0
4118,2017,7643,1352,Aleandro Rosi,a,DMR,756.0,0.0,1.0,7.0,1.0,0.0,0.5286951810121534,0.3154291659593581,0.5,1.4015147089958189,0.0
4381,2017,7651,1352,Aleandro Rosi,h,DMR,846.0,0.0,1.0,7.0,1.0,0.0,0.5286951810121534,0.4897810667753218,0.5,1.5758666098117826,0.0
4591,2017,7663,1352,Aleandro Rosi,a,DMR,936.0,0.0,1.0,8.0,1.0,0.0,0.5429351935163138,0.5245246663689611,0.5,1.6533302469179032,0.0
4771,2017,7671,1352,Aleandro Rosi,h,DMR,1026.0,0.0,1.0,9.0,2.0,0.0,0.5545350769534704,0.5245246663689611,0.0,1.1881298972293732,-0.5
5174,2017,7688,1352,Aleandro Rosi,a,DMR,1107.0,0.0,1.0,9.0,2.0,0.0,0.5545350769534704,0.5245246663689611,0.0,1.1881298972293732,0.0
5787,2017,7703,1352,Aleandro Rosi,a,DMR,1163.0,0.0,1.0,9.0,3.0,0.0,0.5545350769534704,0.5245246663689611,-0.5,0.6881298972293732,-0.5
6750,2017,7745,1352,Aleandro Rosi,h,DMR,1253.0,0.0,1.0,10.0,4.0,0.0,0.5944135570898649,0.5245246663689611,-1.0,0.30776533763855674,-0.5
6988,2017,7755,1352,Aleandro Rosi,a,MR,1343.0,0.0,1.0,10.0,4.0,0.0,0.5944135570898649,0.5245246663689611,-1.0,0.30776533763855674,0.0
7878,2017,7784,1352,Aleandro Rosi,a,DMR,1400.0,0.0,1.0,10.0,4.0,0.0,0.5944135570898649,0.5245246663689611,-1.0,0.30776533763855674,0.0
8169,2017,7760,1352,Aleandro Rosi,h,DMR,1479.0,0.0,1.0,12.0,5.0,0.0,0.6590696657076474,0.6228390410542485,-1.5,0.10004803817719204,-0.5
9045,2017,7823,1352,Aleandro Rosi,a,DMR,1552.0,0.0,1.0,12.0,5.0,0.0,0.6590696657076474,0.6228390410542485,-1.5,0.10004803817719204,0.0
9924,2017,7853,1352,Aleandro Rosi,h,DMR,1642.0,0.0,1.0,12.0,5.0,0.0,0.6590696657076474,0.6228390410542485,-1.5,0.10004803817719204,0.0
10050,2017,7861,1352,Aleandro Rosi,a,DMR,1688.0,0.0,1.0,12.0,5.0,0.0,0.6590696657076474,0.6228390410542485,-1.5,0.10004803817719204,0.0
