,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1001,2017,7542,1472,Alessandro Matri,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345,2017,7557,1472,Alessandro Matri,h,FW,78.0,1.0,0.0,4.0,0.0,0.0,2.143634080886841,0.0351048819720745,3.0,6.466007124632597,3.0
1527,2017,7563,1472,Alessandro Matri,a,FW,148.0,1.0,0.0,5.0,0.0,0.0,2.279711440205574,0.0351048819720745,3.0,6.874239202588797,0.0
1795,2017,7578,1472,Alessandro Matri,h,FW,238.0,1.0,0.0,5.0,0.0,0.0,2.279711440205574,0.0564658306539058,3.0,6.895600151270628,0.0
2317,2017,7598,1472,Alessandro Matri,h,Sub,292.0,1.0,0.0,7.0,0.0,0.0,2.85322542488575,0.0956991463899611,3.0,8.65537542104721,0.0
2756,2017,7618,1472,Alessandro Matri,h,Sub,321.0,1.0,0.0,7.0,0.0,0.0,2.85322542488575,0.1742240488529203,3.0,8.73390032351017,0.0
2858,2017,7619,1472,Alessandro Matri,a,FW,353.0,1.0,0.0,7.0,0.0,0.0,2.85322542488575,0.22106875106692292,3.0,8.780745025724173,0.0
3054,2017,7637,1472,Alessandro Matri,h,FW,443.0,2.0,0.0,11.0,0.0,0.0,3.6579533368349075,0.51707611605525,6.0,11.490936126559973,3.0
3359,2017,7642,1472,Alessandro Matri,a,FW,533.0,2.0,0.0,14.0,0.0,0.0,3.8997612297534943,0.51707611605525,6.0,12.216359805315733,0.0
3607,2017,7656,1472,Alessandro Matri,h,Sub,623.0,2.0,0.0,18.0,0.0,0.0,4.2046524584293365,0.5308525152504442,6.0,13.144809890538454,0.0
3877,2017,7667,1472,Alessandro Matri,a,Sub,642.0,2.0,0.0,19.0,0.0,0.0,4.965951293706894,0.6125457845628259,6.0,15.510399665683508,0.0
4299,2017,7686,1472,Alessandro Matri,a,Sub,658.0,3.0,0.0,21.0,0.0,0.0,5.128016293048859,0.6125457845628259,9.0,15.996594663709402,3.0
4571,2017,7697,1472,Alessandro Matri,a,Sub,689.0,3.0,0.0,21.0,0.0,0.0,5.128016293048859,0.6125457845628259,9.0,15.996594663709402,0.0
4767,2017,7708,1472,Alessandro Matri,h,Sub,712.0,3.0,0.0,23.0,0.0,0.0,5.68014121055603,0.6604371182620522,9.0,17.700860749930143,0.0
4905,2017,7709,1472,Alessandro Matri,h,Sub,747.0,3.0,0.0,25.0,1.0,0.0,6.360187768936157,0.7365809194743629,9.0,19.317144226282835,0.0
5293,2017,7726,1472,Alessandro Matri,a,Sub,780.0,3.0,0.0,27.0,1.0,0.0,6.4858513325452805,0.7555343080312009,9.0,19.713088305667043,0.0
5465,2017,7732,1472,Alessandro Matri,h,Sub,810.0,3.0,0.0,27.0,1.0,0.0,6.4858513325452805,0.7555343080312009,9.0,19.713088305667043,0.0
