,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
53,2017,7500,1379,Allan,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,2017,7514,1379,Allan,h,Sub,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,2017,7521,1379,Allan,a,MC,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,2017,7534,1379,Allan,h,MC,143.0,0.0,0.0,2.0,0.0,0.0,0.088037222623825,0.1063768118619918,0.0,0.3704884797334671,0.0
1306,2017,7546,1379,Allan,a,MC,219.0,1.0,0.0,5.0,0.0,0.0,0.9634711444377898,0.1541967131197451,3.0,3.044610146433115,3.0
1423,2017,7558,1379,Allan,a,Sub,309.0,1.0,0.0,8.0,0.0,0.0,1.0326749458909033,0.1541967131197451,3.0,3.2522215507924557,0.0
1711,2017,7565,1379,Allan,h,MC,337.0,1.0,0.0,9.0,0.0,0.0,1.0610052924603222,0.1541967131197451,3.0,3.3372125905007124,0.0
1974,2017,7576,1379,Allan,a,MC,417.0,1.0,0.0,9.0,0.0,0.0,1.0610052924603222,0.1541967131197451,3.0,3.3372125905007124,0.0
2237,2017,7584,1379,Allan,h,MC,507.0,1.0,0.0,10.0,0.0,0.0,1.0894807577133176,0.23497014120221119,3.0,3.503412414342165,0.0
2676,2017,7594,1379,Allan,a,Sub,582.0,1.0,0.0,10.0,0.0,0.0,1.0894807577133176,0.23497014120221119,3.0,3.503412414342165,0.0
2880,2017,7603,1379,Allan,h,MC,591.0,1.0,0.0,10.0,0.0,0.0,1.0894807577133176,0.23497014120221119,3.0,3.503412414342165,0.0
3178,2017,7612,1379,Allan,a,Sub,681.0,2.0,0.0,11.0,0.0,0.0,1.488004684448242,0.23497014120221119,6.0,4.698984194546938,3.0
3326,2017,7623,1379,Allan,h,MC,697.0,2.0,0.0,11.0,0.0,0.0,1.488004684448242,0.23497014120221119,6.0,4.698984194546938,0.0
3757,2017,7638,1379,Allan,a,MC,787.0,2.0,0.0,13.0,1.0,0.0,1.5816688761115072,0.23497014120221119,5.5,4.479976769536734,-0.5
3883,2017,7645,1379,Allan,h,MC,877.0,2.0,0.0,14.0,1.0,0.0,1.6062979996204374,0.23497014120221119,5.5,4.553864140063524,0.0
4214,2017,7655,1379,Allan,h,MC,946.0,2.0,0.0,16.0,1.0,0.0,1.711560122668743,0.2755950503051279,5.5,4.9102754183113575,0.0
4452,2017,7668,1379,Allan,a,MC,1022.0,2.0,0.0,16.0,1.0,0.0,1.711560122668743,0.7829628996551035,5.5,5.417643267661333,0.0
4800,2017,7675,1379,Allan,h,MC,1112.0,2.0,1.0,17.0,1.0,0.0,1.740891585126519,2.106149297207594,6.5,6.8288240525871515,1.0
4980,2017,7682,1379,Allan,a,MC,1202.0,3.0,1.0,19.0,1.0,0.0,2.3595197293907404,2.106149297207594,9.5,8.684708485379815,3.0
5356,2017,7692,1379,Allan,h,MC,1292.0,3.0,2.0,19.0,1.0,0.0,2.3595197293907404,2.2821262292563915,10.5,8.860685417428613,1.0
5538,2017,7705,1379,Allan,a,MC,1382.0,3.0,2.0,22.0,1.0,0.0,2.4675915483385324,2.534974794834852,10.5,9.43774943985045,0.0
5914,2017,7711,1379,Allan,h,MC,1472.0,3.0,2.0,22.0,1.0,0.0,2.4675915483385324,2.534974794834852,10.5,9.43774943985045,0.0
6375,2017,7724,1379,Allan,a,MC,1562.0,3.0,2.0,24.0,1.0,0.0,2.6581594441086054,2.534974794834852,10.5,10.009453127160668,0.0
6499,2017,7736,1379,Allan,h,MC,1652.0,3.0,3.0,26.0,1.0,0.0,2.760958882048726,2.6039914451539516,11.5,10.38686809130013,1.0
6835,2017,7741,1379,Allan,h,MC,1736.0,3.0,3.0,26.0,1.0,0.0,2.760958882048726,2.6186076188459992,11.5,10.401484264992177,0.0
7212,2017,7752,1379,Allan,a,MC,1826.0,4.0,3.0,28.0,1.0,0.0,3.2806542236357927,2.678876073099673,14.5,12.020838744007051,3.0
7282,2017,7766,1379,Allan,h,MC,1916.0,4.0,4.0,28.0,1.0,0.0,3.2806542236357927,3.152770192362368,15.5,12.494732863269746,1.0
7574,2017,7774,1379,Allan,a,MC,2006.0,4.0,4.0,29.0,1.0,0.0,3.2987022791057825,3.152770192362368,15.5,12.548877029679716,0.0
7866,2017,7784,1379,Allan,h,MC,2096.0,4.0,4.0,29.0,2.0,0.0,3.2987022791057825,3.1731928242370486,15.0,12.069299661554396,-0.5
8020,2017,7793,1379,Allan,a,MC,2186.0,4.0,4.0,31.0,2.0,0.0,3.8004200253635645,3.2130993707105517,15.0,13.614359446801245,0.0
8560,2017,7802,1379,Allan,h,MC,2271.0,4.0,4.0,32.0,2.0,0.0,3.814501724205911,3.767782877199352,15.0,14.211288049817085,0.0
8851,2017,7813,1379,Allan,a,MC,2341.0,4.0,4.0,32.0,2.0,0.0,3.814501724205911,3.767782877199352,15.0,14.211288049817085,0.0
9179,2017,7828,1379,Allan,h,Sub,2429.0,4.0,4.0,33.0,2.0,0.0,3.8423387380316854,3.8087128279730678,15.0,14.335729042068124,0.0
9439,2017,7835,1379,Allan,a,MC,2443.0,4.0,4.0,33.0,2.0,0.0,3.8423387380316854,3.8087128279730678,15.0,14.335729042068124,0.0
9719,2017,7845,1379,Allan,a,MC,2525.0,4.0,4.0,34.0,2.0,0.0,3.8539894986897707,3.8087128279730678,15.0,14.37068132404238,0.0
9953,2017,7858,1379,Allan,h,MC,2615.0,4.0,4.0,34.0,2.0,0.0,3.8539894986897707,3.8087128279730678,15.0,14.37068132404238,0.0
10304,2017,7865,1379,Allan,a,MC,2705.0,4.0,4.0,35.0,2.0,0.0,3.9078688863664865,3.8618305837735534,15.0,14.585437242873013,0.0
10427,2017,7872,1379,Allan,h,MC,2787.0,4.0,5.0,36.0,2.0,0.0,3.9366612806916237,3.9091361379250884,16.0,14.71911997999996,1.0
