,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
219,2017,7508,1235,Ante Budimir,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,2017,7517,1235,Ante Budimir,h,FW,90.0,0.0,0.0,3.0,0.0,0.0,0.1154030188918113,0.0,0.0,0.3462090566754341,0.0
554,2017,7522,1235,Ante Budimir,a,FW,180.0,0.0,0.0,6.0,0.0,0.0,0.4610340818762778,0.0,0.0,1.3831022456288338,0.0
684,2017,7530,1235,Ante Budimir,h,FW,270.0,0.0,0.0,8.0,0.0,0.0,0.6009913906455038,0.0,0.0,1.802974171936512,0.0
979,2017,7539,1235,Ante Budimir,a,Sub,360.0,0.0,0.0,10.0,0.0,0.0,0.6433503292500969,0.3685121834278106,0.0,2.2985631711781025,0.0
1878,2017,7585,1235,Ante Budimir,a,FW,378.0,0.0,0.0,10.0,0.0,0.0,0.6433503292500969,0.3685121834278106,0.0,2.2985631711781025,0.0
2303,2017,7597,1235,Ante Budimir,a,FW,468.0,0.0,0.0,13.0,1.0,0.0,1.0806708596646781,0.38448831252753723,0.0,3.126500891521573,0.0
2409,2017,7600,1235,Ante Budimir,h,FW,558.0,0.0,0.0,13.0,2.0,0.0,1.0806708596646781,0.38448831252753723,0.0,2.626500891521573,0.0
2584,2017,7610,1235,Ante Budimir,a,FW,638.0,1.0,0.0,15.0,3.0,0.0,1.5074212215840812,0.38448831252753723,3.0,3.4067519772797823,3.0
2824,2017,7620,1235,Ante Budimir,h,FW,728.0,3.0,0.0,19.0,4.0,0.0,2.559294309467077,0.5021562557667493,9.0,6.180039184167981,6.0
3203,2017,7634,1235,Ante Budimir,a,FW,818.0,3.0,0.0,19.0,4.0,0.0,2.559294309467077,0.5317862667143344,9.0,6.209669195115566,0.0
3617,2017,7656,1235,Ante Budimir,a,FW,908.0,3.0,0.0,20.0,5.0,0.0,2.613447371870279,0.5317862667143344,9.0,5.872128382325172,0.0
3817,2017,7662,1235,Ante Budimir,h,FW,998.0,3.0,0.0,21.0,5.0,0.0,3.161002460867166,0.5317862667143344,9.0,7.514793649315834,0.0
3992,2017,7673,1235,Ante Budimir,a,FW,1088.0,4.0,0.0,24.0,5.0,0.0,4.783897463232279,0.7391039468348025,12.0,12.590796336531639,3.0
4163,2017,7682,1235,Ante Budimir,h,FW,1173.0,4.0,0.0,24.0,6.0,0.0,4.783897463232279,0.8061591722071169,12.0,12.157851561903954,0.0
4478,2017,7691,1235,Ante Budimir,a,FW,1263.0,4.0,0.0,24.0,6.0,0.0,4.783897463232279,0.8061591722071169,12.0,12.157851561903954,0.0
4711,2017,7701,1235,Ante Budimir,a,Sub,1341.0,4.0,0.0,24.0,6.0,0.0,4.783897463232279,1.0169091410934923,12.0,12.368601530790329,0.0
5417,2017,7729,1235,Ante Budimir,h,FW,1356.0,4.0,0.0,24.0,6.0,0.0,4.783897463232279,1.2218666113913057,12.0,12.573559001088142,0.0
5758,2017,7742,1235,Ante Budimir,a,Sub,1442.0,4.0,0.0,24.0,7.0,0.0,4.783897463232279,1.2218666113913057,12.0,12.073559001088142,0.0
5886,2017,7751,1235,Ante Budimir,h,FW,1482.0,4.0,0.0,26.0,8.0,0.0,4.93203042820096,1.2528759893029926,12.0,12.048967273905873,0.0
