,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
99,2017,7503,1422,Borja Valero,h,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,2017,7510,1422,Borja Valero,a,AMC,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439255237579345,0.0,0.0439255237579345,0.0
491,2017,7524,1422,Borja Valero,h,DMC,156.0,0.0,0.0,1.0,0.0,0.0,0.0874464511871337,0.2053950130939483,0.0,0.4677343666553496,0.0
692,2017,7530,1422,Borja Valero,a,DMC,237.0,0.0,0.0,2.0,0.0,0.0,0.12336929515004141,0.2210435569286345,0.0,0.5911514423787592,0.0
926,2017,7541,1422,Borja Valero,a,DMC,327.0,0.0,0.0,3.0,0.0,0.0,0.13073325995355822,0.2210435569286345,0.0,0.6132433367893096,0.0
1317,2017,7553,1422,Borja Valero,h,DMC,414.0,0.0,0.0,3.0,0.0,0.0,0.13073325995355822,0.2210435569286345,0.0,0.6132433367893096,0.0
1475,2017,7560,1422,Borja Valero,a,DMC,486.0,0.0,0.0,3.0,0.0,0.0,0.13073325995355822,0.2210435569286345,0.0,0.6132433367893096,0.0
1819,2017,7574,1422,Borja Valero,h,AMC,565.0,0.0,0.0,4.0,1.0,0.0,0.1571458065882322,0.2210435569286345,0.0,0.19248097669333186,0.0
1900,2017,7584,1422,Borja Valero,a,AMC,650.0,0.0,0.0,4.0,1.0,0.0,0.1571458065882322,0.31447772681713093,0.0,0.28591514658182826,0.0
2100,2017,7595,1422,Borja Valero,h,AMC,721.0,0.0,0.0,5.0,1.0,0.0,0.2335059428587552,0.31447772681713093,0.0,0.5149955553933975,0.0
2560,2017,7601,1422,Borja Valero,a,AMC,811.0,0.0,0.0,5.0,1.0,0.0,0.2335059428587552,0.3394954856485126,0.0,0.5400133142247792,0.0
2617,2017,7615,1422,Borja Valero,h,AMC,891.0,1.0,0.0,8.0,1.0,0.0,0.7975129866972561,0.3394954856485126,3.0,2.232034445740282,3.0
2961,2017,7622,1422,Borja Valero,h,AMC,981.0,1.0,0.0,8.0,1.0,0.0,0.7975129866972561,0.4110806491225955,3.0,2.303619609214365,0.0
3088,2017,7631,1422,Borja Valero,a,AMC,1065.0,1.0,0.0,8.0,1.0,0.0,0.7975129866972561,0.7450474407523867,3.0,2.6375864008441563,0.0
3367,2017,7644,1422,Borja Valero,h,DMC,1155.0,1.0,0.0,9.0,1.0,0.0,0.821739724837243,0.8549239840358492,3.0,2.82014315854758,0.0
3495,2017,7652,1422,Borja Valero,a,DMC,1245.0,1.0,0.0,10.0,1.0,0.0,0.8391690971329802,1.0546791013330217,3.0,3.072186392731964,0.0
3696,2017,7665,1422,Borja Valero,h,DMC,1335.0,1.0,0.0,10.0,1.0,0.0,0.8391690971329802,1.0683208443224426,3.0,3.085828135721385,0.0
4059,2017,7676,1422,Borja Valero,a,DMC,1425.0,1.0,0.0,11.0,1.0,0.0,0.9245717870071524,1.1206535995006557,3.0,3.394368960522115,0.0
4354,2017,7685,1422,Borja Valero,h,AMC,1515.0,1.0,0.0,11.0,1.0,0.0,0.9245717870071524,1.1348871150985356,3.0,3.4086024761199947,0.0
4432,2017,7693,1422,Borja Valero,a,AMC,1601.0,1.0,0.0,12.0,1.0,0.0,0.9667045036330811,1.4790476718917485,3.0,3.879161182790994,0.0
4809,2017,7706,1422,Borja Valero,h,AMC,1691.0,1.0,0.0,13.0,2.0,0.0,1.1277219215407959,1.4965075878426428,3.0,3.879673352465033,0.0
5026,2017,7714,1422,Borja Valero,a,DMC,1781.0,1.0,0.0,14.0,2.0,0.0,1.2360399225726715,1.546278028748929,3.0,4.254397796466946,0.0
5158,2017,7720,1422,Borja Valero,h,MC,1871.0,1.0,0.0,14.0,2.0,0.0,1.2360399225726715,1.5921576572582121,3.0,4.300277424976229,0.0
5485,2017,7731,1422,Borja Valero,h,MC,1961.0,1.0,0.0,14.0,2.0,0.0,1.2360399225726715,1.6078890888020392,3.0,4.316008856520056,0.0
5664,2017,7745,1422,Borja Valero,a,AMC,2051.0,1.0,0.0,14.0,2.0,0.0,1.2360399225726715,1.6208700574934478,3.0,4.3289898252114645,0.0
6966,2017,7764,1422,Borja Valero,a,Sub,2127.0,1.0,0.0,14.0,2.0,0.0,1.2360399225726715,1.6461349017918105,3.0,4.354254669509827,0.0
7102,2017,7805,1422,Borja Valero,a,AMC,2145.0,1.0,0.0,14.0,2.0,0.0,1.2360399225726715,1.6569940512999888,3.0,4.365113819018005,0.0
7316,2017,7812,1422,Borja Valero,a,MC,2214.0,1.0,0.0,14.0,2.0,0.0,1.2360399225726715,1.6794977141544218,3.0,4.3876174818724385,0.0
7473,2017,7821,1422,Borja Valero,h,Sub,2304.0,1.0,0.0,14.0,3.0,0.0,1.2360399225726715,1.6794977141544218,3.0,3.8876174818724385,0.0
7831,2017,7834,1422,Borja Valero,a,DMC,2358.0,1.0,0.0,14.0,3.0,0.0,1.2360399225726715,1.6794977141544218,3.0,3.8876174818724385,0.0
8224,2017,7855,1422,Borja Valero,a,DMC,2436.0,1.0,0.0,14.0,3.0,0.0,1.2360399225726715,1.6794977141544218,3.0,3.8876174818724385,0.0
