,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
5781,2017,7743,3340,Bryan Dabo,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5980,2017,7758,3340,Bryan Dabo,h,Sub,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203490499407053,0.0,0.0203490499407053,0.0
6650,2017,7790,3340,Bryan Dabo,h,Sub,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203490499407053,0.0,0.0203490499407053,0.0
6867,2017,7762,3340,Bryan Dabo,a,MC,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203490499407053,0.0,0.0203490499407053,0.0
7054,2017,7803,3340,Bryan Dabo,a,MC,165.0,0.0,0.0,1.0,0.0,0.0,0.0146343344822525,0.0203490499407053,0.0,0.06425205338746301,0.0
7326,2017,7816,3340,Bryan Dabo,h,MC,255.0,0.0,0.0,1.0,0.0,0.0,0.0146343344822525,0.0203490499407053,0.0,0.06425205338746301,0.0
7608,2017,7825,3340,Bryan Dabo,h,MC,345.0,0.0,0.0,1.0,0.0,0.0,0.0146343344822525,0.0203490499407053,0.0,0.06425205338746301,0.0
7735,2017,7832,3340,Bryan Dabo,a,MC,435.0,0.0,0.0,1.0,0.0,0.0,0.0146343344822525,0.0950633231550455,0.0,0.1389663266018032,0.0
8325,2017,7853,3340,Bryan Dabo,a,Sub,464.0,0.0,0.0,1.0,0.0,1.0,0.0146343344822525,0.0950633231550455,0.0,-0.3610336733981968,0.0
8760,2017,7873,3340,Bryan Dabo,a,DMC,492.0,1.0,0.0,3.0,1.0,1.0,0.4576655263081192,0.0950633231550455,3.0,0.4680599020794033,3.0
