,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
969,2017,7534,1218,Cristiano Lombardi,a,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1527,2017,7550,1218,Cristiano Lombardi,a,MR,79.0,0.0,0.0,1.0,0.0,0.0,0.0143543975427746,0.0,0.0,0.043063192628324,0.0
1738,2017,7560,1218,Cristiano Lombardi,h,MR,169.0,0.0,0.0,2.0,0.0,0.0,0.0547337578609585,0.4250416457653045,0.0,0.5892429193481803,0.0
2198,2017,7573,1218,Cristiano Lombardi,a,FWR,241.0,0.0,0.0,2.0,1.0,0.0,0.0547337578609585,0.7331567704677582,-0.5,0.3973580440506339,-0.5
2300,2017,7580,1218,Cristiano Lombardi,h,Sub,319.0,0.0,0.0,3.0,1.0,0.0,0.0633531911298631,0.7331567704677582,-0.5,0.4232163438573479,0.0
2592,2017,7591,1218,Cristiano Lombardi,a,Sub,339.0,0.0,0.0,4.0,1.0,0.0,0.0825567012652753,0.7331567704677582,-0.5,0.4808268742635845,0.0
2823,2017,7599,1218,Cristiano Lombardi,h,DMR,353.0,0.0,0.0,6.0,1.0,0.0,0.18655677046626779,0.7331567704677582,-0.5,0.7928270818665621,0.0
3235,2017,7616,1218,Cristiano Lombardi,a,Sub,432.0,0.0,0.0,6.0,1.0,0.0,0.18655677046626779,0.8241674676537514,-0.5,0.8838377790525553,0.0
3844,2017,7629,1218,Cristiano Lombardi,a,FWR,458.0,0.0,0.0,6.0,1.0,0.0,0.18655677046626779,0.8431650176644325,-0.5,0.9028353290632365,0.0
4782,2017,7671,1218,Cristiano Lombardi,a,DR,548.0,0.0,0.0,6.0,1.0,0.0,0.18655677046626779,0.8955184407532214,-0.5,0.9551887521520254,0.0
5049,2017,7680,1218,Cristiano Lombardi,h,DMR,638.0,0.0,0.0,6.0,2.0,0.0,0.18655677046626779,1.3081104643642902,-1.0,0.8677807757630942,-0.5
5408,2017,7696,1218,Cristiano Lombardi,h,DR,728.0,0.0,0.0,8.0,2.0,0.0,0.22741510253399577,1.3081104643642902,-1.0,0.9903557719662783,0.0
5565,2017,7699,1218,Cristiano Lombardi,a,DMR,810.0,0.0,0.0,9.0,2.0,0.0,0.5645508049055931,1.4405735172331333,-1.0,2.1342259319499135,0.0
6688,2017,7730,1218,Cristiano Lombardi,a,Sub,870.0,0.0,0.0,10.0,2.0,0.0,0.6204089289531107,1.4405735172331333,-1.0,2.301800304092467,0.0
7381,2017,7770,1218,Cristiano Lombardi,a,ML,898.0,0.0,1.0,10.0,2.0,0.0,0.6204089289531107,1.8972726501524448,0.0,2.7584994370117784,1.0
7934,2017,7789,1218,Cristiano Lombardi,a,DMR,972.0,0.0,1.0,12.0,3.0,0.0,1.020909345708787,1.8972726501524448,-0.5,3.460000687278807,-0.5
8948,2017,7819,1218,Cristiano Lombardi,h,DML,1062.0,0.0,2.0,13.0,3.0,0.0,1.0664041293784972,2.0043322406709194,0.5,3.703544628806412,1.0
