,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
407,2017,7512,1140,Danilo,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,2017,7528,1140,Danilo,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
938,2017,7533,1140,Danilo,a,DC,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1344,2017,7548,1140,Danilo,h,DC,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,2017,7588,1140,Danilo,h,DC,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2752,2017,7598,1140,Danilo,a,DC,407.0,1.0,0.0,1.0,1.0,0.0,0.4493819773197174,0.0,2.5,0.8481459319591522,2.5
2961,2017,7608,1140,Danilo,h,DC,497.0,1.0,0.0,2.0,1.0,0.0,0.5022558644413948,0.0387240275740623,2.5,1.0454916208982468,0.0
3490,2017,7628,1140,Danilo,h,DC,587.0,1.0,0.0,4.0,1.0,0.0,0.5724227204918861,0.0387240275740623,2.5,1.2559921890497208,0.0
3739,2017,7638,1140,Danilo,h,DC,677.0,1.0,0.0,5.0,1.0,0.0,0.6083916090428828,0.0387240275740623,2.5,1.363898854702711,0.0
4087,2017,7641,1140,Danilo,a,DC,767.0,1.0,0.0,6.0,2.0,0.0,0.6835342384874818,0.0907498039305209,2.0,1.1413525193929672,-0.5
4268,2017,7658,1140,Danilo,h,DC,857.0,1.0,0.0,6.0,2.0,0.0,0.6835342384874818,0.0907498039305209,2.0,1.1413525193929672,0.0
4422,2017,7665,1140,Danilo,a,DC,947.0,1.0,0.0,7.0,2.0,0.0,0.7077190540730951,0.0907498039305209,2.0,1.213906966149807,0.0
4882,2017,7678,1140,Danilo,h,DC,1037.0,1.0,0.0,7.0,2.0,0.0,0.7077190540730951,0.0907498039305209,2.0,1.213906966149807,0.0
5088,2017,7681,1140,Danilo,a,DC,1127.0,1.0,0.0,8.0,2.0,0.0,0.7529391013085839,0.0907498039305209,2.0,1.3495671078562737,0.0
5255,2017,7698,1140,Danilo,a,DC,1217.0,1.0,0.0,8.0,3.0,0.0,0.7529391013085839,0.0907498039305209,1.5,0.8495671078562737,-0.5
5660,2017,7707,1140,Danilo,h,DC,1307.0,1.0,0.0,9.0,3.0,0.0,0.7529391013085839,0.0907498039305209,1.5,0.8495671078562737,0.0
5814,2017,7617,1140,Danilo,a,DC,1397.0,1.0,0.0,9.0,4.0,0.0,0.7529391013085839,0.0907498039305209,1.0,0.34956710785627365,-0.5
6122,2017,7718,1140,Danilo,a,DC,1487.0,1.0,0.0,9.0,4.0,0.0,0.7529391013085839,0.0907498039305209,1.0,0.34956710785627365,0.0
6275,2017,7723,1140,Danilo,h,DC,1577.0,1.0,0.0,9.0,4.0,0.0,0.7529391013085839,0.0907498039305209,1.0,0.34956710785627365,0.0
6693,2017,7747,1140,Danilo,h,DC,1667.0,1.0,0.0,10.0,5.0,0.0,0.8856917582452294,0.0907498039305209,0.5,0.24782507866621026,-0.5
7068,2017,7749,1140,Danilo,a,DC,1757.0,1.0,0.0,11.0,5.0,0.0,0.8929428788833316,0.0907498039305209,0.5,0.26957844058051705,0.0
7612,2017,7788,1140,Danilo,h,DC,1804.0,1.0,0.0,11.0,5.0,0.0,0.8929428788833316,0.0907498039305209,0.5,0.26957844058051705,0.0
8098,2017,7798,1140,Danilo,a,DC,1894.0,1.0,0.0,11.0,5.0,0.0,0.8929428788833316,0.0907498039305209,0.5,0.26957844058051705,0.0
8195,2017,7762,1140,Danilo,h,DC,1984.0,1.0,0.0,13.0,5.0,0.0,0.921675927471369,0.0907498039305209,0.5,0.35577758634462947,0.0
8582,2017,7807,1140,Danilo,h,DC,2074.0,1.0,0.0,13.0,5.0,0.0,0.921675927471369,0.0907498039305209,0.5,0.35577758634462947,0.0
8652,2017,7818,1140,Danilo,a,DC,2164.0,1.0,0.0,13.0,5.0,0.0,0.921675927471369,0.0907498039305209,0.5,0.35577758634462947,0.0
9183,2017,7828,1140,Danilo,a,DC,2254.0,1.0,0.0,13.0,6.0,0.0,0.921675927471369,0.0907498039305209,0.0,-0.14422241365537053,-0.5
9308,2017,7831,1140,Danilo,h,DC,2333.0,1.0,0.0,14.0,7.0,0.0,0.960432629566639,0.0907498039305209,-0.5,-0.52795230736956,-0.5
9660,2017,7846,1140,Danilo,a,DC,2423.0,1.0,0.0,15.0,7.0,0.0,0.9730274840258055,0.1009302353486417,-0.5,-0.4799873125739396,0.0
9810,2017,7855,1140,Danilo,h,DC,2513.0,1.0,0.0,15.0,7.0,0.0,0.9730274840258055,0.1009302353486417,-0.5,-0.4799873125739396,0.0
10216,2017,7868,1140,Danilo,a,DC,2603.0,1.0,0.0,15.0,8.0,0.0,0.9730274840258055,0.1009302353486417,-1.0,-0.9799873125739396,-0.5
10396,2017,7871,1140,Danilo,h,DC,2693.0,1.0,0.0,15.0,8.0,0.0,0.9730274840258055,0.1009302353486417,-1.0,-0.9799873125739396,0.0
