,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
178,2017,7506,1114,Davide Biraschi,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,2017,7509,1114,Davide Biraschi,h,DC,90.0,0.0,0.0,1.0,0.0,0.0,0.5020490884780884,0.0,0.0,1.5061472654342651,0.0
592,2017,7528,1114,Davide Biraschi,a,DC,180.0,0.0,0.0,1.0,1.0,0.0,0.5020490884780884,0.0271219331771135,0.0,1.0332691986113787,0.0
1005,2017,7543,1114,Davide Biraschi,h,DC,254.0,0.0,0.0,1.0,1.0,0.0,0.5020490884780884,0.0271219331771135,0.0,1.0332691986113787,0.0
1325,2017,7553,1114,Davide Biraschi,a,DC,344.0,0.0,0.0,1.0,1.0,0.0,0.5020490884780884,0.0271219331771135,0.0,1.0332691986113787,0.0
1410,2017,7562,1114,Davide Biraschi,h,DC,434.0,0.0,0.0,1.0,1.0,0.0,0.5020490884780884,0.4729991275817155,0.0,1.4791463930159807,0.0
4344,2017,7688,1114,Davide Biraschi,a,Sub,511.0,0.0,0.0,1.0,1.0,0.0,0.5020490884780884,0.4729991275817155,0.0,1.4791463930159807,0.0
4553,2017,7697,1114,Davide Biraschi,h,DMR,545.0,0.0,0.0,1.0,1.0,0.0,0.5020490884780884,0.4729991275817155,0.0,1.4791463930159807,0.0
5108,2017,7718,1114,Davide Biraschi,h,DMR,635.0,0.0,1.0,1.0,1.0,0.0,0.5020490884780884,0.8455926794558761,1.0,1.8517399448901415,1.0
5353,2017,7722,1114,Davide Biraschi,a,DC,707.0,0.0,1.0,2.0,1.0,0.0,0.5252413377165793,0.8455926794558761,1.0,1.9213166926056147,0.0
5517,2017,7733,1114,Davide Biraschi,a,DC,797.0,0.0,1.0,2.0,1.0,0.0,0.5252413377165793,0.8455926794558761,1.0,1.9213166926056147,0.0
6297,2017,7773,1114,Davide Biraschi,h,DC,887.0,0.0,1.0,2.0,1.0,0.0,0.5252413377165793,0.8455926794558761,1.0,1.9213166926056147,0.0
6584,2017,7784,1114,Davide Biraschi,a,DC,977.0,0.0,1.0,2.0,1.0,0.0,0.5252413377165793,0.8455926794558761,1.0,1.9213166926056147,0.0
6735,2017,7796,1114,Davide Biraschi,h,DC,1067.0,0.0,1.0,2.0,1.0,0.0,0.5252413377165793,0.8455926794558761,1.0,1.9213166926056147,0.0
6825,2017,7760,1114,Davide Biraschi,h,DC,1157.0,0.0,1.0,2.0,1.0,0.0,0.5252413377165793,0.8455926794558761,1.0,1.9213166926056147,0.0
7075,2017,7804,1114,Davide Biraschi,a,DC,1247.0,0.0,1.0,2.0,2.0,0.0,0.5252413377165793,0.8691337965428826,1.0,1.4448578096926212,0.0
7908,2017,7833,1114,Davide Biraschi,h,DC,1337.0,0.0,1.0,2.0,2.0,0.0,0.5252413377165793,0.8691337965428826,1.0,1.4448578096926212,0.0
8033,2017,7841,1114,Davide Biraschi,a,DC,1427.0,0.0,1.0,2.0,2.0,0.0,0.5252413377165793,0.8691337965428826,1.0,1.4448578096926212,0.0
8301,2017,7853,1114,Davide Biraschi,h,DC,1517.0,0.0,1.0,2.0,2.0,0.0,0.5252413377165793,0.8691337965428826,1.0,1.4448578096926212,0.0
8408,2017,7861,1114,Davide Biraschi,a,DC,1607.0,0.0,1.0,2.0,2.0,0.0,0.5252413377165793,0.9064352810382839,1.0,1.4821592941880226,0.0
8838,2017,7878,1114,Davide Biraschi,h,DC,1697.0,0.0,1.0,2.0,2.0,0.0,0.5252413377165793,0.981284953653812,1.0,1.5570089668035507,0.0
