,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
23,2017,7499,1605,Diego Farias,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,2017,7513,1605,Diego Farias,a,FW,90.0,0.0,0.0,2.0,0.0,0.0,0.8278515338897705,0.0,0.0,2.4835546016693115,0.0
653,2017,7522,1605,Diego Farias,h,Sub,178.0,0.0,1.0,4.0,0.0,0.0,0.8878593817353249,0.0890554562211036,1.0,2.7526336014270782,1.0
1005,2017,7537,1605,Diego Farias,a,Sub,191.0,0.0,1.0,5.0,0.0,0.0,0.970430962741375,0.11930616758763779,1.0,3.030599055811763,0.0
1182,2017,7542,1605,Diego Farias,h,FW,214.0,0.0,2.0,7.0,0.0,0.0,1.3795836195349693,0.1473361272364853,2.0,4.2860869858413935,1.0
1731,2017,7565,1605,Diego Farias,a,Sub,304.0,0.0,2.0,9.0,0.0,0.0,1.799749843776226,0.46191570349037625,2.0,5.861165234819055,0.0
2049,2017,7570,1605,Diego Farias,h,FW,326.0,0.0,2.0,10.0,0.0,0.0,1.8152293479070067,0.46191570349037625,2.0,5.907603747211397,0.0
2478,2017,7582,1605,Diego Farias,a,FW,416.0,0.0,2.0,12.0,0.0,0.0,1.9257321050390601,0.48556629940867396,2.0,6.262762614525855,0.0
2579,2017,7591,1605,Diego Farias,h,Sub,506.0,0.0,2.0,16.0,1.0,0.0,2.106642006896436,0.48556629940867396,1.5,6.305492320097983,-0.5
3009,2017,7607,1605,Diego Farias,a,FW,514.0,0.0,2.0,16.0,1.0,0.0,2.106642006896436,0.48556629940867396,1.5,6.305492320097983,0.0
3138,2017,7611,1605,Diego Farias,h,Sub,604.0,0.0,3.0,18.0,1.0,0.0,2.1867706468328834,0.8503082208335397,2.5,6.91062016133219,1.0
3513,2017,7628,1605,Diego Farias,a,Sub,615.0,0.0,3.0,18.0,1.0,0.0,2.1867706468328834,0.8503082208335397,2.5,6.91062016133219,0.0
3667,2017,7631,1605,Diego Farias,h,Sub,630.0,0.0,3.0,19.0,1.0,0.0,2.2389400182291865,0.8503082208335397,2.5,7.0671282755211,0.0
4140,2017,7649,1605,Diego Farias,h,Sub,656.0,0.0,3.0,20.0,1.0,0.0,2.56435267906636,0.8503082208335397,2.5,8.04336625803262,0.0
4486,2017,7666,1605,Diego Farias,a,Sub,707.0,1.0,3.0,23.0,2.0,0.0,2.712673890404403,0.8674667607992884,5.0,8.005488432012498,2.5
4723,2017,7669,1605,Diego Farias,h,Sub,737.0,1.0,3.0,24.0,2.0,0.0,2.785292069427669,0.8674667607992884,5.0,8.223342969082296,0.0
5040,2017,7679,1605,Diego Farias,a,AMC,781.0,1.0,3.0,24.0,2.0,0.0,2.785292069427669,0.8674667607992884,5.0,8.223342969082296,0.0
5500,2017,7694,1605,Diego Farias,h,AMC,868.0,1.0,4.0,25.0,2.0,0.0,3.161653052084148,1.2448839079588647,6.0,9.729843064211309,1.0
5725,2017,7704,1605,Diego Farias,h,Sub,958.0,1.0,4.0,27.0,2.0,0.0,3.332589770667255,1.2448839079588647,6.0,10.24265321996063,0.0
5960,2017,7712,1605,Diego Farias,a,FW,1030.0,1.0,4.0,30.0,2.0,0.0,3.5337448520585895,1.2704091854393478,6.0,10.871643741615117,0.0
6337,2017,7727,1605,Diego Farias,h,AMC,1120.0,1.0,4.0,30.0,3.0,0.0,3.5337448520585895,1.2704091854393478,5.5,10.371643741615117,-0.5
6546,2017,7732,1605,Diego Farias,a,FW,1198.0,1.0,5.0,32.0,3.0,0.0,3.6290717823430896,1.2884678896516557,6.5,10.675683236680925,1.0
7427,2017,7772,1605,Diego Farias,h,Sub,1275.0,1.0,5.0,33.0,3.0,0.0,3.666382006369531,1.3952480535954233,6.5,10.894394072704017,0.0
7748,2017,7781,1605,Diego Farias,a,Sub,1281.0,1.0,5.0,33.0,3.0,0.0,3.666382006369531,1.3952480535954233,6.5,10.894394072704017,0.0
9586,2017,7839,1605,Diego Farias,a,Sub,1291.0,1.0,5.0,35.0,3.0,0.0,3.7985701179131866,1.3952480535954233,6.5,11.290958407334983,0.0
10013,2017,7856,1605,Diego Farias,h,FW,1349.0,1.0,5.0,37.0,4.0,0.0,3.954868874512613,1.3952480535954233,6.0,11.259854677133262,-0.5
10111,2017,7859,1605,Diego Farias,a,FW,1427.0,1.0,5.0,39.0,4.0,0.0,4.415178111754358,1.3952480535954233,6.0,12.640782388858497,0.0
10348,2017,7869,1605,Diego Farias,h,FW,1516.0,1.0,5.0,42.0,4.0,0.0,5.360558024607599,1.3952480535954233,6.0,15.47692212741822,0.0
