,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
181,2017,7506,1100,Diego Laxalt,a,DML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2017,7509,1100,Diego Laxalt,h,DML,90.0,0.0,0.0,2.0,0.0,0.0,0.0760836005210876,0.0,0.0,0.2282508015632629,0.0
595,2017,7528,1100,Diego Laxalt,a,DML,180.0,0.0,0.0,3.0,1.0,0.0,0.10014761798083771,0.0,0.0,-0.19955714605748656,0.0
888,2017,7532,1100,Diego Laxalt,h,DML,270.0,0.0,0.0,4.0,1.0,0.0,0.15158229880034912,0.0713142752647399,0.0,0.02606117166578764,0.0
1010,2017,7543,1100,Diego Laxalt,h,ML,360.0,0.0,0.0,4.0,1.0,0.0,0.15158229880034912,0.0713142752647399,0.0,0.02606117166578764,0.0
1329,2017,7553,1100,Diego Laxalt,a,DML,450.0,1.0,0.0,5.0,1.0,0.0,0.2135733272880314,0.11384902521967868,3.0,0.2545690070837735,3.0
1414,2017,7562,1100,Diego Laxalt,h,DML,503.0,1.0,0.0,6.0,1.0,0.0,0.2535694446414707,0.12480675615370249,3.0,0.3855150900781153,0.0
1735,2017,7570,1100,Diego Laxalt,a,DML,593.0,1.0,0.0,8.0,1.0,0.0,0.33512298576533767,0.1363398432731626,3.0,0.6417088005691765,0.0
1969,2017,7583,1100,Diego Laxalt,a,DML,683.0,1.0,0.0,10.0,1.0,0.0,0.5061909239739176,0.1650717109441754,3.0,1.1836444828659294,0.0
2240,2017,7594,1100,Diego Laxalt,h,DML,773.0,1.0,0.0,10.0,1.0,0.0,0.5061909239739176,0.1650717109441754,3.0,1.1836444828659294,0.0
2486,2017,7606,1100,Diego Laxalt,a,DML,863.0,1.0,0.0,10.0,1.0,0.0,0.5061909239739176,0.2510563805699345,3.0,1.2696291524916885,0.0
2591,2017,7614,1100,Diego Laxalt,h,DML,953.0,1.0,0.0,11.0,1.0,0.0,0.5485983956605193,0.326602458953857,3.0,1.472397645935416,0.0
2831,2017,7620,1100,Diego Laxalt,a,DML,1043.0,1.0,0.0,12.0,1.0,0.0,0.6239636484533545,0.4940452873706813,3.0,1.865936232730746,0.0
3096,2017,7633,1100,Diego Laxalt,h,DML,1133.0,1.0,1.0,12.0,1.0,0.0,0.6239636484533545,1.1324714124202724,4.0,2.5043623577803373,1.0
3449,2017,7643,1100,Diego Laxalt,a,DML,1223.0,1.0,1.0,12.0,1.0,0.0,0.6239636484533545,1.1569508146494623,4.0,2.528841760009527,0.0
3672,2017,7651,1100,Diego Laxalt,h,DML,1312.0,1.0,1.0,12.0,1.0,0.0,0.6239636484533545,1.1569508146494623,4.0,2.528841760009527,0.0
3999,2017,7671,1100,Diego Laxalt,h,DML,1382.0,1.0,1.0,13.0,1.0,0.0,0.7146160844713446,1.1569508146494623,4.0,2.8007990680634975,0.0
4338,2017,7688,1100,Diego Laxalt,a,DML,1472.0,1.0,1.0,14.0,1.0,0.0,0.7925774026662107,1.1569508146494623,4.0,3.034683022648096,0.0
4554,2017,7697,1100,Diego Laxalt,h,DML,1562.0,1.0,1.0,14.0,1.0,0.0,0.7925774026662107,1.1569508146494623,4.0,3.034683022648096,0.0
4841,2017,7703,1100,Diego Laxalt,a,DML,1652.0,1.0,1.0,14.0,1.0,0.0,0.7925774026662107,1.1569508146494623,4.0,3.034683022648096,0.0
5356,2017,7722,1100,Diego Laxalt,a,DML,1742.0,1.0,1.0,15.0,1.0,0.0,0.8122494537383312,1.1569508146494623,4.0,3.093699175864458,0.0
5520,2017,7733,1100,Diego Laxalt,a,DML,1832.0,2.0,1.0,17.0,1.0,0.0,0.9691112805157894,1.1569508146494623,7.0,3.5642846561968327,3.0
5650,2017,7745,1100,Diego Laxalt,h,DML,1922.0,3.0,1.0,18.0,1.0,0.0,1.0239181872457261,1.4108747374266382,10.0,3.9826292991638184,3.0
5849,2017,7755,1100,Diego Laxalt,a,ML,2012.0,3.0,2.0,19.0,1.0,0.0,1.0381782297044988,1.9459318649023767,11.0,4.560466554015875,1.0
6299,2017,7773,1100,Diego Laxalt,h,DML,2102.0,3.0,2.0,20.0,1.0,0.0,1.0787860658019777,1.9459318649023767,11.0,4.6822900623083115,0.0
6587,2017,7784,1100,Diego Laxalt,a,DML,2192.0,3.0,2.0,21.0,1.0,0.0,1.1070116609334941,2.0121856611222024,11.0,4.833220643922687,0.0
6737,2017,7796,1100,Diego Laxalt,h,DML,2282.0,3.0,2.0,21.0,2.0,0.0,1.1070116609334941,2.042822830379009,11.0,4.363857813179493,0.0
6828,2017,7760,1100,Diego Laxalt,h,DML,2372.0,3.0,2.0,24.0,2.0,0.0,1.2357309609651561,2.042822830379009,11.0,4.750015713274479,0.0
7077,2017,7804,1100,Diego Laxalt,a,DML,2460.0,3.0,2.0,24.0,2.0,0.0,1.2357309609651561,2.042822830379009,11.0,4.750015713274479,0.0
7257,2017,7810,1100,Diego Laxalt,h,DML,2550.0,3.0,2.0,24.0,2.0,0.0,1.2357309609651561,2.042822830379009,11.0,4.750015713274479,0.0
7911,2017,7833,1100,Diego Laxalt,h,DML,2640.0,3.0,2.0,25.0,2.0,0.0,1.261735955253243,2.042822830379009,11.0,4.82803069613874,0.0
8840,2017,7878,1100,Diego Laxalt,h,DML,2730.0,3.0,3.0,29.0,2.0,0.0,1.5192858371883626,2.1305210962891574,12.0,5.688378607854247,1.0
