,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1029,2017,7538,1148,Duván Zapata,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1256,2017,7544,1148,Duván Zapata,a,Sub,90.0,1.0,0.0,3.0,0.0,0.0,0.1379304230213165,0.0889263451099395,3.0,0.5027176141738892,3.0
1461,2017,7556,1148,Duván Zapata,h,FW,128.0,1.0,0.0,7.0,0.0,0.0,0.8084253966808319,0.1880899146199225,3.0,2.6133661046624184,0.0
1671,2017,7568,1148,Duván Zapata,a,FW,218.0,2.0,1.0,11.0,0.0,0.0,2.093020051717758,0.36086361855268456,7.0,6.639923773705959,4.0
2103,2017,7577,1148,Duván Zapata,h,FW,291.0,2.0,1.0,12.0,0.0,0.0,2.1359850987792015,0.3973137959837911,7.0,6.805269092321396,0.0
2214,2017,7585,1148,Duván Zapata,h,FW,378.0,3.0,1.0,14.0,0.0,0.0,2.7626731619238853,0.416584016755223,10.0,8.70460350252688,3.0
2506,2017,7595,1148,Duván Zapata,a,FW,468.0,3.0,2.0,14.0,0.0,0.0,2.7626731619238853,1.1319538373500106,11.0,9.419973323121667,1.0
2913,2017,7605,1148,Duván Zapata,h,FW,527.0,3.0,2.0,15.0,0.0,0.0,2.7936028502881527,1.1319538373500106,11.0,9.512762388214469,0.0
3093,2017,7614,1148,Duván Zapata,a,FW,617.0,4.0,2.0,17.0,0.0,0.0,3.708097603172064,1.2779712099581955,14.0,12.402264019474387,3.0
3415,2017,7625,1148,Duván Zapata,h,FW,705.0,4.0,4.0,17.0,0.0,0.0,3.708097603172064,2.255934776738286,16.0,13.380227586254478,2.0
3594,2017,7630,1148,Duván Zapata,a,FW,795.0,5.0,4.0,19.0,0.0,0.0,4.350589003413916,2.255934776738286,19.0,15.307701786980033,3.0
4054,2017,7647,1148,Duván Zapata,h,FW,885.0,5.0,4.0,20.0,0.0,0.0,4.369887936860323,2.255934776738286,19.0,15.365598587319255,0.0
4151,2017,7649,1148,Duván Zapata,a,FW,975.0,6.0,4.0,23.0,0.0,0.0,5.084141541272402,2.3415182549506426,22.0,17.593942878767848,3.0
4611,2017,7667,1148,Duván Zapata,h,FW,1065.0,6.0,4.0,23.0,0.0,0.0,5.084141541272402,2.367483740672469,22.0,17.619908364489675,0.0
4820,2017,7675,1148,Duván Zapata,a,Sub,1122.0,6.0,4.0,24.0,0.0,0.0,5.616886664181948,2.367483740672469,22.0,19.218143733218312,0.0
5643,2017,7702,1148,Duván Zapata,h,Sub,1128.0,6.0,4.0,24.0,0.0,0.0,5.616886664181948,2.367483740672469,22.0,19.218143733218312,0.0
5835,2017,7527,1148,Duván Zapata,h,FW,1159.0,6.0,4.0,24.0,0.0,0.0,5.616886664181948,2.367483740672469,22.0,19.218143733218312,0.0
6100,2017,7717,1148,Duván Zapata,a,FW,1249.0,6.0,4.0,25.0,0.0,0.0,5.694965776056051,2.455508252605796,22.0,19.54040558077395,0.0
6143,2017,7728,1148,Duván Zapata,h,FW,1339.0,7.0,4.0,30.0,0.0,0.0,6.562749680131674,2.7589559461921453,25.0,22.447204986587167,3.0
6616,2017,7734,1148,Duván Zapata,h,FW,1401.0,7.0,4.0,32.0,0.0,0.0,6.646504703909159,2.7589559461921453,25.0,22.69847005791962,0.0
6936,2017,7748,1148,Duván Zapata,a,FW,1460.0,7.0,4.0,35.0,0.0,0.0,7.483259562402964,2.8664122577756643,25.0,25.316190944984555,0.0
7063,2017,7749,1148,Duván Zapata,h,Sub,1515.0,7.0,4.0,36.0,0.0,0.0,7.52198975533247,2.884442837908864,25.0,25.450412103906274,0.0
7469,2017,7775,1148,Duván Zapata,a,Sub,1535.0,8.0,4.0,37.0,0.0,0.0,7.622357293963432,2.9357376974076033,28.0,25.8028095792979,3.0
7676,2017,7785,1148,Duván Zapata,h,FW,1595.0,9.0,4.0,39.0,0.0,0.0,7.968783333897591,2.9357376974076033,31.0,26.842087699100375,3.0
8050,2017,7795,1148,Duván Zapata,a,FW,1685.0,9.0,4.0,42.0,0.0,0.0,8.086110174655914,2.9578364975750446,31.0,27.216167021542788,0.0
8245,2017,7767,1148,Duván Zapata,a,FW,1743.0,9.0,4.0,42.0,0.0,0.0,8.086110174655914,3.2959237582981586,31.0,27.5542542822659,0.0
8453,2017,7804,1148,Duván Zapata,h,FW,1833.0,10.0,4.0,44.0,1.0,0.0,8.521113276481628,3.3694518469274044,33.5,28.43279167637229,2.5
8882,2017,7815,1148,Duván Zapata,a,FW,1923.0,10.0,4.0,45.0,1.0,0.0,8.630791015923023,3.411439534276724,33.5,28.803812582045794,0.0
8982,2017,7820,1148,Duván Zapata,h,Sub,2013.0,10.0,4.0,47.0,1.0,0.0,8.91972280293703,3.411439534276724,33.5,29.670607943087816,0.0
9386,2017,7837,1148,Duván Zapata,a,FW,2042.0,11.0,4.0,50.0,1.0,0.0,9.256000854074955,3.5229162834584713,36.5,30.790918845683336,3.0
10295,2017,7865,1148,Duván Zapata,h,Sub,2103.0,11.0,4.0,53.0,1.0,0.0,9.476617582142353,3.5229162834584713,36.5,31.45276902988553,0.0
