,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
54,2017,7500,1033,Emanuele Giaccherini,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,2017,7534,1033,Emanuele Giaccherini,h,Sub,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0603931099176406,-0.5,-0.4396068900823593,-0.5
2678,2017,7594,1033,Emanuele Giaccherini,a,Sub,46.0,0.0,0.0,1.0,1.0,0.0,0.0762414261698722,0.0603931099176406,-0.5,-0.21088261157274252,0.0
2888,2017,7603,1033,Emanuele Giaccherini,h,Sub,47.0,0.0,0.0,1.0,1.0,0.0,0.0762414261698722,0.0603931099176406,-0.5,-0.21088261157274252,0.0
6237,2017,7719,1033,Emanuele Giaccherini,a,MC,57.0,0.0,0.0,1.0,2.0,0.0,0.0762414261698722,0.1570439860224723,-1.0,-0.6142317354679108,-0.5
6584,2017,7733,1033,Emanuele Giaccherini,h,MC,122.0,0.0,0.0,1.0,2.0,0.0,0.0762414261698722,0.1570439860224723,-1.0,-0.6142317354679108,0.0
6730,2017,7739,1033,Emanuele Giaccherini,h,Sub,181.0,0.0,0.0,1.0,2.0,0.0,0.0762414261698722,0.2400111779570578,-1.0,-0.5312645435333253,0.0
7356,2017,7771,1033,Emanuele Giaccherini,a,Sub,201.0,1.0,1.0,2.0,2.0,0.0,0.1533413305878638,0.3682695403695105,3.0,-0.1717064678668977,4.0
7771,2017,7782,1033,Emanuele Giaccherini,a,ML,245.0,1.0,1.0,2.0,2.0,0.0,0.1533413305878638,0.3887870032340286,3.0,-0.15118900500237958,0.0
8036,2017,7795,1033,Emanuele Giaccherini,h,ML,316.0,1.0,1.0,2.0,3.0,0.0,0.1533413305878638,0.3887870032340286,2.5,-0.6511890050023796,-0.5
8340,2017,7768,1033,Emanuele Giaccherini,h,AMC,390.0,1.0,2.0,2.0,3.0,0.0,0.1533413305878638,0.4936317745596168,3.5,-0.5463442336767914,1.0
8576,2017,7802,1033,Emanuele Giaccherini,a,ML,480.0,2.0,2.0,3.0,4.0,0.0,0.2260665893554686,0.6293317917734382,6.0,-0.6924684401601555,2.5
9021,2017,7822,1033,Emanuele Giaccherini,a,MC,562.0,2.0,3.0,4.0,5.0,0.0,0.2358572753146289,0.7320794779807326,6.5,-1.06034869607538,0.5
9343,2017,7834,1033,Emanuele Giaccherini,h,MC,652.0,2.0,3.0,4.0,5.0,0.0,0.2358572753146289,0.8070007581263777,6.5,-0.9854274159297349,0.0
9901,2017,7852,1033,Emanuele Giaccherini,h,ML,720.0,2.0,3.0,6.0,5.0,0.0,0.29894273448735453,0.9200332630425688,6.5,-0.6831385334953668,0.0
10140,2017,7860,1033,Emanuele Giaccherini,a,FWL,810.0,2.0,3.0,6.0,5.0,0.0,0.29894273448735453,0.9360069222748275,6.5,-0.6671648742631081,0.0
10377,2017,7870,1033,Emanuele Giaccherini,h,FWL,879.0,3.0,3.0,7.0,6.0,0.0,0.35080624464899274,0.9641900081187482,9.0,-0.9833912579342726,2.5
