,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
77,2017,7502,1448,Erick Pulgar,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,2017,7521,1448,Erick Pulgar,h,DMC,90.0,0.0,0.0,2.0,1.0,0.0,0.0412728153169155,0.0,0.0,-0.3761815540492534,0.0
716,2017,7531,1448,Erick Pulgar,a,MC,180.0,0.0,0.0,3.0,2.0,0.0,0.0911301337182521,0.0,0.0,-0.7266095988452435,0.0
916,2017,7541,1448,Erick Pulgar,h,MC,270.0,0.0,0.0,4.0,2.0,0.0,0.1015679603442548,0.0,0.0,-0.6952961189672352,0.0
1355,2017,7557,1448,Erick Pulgar,a,MC,360.0,0.0,0.0,5.0,2.0,0.0,0.1493087476119397,0.0,0.0,-0.5520737571641804,0.0
1428,2017,7562,1448,Erick Pulgar,a,MC,450.0,0.0,0.0,6.0,3.0,0.0,0.16573339048773023,0.0,0.0,-1.0027998285368085,0.0
1698,2017,7569,1448,Erick Pulgar,h,MC,540.0,0.0,1.0,6.0,3.0,0.0,0.16573339048773023,0.5133674144744873,1.0,-0.4894324140623212,1.0
1920,2017,7579,1448,Erick Pulgar,a,MC,630.0,0.0,1.0,8.0,4.0,0.0,0.19983429927378862,0.5312275290489196,1.0,-0.8692695731297135,0.0
2144,2017,7590,1448,Erick Pulgar,h,MC,720.0,0.0,1.0,8.0,4.0,0.0,0.19983429927378862,0.5312275290489196,1.0,-0.8692695731297135,0.0
2370,2017,7604,1448,Erick Pulgar,a,MC,810.0,0.0,1.0,9.0,4.0,0.0,0.25778826791793075,0.5446420516818761,1.0,-0.6819931445643306,0.0
2994,2017,7621,1448,Erick Pulgar,a,MC,900.0,0.0,1.0,9.0,5.0,0.0,0.25778826791793075,0.6393764745444057,1.0,-1.0872587217018008,0.0
3005,2017,7630,1448,Erick Pulgar,h,MC,990.0,0.0,1.0,11.0,5.0,0.0,0.30330591741949287,0.9023185502737758,1.0,-0.6877636974677444,0.0
3324,2017,7640,1448,Erick Pulgar,h,MC,1080.0,0.0,1.0,13.0,5.0,0.0,0.35544850025325975,1.0260161887854335,1.0,-0.4076383104547858,0.0
3636,2017,7654,1448,Erick Pulgar,a,MC,1170.0,0.0,1.0,14.0,5.0,0.0,0.40729627478867725,1.078379215672612,1.0,-0.19973195996135473,0.0
3789,2017,7661,1448,Erick Pulgar,h,MC,1260.0,0.0,1.0,15.0,5.0,0.0,0.47572065610438535,1.1257354598492382,1.0,0.052897428162395954,0.0
3941,2017,7670,1448,Erick Pulgar,a,MC,1350.0,0.0,1.0,16.0,5.0,0.0,0.48640957940369783,1.3066208045929668,1.0,0.26584954280406237,0.0
4255,2017,7681,1448,Erick Pulgar,h,MC,1440.0,0.0,1.0,16.0,5.0,0.0,0.48640957940369783,1.3066208045929668,1.0,0.26584954280406237,0.0
4452,2017,7690,1448,Erick Pulgar,a,DMC,1530.0,0.0,1.0,16.0,5.0,0.0,0.48640957940369783,1.8837671559303997,1.0,0.8429958941414952,0.0
4957,2017,7711,1448,Erick Pulgar,a,DMC,1620.0,0.0,1.0,18.0,5.0,0.0,1.2587342010810965,1.8837671559303997,1.0,3.1599697591736913,0.0
5227,2017,7721,1448,Erick Pulgar,h,MC,1710.0,0.0,1.0,20.0,5.0,0.0,1.3059601644054049,2.0583067368715997,1.0,3.4761872300878167,0.0
5496,2017,7731,1448,Erick Pulgar,a,MC,1800.0,1.0,1.0,21.0,5.0,0.0,1.3168148268014186,2.0679049091413613,4.0,3.5183493895456195,3.0
5696,2017,7740,1448,Erick Pulgar,h,MC,1890.0,1.0,1.0,22.0,5.0,0.0,1.3307464746758335,2.0679049091413613,4.0,3.5601443331688643,0.0
5838,2017,7755,1448,Erick Pulgar,h,MC,1980.0,2.0,1.0,23.0,5.0,0.0,1.379034089855849,2.0679049091413613,7.0,3.705007178708911,3.0
6057,2017,7759,1448,Erick Pulgar,a,MC,2070.0,2.0,1.0,23.0,5.0,0.0,1.379034089855849,2.9875016408041115,7.0,4.624603910371661,0.0
6181,2017,7769,1448,Erick Pulgar,h,MC,2160.0,2.0,1.0,23.0,6.0,0.0,1.379034089855849,2.9875016408041115,7.0,4.124603910371661,0.0
6567,2017,7780,1448,Erick Pulgar,a,MC,2250.0,2.0,1.0,23.0,7.0,0.0,1.379034089855849,3.1349975513294335,7.0,3.772099820896983,0.0
6600,2017,7794,1448,Erick Pulgar,h,MC,2340.0,2.0,1.0,24.0,7.0,0.0,1.3948467420414083,3.1349975513294335,7.0,3.819537777453661,0.0
7124,2017,7800,1448,Erick Pulgar,a,MC,2430.0,3.0,1.0,26.0,8.0,0.0,1.5005778195336454,3.1349975513294335,10.0,3.6367310099303722,3.0
7374,2017,7811,1448,Erick Pulgar,h,MC,2520.0,3.0,1.0,30.0,8.0,0.0,1.687373352237045,3.1349975513294335,10.0,4.197117608040571,0.0
8050,2017,7844,1448,Erick Pulgar,h,MC,2578.0,3.0,1.0,33.0,9.0,0.0,1.7502058194950216,3.1349975513294335,10.0,3.885615009814501,0.0
8469,2017,7860,1448,Erick Pulgar,h,MC,2668.0,3.0,1.0,34.0,9.0,0.0,1.755344512406736,3.1349975513294335,10.0,3.9010310885496438,0.0
