,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1206,2017,7554,1424,Federico Bernardeschi,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617,2017,7559,1424,Federico Bernardeschi,a,AMR,26.0,0.0,0.0,2.0,0.0,0.0,0.0964450091123581,0.0323578342795372,0.0,0.3216928616166115,0.0
1634,2017,7575,1424,Federico Bernardeschi,h,Sub,96.0,1.0,1.0,6.0,0.0,0.0,1.204918310046196,0.1904440000653267,4.0,3.8051989302039146,4.0
2265,2017,7596,1424,Federico Bernardeschi,h,AMR,132.0,1.0,1.0,8.0,0.0,0.0,1.3431760370731354,0.1904440000653267,4.0,4.219972111284733,0.0
2880,2017,7625,1424,Federico Bernardeschi,a,AMC,188.0,2.0,1.0,11.0,0.0,0.0,1.5335849821567535,0.1904440000653267,7.0,4.791198946535587,3.0
3808,2017,7661,1424,Federico Bernardeschi,a,Sub,252.0,2.0,1.0,12.0,1.0,0.0,1.5466844672337174,0.36905618757009495,7.0,4.509109589271247,0.0
4391,2017,7684,1424,Federico Bernardeschi,a,Sub,272.0,2.0,1.0,12.0,1.0,0.0,1.5466844672337174,0.36905618757009495,7.0,4.509109589271247,0.0
4615,2017,7694,1424,Federico Bernardeschi,a,AMC,316.0,2.0,1.0,14.0,1.0,0.0,1.667959832586348,0.40565415471792204,7.0,4.909533652476966,0.0
5055,2017,7715,1424,Federico Bernardeschi,a,Sub,398.0,3.0,1.0,17.0,2.0,0.0,2.3749681347981095,0.40565415471792204,10.0,6.530558559112251,3.0
5277,2017,7726,1424,Federico Bernardeschi,h,FWR,435.0,3.0,2.0,19.0,2.0,0.0,2.4377207616344094,0.45245682448148705,11.0,6.765619109384716,1.0
5381,2017,7735,1424,Federico Bernardeschi,a,FWR,525.0,3.0,4.0,24.0,2.0,0.0,2.698819295503199,0.9679970070719717,13.0,8.06445489358157,2.0
5690,2017,7746,1424,Federico Bernardeschi,a,Sub,606.0,4.0,4.0,25.0,2.0,0.0,2.775970288552344,0.9679970070719717,16.0,8.295907872729003,3.0
7974,2017,7842,1424,Federico Bernardeschi,a,Sub,682.0,4.0,5.0,25.0,2.0,0.0,2.775970288552344,1.9727060124278066,17.0,9.300616878084838,1.0
8597,2017,7862,1424,Federico Bernardeschi,a,AMR,699.0,4.0,5.0,25.0,2.0,0.0,2.775970288552344,1.9727060124278066,17.0,9.300616878084838,0.0
