,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2370,2017,7586,1998,Francesco Cassata,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2896,2017,7603,1998,Francesco Cassata,a,MC,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5,-0.5,-0.5
3271,2017,7618,1998,Francesco Cassata,h,MC,92.0,0.0,0.0,1.0,1.0,1.0,0.0447758361697196,0.0,-1.0,-0.8656724914908409,-0.5
4299,2017,7656,1998,Francesco Cassata,h,MC,150.0,0.0,0.0,1.0,1.0,1.0,0.0447758361697196,0.0,-1.0,-0.8656724914908409,0.0
5127,2017,7686,1998,Francesco Cassata,a,Sub,227.0,0.0,0.0,1.0,2.0,1.0,0.0447758361697196,0.0,-1.5,-1.365672491490841,-0.5
7635,2017,7788,1998,Francesco Cassata,a,Sub,229.0,0.0,0.0,1.0,2.0,1.0,0.0447758361697196,0.0,-1.5,-1.365672491490841,0.0
8011,2017,7793,1998,Francesco Cassata,h,Sub,230.0,0.0,0.0,1.0,2.0,1.0,0.0447758361697196,0.0,-1.5,-1.365672491490841,0.0
8354,2017,7768,1998,Francesco Cassata,a,MC,240.0,0.0,0.0,1.0,3.0,1.0,0.0447758361697196,0.0,-2.0,-1.865672491490841,-0.5
8634,2017,7808,1998,Francesco Cassata,a,Sub,330.0,1.0,0.0,3.0,3.0,1.0,0.08378298953175531,0.0338621400296688,1.0,-1.7147888913750648,3.0
8783,2017,7809,1998,Francesco Cassata,h,MC,361.0,1.0,0.0,3.0,3.0,1.0,0.08378298953175531,0.0338621400296688,1.0,-1.7147888913750648,0.0
