,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
90,2017,7502,1185,Iago Falque,a,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,2017,7511,1185,Iago Falque,h,AMR,90.0,0.0,0.0,2.0,0.0,0.0,0.0503842495381832,0.0144459418952465,0.0,0.1655986905097961,0.0
644,2017,7520,1185,Iago Falque,a,AMR,177.0,0.0,1.0,3.0,0.0,0.0,0.08353532850742329,0.4741296581923961,1.0,0.7247356437146664,1.0
843,2017,7538,1185,Iago Falque,h,AMR,267.0,1.0,1.0,7.0,0.0,0.0,0.5457441955804824,0.7187051735818385,4.0,2.355937760323286,3.0
1143,2017,7548,1185,Iago Falque,a,AMR,347.0,1.0,1.0,9.0,0.0,0.0,0.5993611365556716,1.1650640033185482,4.0,2.9631474129855633,0.0
1213,2017,7554,1185,Iago Falque,a,AMR,436.0,1.0,1.0,10.0,0.0,0.0,0.7118752896785735,1.3633463196456432,4.0,3.498972188681364,0.0
1560,2017,7567,1185,Iago Falque,h,AMR,465.0,1.0,1.0,11.0,0.0,0.0,0.8073772117495535,1.3633463196456432,4.0,3.7854779548943043,0.0
1758,2017,7571,1185,Iago Falque,a,AMR,547.0,2.0,1.0,13.0,0.0,0.0,1.5103321596980093,1.522169303148985,7.0,6.053165782243013,3.0
2006,2017,7587,1185,Iago Falque,h,AMR,637.0,3.0,1.0,18.0,0.0,0.0,1.800725035369396,1.7571267150342464,10.0,7.159301821142435,3.0
2230,2017,7593,1185,Iago Falque,a,AMR,727.0,3.0,1.0,18.0,0.0,0.0,1.800725035369396,1.7571267150342464,10.0,7.159301821142435,0.0
2526,2017,7607,1185,Iago Falque,h,FWR,806.0,3.0,1.0,19.0,0.0,0.0,1.8446807600557802,2.056203778833151,10.0,7.590246059000492,0.0
2628,2017,7615,1185,Iago Falque,a,FWR,893.0,4.0,1.0,21.0,1.0,0.0,2.3097258247435093,2.275609489530325,13.0,8.704786963760853,3.0
2916,2017,7627,1185,Iago Falque,h,FWR,977.0,5.0,1.0,22.0,1.0,0.0,2.369198877364397,2.287935096770525,16.0,8.895531728863716,3.0
3135,2017,7636,1185,Iago Falque,a,Sub,1058.0,5.0,1.0,25.0,1.0,0.0,2.859773863106966,2.416372422128916,16.0,10.495694011449814,0.0
3279,2017,7648,1185,Iago Falque,h,FWR,1078.0,5.0,1.0,27.0,1.0,0.0,3.616052735596895,2.416372422128916,16.0,12.764530628919601,0.0
3664,2017,7653,1185,Iago Falque,a,FWR,1160.0,5.0,1.0,29.0,1.0,0.0,3.666562642902136,2.494354497641325,16.0,12.994042426347733,0.0
3722,2017,7668,1185,Iago Falque,h,FWR,1235.0,5.0,1.0,31.0,1.0,0.0,3.747634459286928,2.7026989720761776,16.0,13.445602349936962,0.0
4083,2017,7677,1185,Iago Falque,a,FWR,1313.0,5.0,1.0,32.0,1.0,0.0,3.8547550849616528,3.073243673890829,16.0,14.137508928775787,0.0
4330,2017,7688,1185,Iago Falque,h,FWR,1403.0,7.0,1.0,34.0,1.0,0.0,4.376687984913588,3.15954352542758,22.0,15.789607480168343,6.0
4443,2017,7690,1185,Iago Falque,h,FWR,1493.0,7.0,1.0,36.0,1.0,0.0,4.413827110081911,3.710506748408079,22.0,16.451988078653812,0.0
4775,2017,7708,1185,Iago Falque,a,FWR,1583.0,8.0,2.0,42.0,1.0,0.0,5.049200464040041,4.0442650727927685,26.0,18.69186646491289,4.0
4925,2017,7710,1185,Iago Falque,h,FWR,1673.0,8.0,2.0,44.0,1.0,0.0,5.120144236832857,4.0442650727927685,26.0,18.90469778329134,0.0
5148,2017,7728,1185,Iago Falque,a,AMR,1763.0,9.0,3.0,47.0,1.0,0.0,5.563725221902132,4.625509541481733,30.0,20.81668520718813,4.0
5559,2017,7738,1185,Iago Falque,h,FWR,1853.0,9.0,4.0,49.0,1.0,0.0,6.010894734412432,4.954803716391325,31.0,22.48748791962862,1.0
5675,2017,7746,1185,Iago Falque,h,FWR,1943.0,9.0,5.0,51.0,1.0,0.0,6.098297815769911,5.0803194008767605,32.0,22.875212848186493,1.0
5943,2017,7750,1185,Iago Falque,a,FWR,2033.0,9.0,5.0,52.0,1.0,0.0,6.132722534239292,5.229700472205877,32.0,23.127868074923754,0.0
6125,2017,7777,1185,Iago Falque,a,FWR,2117.0,9.0,6.0,54.0,1.0,0.0,6.190998051315546,5.931685592979193,33.0,24.00467974692583,1.0
6509,2017,7783,1185,Iago Falque,h,FWR,2185.0,9.0,6.0,57.0,1.0,0.0,6.370361644774675,6.558844950050116,33.0,25.16992988437414,0.0
6798,2017,7797,1185,Iago Falque,a,FW,2275.0,9.0,6.0,60.0,2.0,0.0,6.5751163847744465,6.7097390703856945,33.0,25.435088224709034,0.0
6928,2017,7761,1185,Iago Falque,h,FW,2354.0,10.0,7.0,62.0,2.0,0.0,7.085047114640474,6.932299148291349,37.0,27.187440492212772,4.0
7093,2017,7805,1185,Iago Falque,h,FW,2444.0,11.0,8.0,65.0,2.0,0.0,7.3349028415977955,7.521596562117338,41.0,28.526305086910725,4.0
7295,2017,7817,1185,Iago Falque,a,AMC,2518.0,11.0,8.0,66.0,2.0,0.0,7.644716966897249,7.521596562117338,41.0,29.455747462809086,0.0
7634,2017,7826,1185,Iago Falque,h,FW,2603.0,11.0,8.0,67.0,2.0,0.0,7.65969982650131,7.573556631803513,41.0,29.552656111307442,0.0
8145,2017,7843,1185,Iago Falque,h,Sub,2667.0,11.0,8.0,68.0,2.0,0.0,7.794257818721235,7.573556631803513,41.0,29.956330087967217,0.0
8521,2017,7867,1185,Iago Falque,h,AMC,2695.0,11.0,8.0,71.0,2.0,0.0,7.863087899051607,7.573556631803513,41.0,30.162820328958333,0.0
8857,2017,7878,1185,Iago Falque,a,AMC,2785.0,11.0,8.0,74.0,2.0,0.0,8.060258439742029,7.619547039270401,41.0,30.800322358496487,0.0
