,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
49,2017,7501,4733,José Luis Palomino,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,2017,7514,4733,José Luis Palomino,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
872,2017,7529,4733,José Luis Palomino,a,DC,180.0,0.0,0.0,1.0,0.0,0.0,0.06413384526968,0.0,0.0,0.19240153580904,0.0
1374,2017,7551,4733,José Luis Palomino,a,DC,270.0,0.0,0.0,1.0,0.0,0.0,0.06413384526968,0.0,0.0,0.19240153580904,0.0
1601,2017,7559,4733,José Luis Palomino,h,DC,360.0,0.0,0.0,2.0,0.0,0.0,0.1506287083029746,0.0,0.0,0.451886124908924,0.0
1776,2017,7577,4733,José Luis Palomino,a,DC,450.0,0.0,0.0,2.0,1.0,0.0,0.1506287083029746,0.0,0.0,-0.04811387509107601,0.0
1906,2017,7579,4733,José Luis Palomino,h,DC,540.0,0.0,0.0,2.0,1.0,0.0,0.1506287083029746,0.3069377243518829,0.0,0.25882384926080687,0.0
2117,2017,7589,4733,José Luis Palomino,h,DC,630.0,0.0,0.0,2.0,1.0,0.0,0.1506287083029746,0.3069377243518829,0.0,0.25882384926080687,0.0
2723,2017,7609,4733,José Luis Palomino,h,DC,720.0,0.0,0.0,3.0,1.0,0.0,0.2427017018198966,0.3069377243518829,0.0,0.5350428298115728,0.0
2967,2017,7622,4733,José Luis Palomino,a,DC,810.0,0.0,0.0,3.0,1.0,0.0,0.2427017018198966,0.3069377243518829,0.0,0.5350428298115728,0.0
3689,2017,7651,4733,José Luis Palomino,a,Sub,900.0,0.0,0.0,4.0,2.0,0.0,0.3185679018497466,0.3069377243518829,0.0,0.2626414299011228,0.0
3902,2017,7659,4733,José Luis Palomino,h,DC,937.0,0.0,0.0,5.0,2.0,0.0,0.367562737315893,0.3069377243518829,0.0,0.40962593629956223,0.0
4585,2017,7689,4733,José Luis Palomino,a,DC,996.0,0.0,0.0,5.0,2.0,0.0,0.367562737315893,0.3069377243518829,0.0,0.40962593629956223,0.0
4908,2017,7709,4733,José Luis Palomino,a,DC,1086.0,0.0,0.0,5.0,2.0,0.0,0.367562737315893,0.3069377243518829,0.0,0.40962593629956223,0.0
5422,2017,7729,4733,José Luis Palomino,a,DC,1176.0,0.0,0.0,5.0,2.0,0.0,0.367562737315893,0.3069377243518829,0.0,0.40962593629956223,0.0
5760,2017,7743,4733,José Luis Palomino,h,DC,1266.0,1.0,0.0,6.0,3.0,0.0,1.1624872945249078,0.3069377243518829,3.0,2.294399607926607,3.0
6191,2017,7769,4733,José Luis Palomino,a,DC,1356.0,1.0,0.0,6.0,3.0,0.0,1.1624872945249078,0.3069377243518829,3.0,2.294399607926607,0.0
6355,2017,7756,4733,José Luis Palomino,a,DC,1446.0,1.0,0.0,8.0,3.0,0.0,1.2614868618547914,0.3426540605723857,3.0,2.6271146461367607,0.0
6448,2017,7779,4733,José Luis Palomino,a,DC,1536.0,1.0,0.0,9.0,3.0,0.0,1.2875545918941496,0.3426540605723857,3.0,2.705317836254835,0.0
6756,2017,7798,4733,José Luis Palomino,h,DC,1626.0,1.0,0.0,9.0,3.0,0.0,1.2875545918941496,0.3426540605723857,3.0,2.705317836254835,0.0
7026,2017,7799,4733,José Luis Palomino,a,DC,1716.0,1.0,0.0,9.0,3.0,0.0,1.2875545918941496,0.3426540605723857,3.0,2.705317836254835,0.0
8245,2017,7849,4733,José Luis Palomino,a,DC,1785.0,1.0,0.0,9.0,3.0,0.0,1.2875545918941496,0.3426540605723857,3.0,2.705317836254835,0.0
8663,2017,7869,4733,José Luis Palomino,a,DC,1875.0,1.0,0.0,10.0,3.0,0.0,1.3782880529761312,0.3426540605723857,3.0,2.97751821950078,0.0
