,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
360,2017,7510,2379,João Cancelo,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,2017,7574,2379,João Cancelo,h,Sub,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2259,2017,7584,2379,João Cancelo,a,Sub,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319819599390029,0.0,0.0319819599390029,0.0
3041,2017,7601,2379,João Cancelo,a,Sub,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319819599390029,0.0,0.0319819599390029,0.0
3682,2017,7631,2379,João Cancelo,a,Sub,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319819599390029,0.0,0.0319819599390029,0.0
4838,2017,7676,2379,João Cancelo,a,DR,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319819599390029,0.0,0.0319819599390029,0.0
5185,2017,7685,2379,João Cancelo,h,DR,134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0319819599390029,-0.5,-0.4680180400609971,-0.5
5283,2017,7693,2379,João Cancelo,a,DR,217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0319819599390029,-0.5,-0.4680180400609971,0.0
5742,2017,7706,2379,João Cancelo,h,DR,301.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2344708740711211,-0.5,-0.2655291259288789,0.0
6011,2017,7714,2379,João Cancelo,a,DL,391.0,0.0,0.0,1.0,2.0,0.0,0.0323849767446517,0.6808654367923734,-1.0,-0.2219796329736711,-0.5
6172,2017,7720,2379,João Cancelo,h,Sub,481.0,0.0,0.0,2.0,2.0,0.0,0.0704630315303801,0.7017494849860665,-1.0,-0.0868614204227926,0.0
6551,2017,7731,2379,João Cancelo,h,DR,496.0,0.0,0.0,2.0,2.0,0.0,0.0704630315303801,0.7017494849860665,-1.0,-0.0868614204227926,0.0
6761,2017,7745,2379,João Cancelo,a,DR,586.0,0.0,0.0,2.0,2.0,0.0,0.0704630315303801,0.9834339432418343,-1.0,0.19482303783297522,0.0
6998,2017,7757,2379,João Cancelo,h,DR,676.0,0.0,0.0,3.0,2.0,0.0,0.0875764340162275,1.1010777615010734,-1.0,0.3638070635497568,0.0
7555,2017,7774,2379,João Cancelo,h,DR,766.0,0.0,1.0,3.0,2.0,0.0,0.0875764340162275,1.4707510136067863,0.0,0.7334803156554697,1.0
7681,2017,7785,2379,João Cancelo,a,DR,856.0,0.0,1.0,3.0,2.0,0.0,0.0875764340162275,1.5909168981015678,0.0,0.8536462001502512,0.0
7973,2017,7791,2379,João Cancelo,h,DR,946.0,0.0,2.0,4.0,2.0,0.0,0.1135658491402862,2.3303016684949394,1.0,1.670999215915799,1.0
8320,2017,7764,2379,João Cancelo,a,DR,1036.0,0.0,2.0,5.0,2.0,0.0,0.1589423622936007,2.8891628645360465,1.0,2.36598995141685,0.0
8485,2017,7805,2379,João Cancelo,a,DR,1126.0,0.0,2.0,7.0,3.0,0.0,0.1877211928367611,3.524138536304235,0.5,2.58730211481452,-0.5
8739,2017,7812,2379,João Cancelo,a,DMR,1216.0,0.0,2.0,7.0,3.0,0.0,0.1877211928367611,3.704949583858251,0.5,2.768113162368536,0.0
8919,2017,7821,2379,João Cancelo,h,DMR,1306.0,0.0,2.0,7.0,3.0,0.0,0.1877211928367611,3.7688790597021575,0.5,2.8320426382124424,0.0
9350,2017,7834,2379,João Cancelo,a,DR,1396.0,1.0,2.0,9.0,3.0,0.0,0.2344124726951118,3.7688790597021575,3.5,2.9721164777874947,3.0
9504,2017,7842,2379,João Cancelo,h,DR,1486.0,1.0,2.0,10.0,4.0,0.0,0.2777150124311442,3.7688790597021575,3.0,2.602024096995592,-0.5
9824,2017,7855,2379,João Cancelo,a,DR,1576.0,1.0,3.0,10.0,4.0,0.0,0.2777150124311442,4.2406684793531895,4.0,3.0738135166466236,1.0
10061,2017,7866,2379,João Cancelo,h,DR,1666.0,1.0,3.0,12.0,4.0,0.0,0.3484153598546976,4.333833437412977,4.0,3.3790795169770718,0.0
10493,2017,7875,2379,João Cancelo,a,DR,1756.0,1.0,3.0,12.0,4.0,0.0,0.3484153598546976,4.333833437412977,4.0,3.3790795169770718,0.0
