,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
123,2017,7503,1512,João Mário,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,2017,7510,1512,João Mário,a,Sub,24.0,0.0,1.0,1.0,0.0,0.0,0.107785165309906,0.6433286070823669,1.0,0.966684103012085,1.0
594,2017,7524,1512,João Mário,h,AMC,68.0,0.0,1.0,4.0,0.0,0.0,0.31798505783081055,0.7563804462552071,1.0,1.7103356197476387,0.0
832,2017,7530,1512,João Mário,a,AMC,137.0,0.0,1.0,4.0,0.0,0.0,0.31798505783081055,1.0097889080643654,1.0,1.963744081556797,0.0
1112,2017,7541,1512,João Mário,a,AMC,227.0,0.0,2.0,6.0,0.0,0.0,0.8307042121887207,1.0924032405018806,2.0,3.5845158770680428,1.0
1577,2017,7553,1512,João Mário,h,Sub,278.0,0.0,2.0,6.0,0.0,0.0,0.8307042121887207,1.0924032405018806,2.0,3.5845158770680428,0.0
1758,2017,7560,1512,João Mário,a,Sub,287.0,0.0,3.0,6.0,0.0,0.0,0.8307042121887207,1.2582962438464165,3.0,3.7504088804125786,1.0
2258,2017,7584,1512,João Mário,a,Sub,325.0,0.0,3.0,6.0,0.0,0.0,0.8307042121887207,1.31456358730793,3.0,3.806676223874092,0.0
2494,2017,7595,1512,João Mário,h,Sub,344.0,0.0,3.0,7.0,0.0,0.0,0.8486513029783964,1.31456358730793,3.0,3.8605174962431192,0.0
3527,2017,7622,1512,João Mário,h,Sub,359.0,0.0,3.0,7.0,0.0,0.0,0.8486513029783964,1.31456358730793,3.0,3.8605174962431192,0.0
4021,2017,7644,1512,João Mário,h,DMC,365.0,0.0,3.0,7.0,0.0,0.0,0.8486513029783964,1.31456358730793,3.0,3.8605174962431192,0.0
4850,2017,7676,1512,João Mário,a,Sub,455.0,0.0,3.0,12.0,0.0,0.0,1.532603157684207,1.4605815708637238,3.0,6.058391043916345,0.0
5195,2017,7685,1512,João Mário,h,Sub,465.0,0.0,3.0,12.0,0.0,0.0,1.532603157684207,1.4605815708637238,3.0,6.058391043916345,0.0
5289,2017,7693,1512,João Mário,a,AMR,481.0,0.0,3.0,12.0,0.0,0.0,1.532603157684207,1.673550397157669,3.0,6.27135987021029,0.0
