,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
38,2017,7500,1376,Kalidou Koulibaly,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,2017,7514,1376,Kalidou Koulibaly,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294090062379837,0.0,0.0294090062379837,0.0
665,2017,7521,1376,Kalidou Koulibaly,a,DC,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0294090062379837,0.0,-0.4705909937620163,0.0
792,2017,7534,1376,Kalidou Koulibaly,h,DC,270.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0294090062379837,0.0,-0.4705909937620163,0.0
1089,2017,7546,1376,Kalidou Koulibaly,a,DC,360.0,0.0,0.0,1.0,1.0,0.0,0.3410678803920746,0.0294090062379837,0.0,0.5526126474142075,0.0
1184,2017,7558,1376,Kalidou Koulibaly,a,DC,450.0,1.0,0.0,3.0,1.0,0.0,1.0106638967990875,0.0294090062379837,3.0,2.5614006966352463,3.0
1436,2017,7565,1376,Kalidou Koulibaly,h,DC,540.0,1.0,1.0,3.0,1.0,0.0,1.0106638967990875,0.0740106403827667,4.0,2.6060023307800293,1.0
1660,2017,7576,1376,Kalidou Koulibaly,a,DC,630.0,2.0,1.0,4.0,1.0,0.0,1.0910634621977806,0.0844954783096909,7.0,2.857685864903033,3.0
1882,2017,7584,1376,Kalidou Koulibaly,h,DC,720.0,2.0,1.0,4.0,1.0,0.0,1.0910634621977806,0.09290197119116769,7.0,2.8660923577845097,0.0
2250,2017,7594,1376,Kalidou Koulibaly,a,DC,810.0,2.0,1.0,5.0,2.0,0.0,1.1542495414614677,0.09290197119116769,7.0,2.555650595575571,0.0
2667,2017,7612,1376,Kalidou Koulibaly,a,DC,900.0,2.0,1.0,5.0,2.0,0.0,1.1542495414614677,0.09290197119116769,7.0,2.555650595575571,0.0
2793,2017,7623,1376,Kalidou Koulibaly,h,DC,990.0,2.0,1.0,6.0,3.0,0.0,1.2183979377150536,0.09290197119116769,7.0,2.2480957843363285,0.0
